<TICKER>,<DTYYYYMMDD>,<FIRST>,<HIGH>,<LOW>,<CLOSE>,<VALUE>,<VOL>,<OPENINT>,<PER>,<OPEN>,<LAST>
PARS.Petrochemical,20190227,33288.00,33400.00,32851.00,33206.00,21667547799,652527,555,D,33251.00,33219.00
PARS.Petrochemical,20190226,32914.00,33999.00,32914.00,33251.00,42959451472,1291991,874,D,33861.00,33286.00
PARS.Petrochemical,20190225,34554.00,34554.00,33332.00,33861.00,62722715810,1852346,1272,D,33855.00,33675.00
PARS.Petrochemical,20190224,33850.00,34222.00,33101.00,33855.00,77347700195,2284680,2026,D,32951.00,34222.00
PARS.Petrochemical,20190223,32001.00,32962.00,32001.00,32951.00,205607106795,6239809,1394,D,31393.00,32962.00
PARS.Petrochemical,20190220,31300.00,31810.00,31050.00,31393.00,44672735352,1422995,1241,D,31180.00,31810.00
PARS.Petrochemical,20190219,30911.00,31398.00,30911.00,31180.00,15120948532,484953,913,D,30936.00,31220.00
PARS.Petrochemical,20190218,31100.00,31400.00,30700.00,30936.00,21187547512,684886,1059,D,31252.00,31020.00
PARS.Petrochemical,20190217,31580.00,31580.00,31159.00,31252.00,19774528557,632753,521,D,31539.00,31199.00
PARS.Petrochemical,20190216,31400.00,31950.00,31400.00,31539.00,17588619248,557670,889,D,31009.00,31480.00
PARS.Petrochemical,20190213,31282.00,31282.00,30959.00,31009.00,12594622046,406159,943,D,31281.00,31048.00
PARS.Petrochemical,20190212,31500.00,31500.00,31057.00,31281.00,12695053704,405840,559,D,31445.00,31270.00
PARS.Petrochemical,20190210,31141.00,31800.00,31141.00,31445.00,19782903910,629123,525,D,31241.00,31450.00
PARS.Petrochemical,20190206,31550.00,31700.00,31100.00,31241.00,10946040888,350378,648,D,31339.00,31190.00
PARS.Petrochemical,20190205,31302.00,31999.00,31057.00,31339.00,18370879039,586203,914,D,31369.00,31449.00
PARS.Petrochemical,20190204,31202.00,31594.00,31120.00,31369.00,21007262443,669686,818,D,31367.00,31350.00
PARS.Petrochemical,20190203,31600.00,31600.00,31260.00,31367.00,13595216281,433426,774,D,31857.00,31377.00
PARS.Petrochemical,20190202,31810.00,31999.00,31700.00,31857.00,14849768517,466140,572,D,31941.00,31712.00
PARS.Petrochemical,20190130,32459.00,32459.00,31801.00,31941.00,16435069461,514543,579,D,32000.00,31899.00
PARS.Petrochemical,20190129,31908.00,32500.00,31350.00,32000.00,22520189626,703763,836,D,31555.00,32030.00
PARS.Petrochemical,20190128,32000.00,32300.00,31100.00,31555.00,28403907187,900142,1098,D,31720.00,31650.00
PARS.Petrochemical,20190127,32100.00,32570.00,31057.00,31720.00,36560053263,1152586,1271,D,32201.00,31800.00
PARS.Petrochemical,20190126,32680.00,33000.00,31993.00,32201.00,36175516067,1123435,1234,D,32547.00,32000.00
PARS.Petrochemical,20190123,32612.00,33000.00,32301.00,32547.00,15434718309,474224,1188,D,32689.00,32500.00
PARS.Petrochemical,20190122,32760.00,33000.00,32457.00,32689.00,25187637690,770523,1017,D,32615.00,32602.00
PARS.Petrochemical,20190121,33684.00,33684.00,32559.00,32615.00,106506440925,3265560,2340,D,34272.00,32560.00
PARS.Petrochemical,20190120,34700.00,34920.00,33800.00,34272.00,21961790205,640800,1019,D,34702.00,33850.00
PARS.Petrochemical,20190119,34449.00,35200.00,34101.00,34702.00,38724425755,1115903,1159,D,34010.00,34525.00
PARS.Petrochemical,20190116,34100.00,34450.00,33800.00,34010.00,28128261388,827063,793,D,33996.00,33950.00
PARS.Petrochemical,20190115,33595.00,34400.00,33210.00,33996.00,24852163723,731041,913,D,33571.00,33929.00
PARS.Petrochemical,20190114,33926.00,33926.00,33000.00,33571.00,31666123140,943256,1294,D,33946.00,33415.00
PARS.Petrochemical,20190113,34455.00,34759.00,33588.00,33946.00,27483523130,809616,1528,D,34759.00,33970.00
PARS.Petrochemical,20190112,34999.00,34999.00,34751.00,34759.00,40433238858,1163260,1519,D,34982.00,34570.00
PARS.Petrochemical,20190109,35090.00,35975.00,34444.00,34982.00,40459324427,1156573,2062,D,34744.00,34480.00
PARS.Petrochemical,20190108,34200.00,34995.00,34200.00,34744.00,65269065408,1878568,2245,D,33485.00,34700.00
PARS.Petrochemical,20190107,32400.00,33917.00,32400.00,33485.00,67219103997,2007459,2808,D,32302.00,33900.00
PARS.Petrochemical,20190106,32350.00,32500.00,32150.00,32302.00,24463998200,757357,784,D,32339.00,32181.00
PARS.Petrochemical,20190105,32500.00,32698.00,32140.00,32339.00,16955606094,524313,728,D,31851.00,32284.00
PARS.Petrochemical,20190102,32005.00,32500.00,31400.00,31851.00,34456334460,1081803,1303,D,32258.00,32100.00
PARS.Petrochemical,20190101,32600.00,32600.00,32100.00,32258.00,25838015345,800990,911,D,32390.00,32103.00
PARS.Petrochemical,20181231,32501.00,32700.00,32002.00,32390.00,25656941629,792131,1218,D,32901.00,32400.00
PARS.Petrochemical,20181230,33100.00,33800.00,32580.00,32901.00,34916485376,1061263,1687,D,32672.00,32672.00
PARS.Petrochemical,20181229,32100.00,32976.00,32000.00,32672.00,61282764615,1875671,2335,D,31415.00,32949.00
PARS.Petrochemical,20181226,30222.00,31708.00,30200.00,31415.00,78882118439,2510994,1905,D,30199.00,31708.00
PARS.Petrochemical,20181225,30490.00,30831.00,30001.00,30199.00,21438520389,709901,961,D,30482.00,30200.00
PARS.Petrochemical,20181224,30498.00,31000.00,30200.00,30482.00,29481646065,967182,1085,D,30270.00,30650.00
PARS.Petrochemical,20181223,30300.00,30990.00,30000.00,30270.00,50779006234,1677545,1572,D,29949.00,30500.00
PARS.Petrochemical,20181222,30000.00,30500.00,29301.00,29949.00,48133469355,1607178,2134,D,30593.00,29997.00
PARS.Petrochemical,20181219,31200.00,31655.00,30200.00,30593.00,64834398896,2119269,2758,D,31720.00,30563.00
PARS.Petrochemical,20181218,31819.00,32190.00,31150.00,31720.00,36126896569,1138934,2070,D,32092.00,31247.00
PARS.Petrochemical,20181217,32100.00,32800.00,31851.00,32092.00,30921039728,963510,1569,D,32412.00,31860.00
PARS.Petrochemical,20181216,32567.00,33009.00,31975.00,32412.00,52902803445,1632210,1646,D,32771.00,32200.00
PARS.Petrochemical,20181215,32550.00,33200.00,32400.00,32771.00,48825346991,1489890,1266,D,32683.00,32567.00
PARS.Petrochemical,20181212,32850.00,33000.00,32001.00,32683.00,35172181892,1076151,1544,D,32957.00,32555.00
PARS.Petrochemical,20181211,33150.00,33378.00,32600.00,32957.00,12814109769,388808,912,D,33178.00,32799.00
PARS.Petrochemical,20181210,32900.00,33700.00,32799.00,33178.00,53116185140,1600924,1433,D,33125.00,33180.00
PARS.Petrochemical,20181209,33600.00,33600.00,32961.00,33125.00,46772920335,1412025,1505,D,33472.00,33087.00
PARS.Petrochemical,20181208,33991.00,33991.00,33050.00,33472.00,35961744370,1074368,1373,D,33502.00,33150.00
PARS.Petrochemical,20181205,33849.00,34200.00,33003.00,33502.00,35480621106,1059058,1462,D,33576.00,33200.00
PARS.Petrochemical,20181204,34000.00,34200.00,32511.00,33576.00,70648369204,2104115,1414,D,34002.00,33620.00
PARS.Petrochemical,20181203,33899.00,34500.00,33511.00,34002.00,68880795890,2025763,2207,D,33013.00,33900.00
PARS.Petrochemical,20181202,32260.00,33666.00,32260.00,33013.00,71473284626,2164979,1906,D,32243.00,33400.00
PARS.Petrochemical,20181201,32050.00,33500.00,31700.00,32243.00,114523343972,3551924,2347,D,33289.00,32200.00
PARS.Petrochemical,20181128,33900.00,34100.00,32800.00,33289.00,82873627478,2489539,1704,D,34119.00,33073.00
PARS.Petrochemical,20181127,34690.00,34900.00,33600.00,34119.00,70661336233,2071015,2363,D,33423.00,33660.00
PARS.Petrochemical,20181126,33400.00,34800.00,33350.00,33423.00,216196314360,6468554,3954,D,35105.00,33420.00
PARS.Petrochemical,20181124,35103.00,35600.00,35094.00,35105.00,54892690435,1563663,1298,D,36941.00,35094.00
PARS.Petrochemical,20181121,37300.00,37400.00,36500.00,36941.00,57915879512,1567794,1644,D,37666.00,36785.00
PARS.Petrochemical,20181120,37600.00,37999.00,37300.00,37666.00,55802689323,1481510,1344,D,37760.00,37700.00
PARS.Petrochemical,20181119,37740.00,38154.00,37100.00,37760.00,87104136012,2306792,3038,D,36527.00,37354.00
PARS.Petrochemical,20181118,37200.00,37270.00,35916.00,36527.00,163102251503,4465202,3688,D,37806.00,37248.00
PARS.Petrochemical,20181117,37990.00,39000.00,37235.00,37806.00,133095454951,3520524,4208,D,38763.00,37276.00
PARS.Petrochemical,20181114,38950.00,39200.00,38561.00,38763.00,135590456920,3497971,2593,D,39559.00,38582.00
PARS.Petrochemical,20181113,39675.00,39999.00,39392.00,39559.00,124469041265,3146417,2354,D,39467.00,39399.00
PARS.Petrochemical,20181112,39500.00,39900.00,39200.00,39467.00,131916932010,3342423,2712,D,39428.00,39400.00
PARS.Petrochemical,20181111,40100.00,40500.00,39001.00,39428.00,138115720263,3503027,3029,D,40587.00,39450.00
PARS.Petrochemical,20181110,41500.00,41800.00,40160.00,40587.00,184718081578,4551159,3496,D,41590.00,40300.00
PARS.Petrochemical,20181106,41890.00,42000.00,41100.00,41590.00,113307885464,2724376,2780,D,42020.00,41400.00
PARS.Petrochemical,20181105,41900.00,42350.00,41650.00,42020.00,99615881334,2370682,1995,D,41691.00,41650.00
PARS.Petrochemical,20181104,41700.00,42349.00,40531.00,41691.00,133046676926,3191294,2427,D,41934.00,41800.00
PARS.Petrochemical,20181103,41601.00,42500.00,41500.00,41934.00,104071351222,2481811,2310,D,42296.00,41822.00
PARS.Petrochemical,20181031,42250.00,43650.00,41900.00,42296.00,190313140443,4499541,3317,D,43472.00,42500.00
PARS.Petrochemical,20181029,43399.00,44270.00,43100.00,43472.00,134161822739,3086158,2391,D,43027.00,43330.00
PARS.Petrochemical,20181028,42101.00,43800.00,42101.00,43027.00,192833086160,4481726,2955,D,42453.00,43000.00
PARS.Petrochemical,20181027,44200.00,44200.00,41923.00,42453.00,239176240618,5633926,4736,D,44128.00,42550.00
PARS.Petrochemical,20181024,45500.00,45525.00,43170.00,44128.00,244808495841,5547670,5558,D,44911.00,43655.00
PARS.Petrochemical,20181023,45001.00,46000.00,42001.00,44911.00,596739949652,13287091,10737,D,44143.00,45801.00
PARS.Petrochemical,20181022,44202.00,44202.00,43200.00,44143.00,734183051993,16631989,7617,D,42098.00,44202.00
PARS.Petrochemical,20181021,43000.00,43000.00,41250.00,42098.00,217885294067,5175714,4113,D,41801.00,41500.00
PARS.Petrochemical,20181020,41750.00,41818.00,41200.00,41801.00,218315680640,5222707,1662,D,39827.00,41818.00
PARS.Petrochemical,20181017,39500.00,40500.00,38621.00,39827.00,187533300240,4708752,3066,D,39929.00,40200.00
PARS.Petrochemical,20181016,39820.00,40500.00,39000.00,39929.00,199677475608,5000770,3033,D,38778.00,39700.00
PARS.Petrochemical,20181015,37992.00,38932.00,37400.00,38778.00,206597174523,5327705,3307,D,37079.00,38932.00
PARS.Petrochemical,20181014,36001.00,37970.00,36001.00,37079.00,38904512902,1049222,645,D,36648.00,37558.00
PARS.Petrochemical,20181013,38700.00,38900.00,36502.00,36648.00,175966515495,4801476,2852,D,38423.00,36502.00
PARS.Petrochemical,20181010,37853.00,39100.00,37510.00,38423.00,163563956740,4256950,3421,D,37427.00,38300.00
PARS.Petrochemical,20181009,37351.00,37480.00,36500.00,37427.00,221842688578,5927338,2762,D,35696.00,37480.00
