<TICKER>,<DTYYYYMMDD>,<FIRST>,<HIGH>,<LOW>,<CLOSE>,<VALUE>,<VOL>,<OPENINT>,<PER>,<OPEN>,<LAST>
PNBA-O-980218,20190227,82.00,105.00,82.00,99.00,248200000,2500,25,D,109.00,105.00
PNBA-O-980218,20190226,81.00,120.00,81.00,109.00,164100000,1500,15,D,102.00,120.00
PNBA-O-980218,20190220,86.00,140.00,86.00,102.00,264600000,2600,27,D,65.00,140.00
PNBA-O-980218,20190219,90.00,90.00,60.00,65.00,78500000,1200,12,D,97.00,65.00
PNBA-O-980218,20190217,90.00,104.00,90.00,97.00,19400000,200,2,D,125.00,104.00
PNBA-O-980218,20190213,135.00,136.00,90.00,125.00,125400000,1000,10,D,100.00,90.00
PNBA-O-980218,20190212,100.00,100.00,100.00,100.00,10000000,100,1,D,109.00,100.00
PNBA-O-980218,20190210,108.00,110.00,108.00,109.00,21800000,200,2,D,250.00,110.00
PNBA-O-980218,20190204,250.00,250.00,250.00,250.00,25000000,100,1,D,163.00,250.00
PNBA-O-980218,20190203,163.00,163.00,163.00,163.00,163000,1,1,D,783.00,163.00
PNBA-O-980218,20190121,783.00,783.00,783.00,783.00,78300000,100,1,D,1.00,783.00
