<TICKER>,<DTYYYYMMDD>,<FIRST>,<HIGH>,<LOW>,<CLOSE>,<VALUE>,<VOL>,<OPENINT>,<PER>,<OPEN>,<LAST>
PNBA-O-980218,20190227,23.00,95.00,20.00,27.00,65100000,2420,29,D,21.00,40.00
PNBA-O-980218,20190226,20.00,30.00,20.00,21.00,43500000,2100,21,D,44.00,30.00
PNBA-O-980218,20190225,40.00,46.00,40.00,44.00,48537000,1097,19,D,20.00,45.00
PNBA-O-980218,20190220,15.00,37.00,15.00,20.00,43700000,2200,22,D,13.00,37.00
PNBA-O-980218,20190219,10.00,15.00,9.00,13.00,12900000,1000,10,D,19.00,15.00
PNBA-O-980218,20190217,15.00,20.00,15.00,19.00,9500000,500,5,D,23.00,20.00
PNBA-O-980218,20190213,29.00,30.00,15.00,23.00,20400000,900,9,D,14.00,30.00
PNBA-O-980218,20190210,14.00,14.00,14.00,14.00,1400000,100,1,D,41.00,14.00
PNBA-O-980218,20190206,41.00,41.00,41.00,41.00,8200000,200,2,D,53.00,41.00
PNBA-O-980218,20190204,55.00,55.00,50.00,53.00,10550000,200,4,D,53.00,50.00
PNBA-O-980218,20190203,53.00,53.00,53.00,53.00,5300000,100,1,D,1.00,53.00
