<TICKER>,<DTYYYYMMDD>,<FIRST>,<HIGH>,<LOW>,<CLOSE>,<VALUE>,<VOL>,<OPENINT>,<PER>,<OPEN>,<LAST>
Pak.Dairy,20190227,1884.00,1897.00,1838.00,1876.00,5338413154,2846307,454,D,1842.00,1853.00
Pak.Dairy,20190226,1800.00,1885.00,1770.00,1842.00,11458470152,6221611,797,D,1808.00,1869.00
Pak.Dairy,20190225,1820.00,1840.00,1783.00,1808.00,8230846468,4551364,682,D,1824.00,1840.00
Pak.Dairy,20190224,1786.00,1853.00,1722.00,1824.00,14985267161,8217189,1091,D,1765.00,1781.00
Pak.Dairy,20190223,1825.00,1827.00,1715.00,1765.00,21184735569,12004906,1304,D,1783.00,1780.00
Pak.Dairy,20190220,1847.00,1847.00,1749.00,1783.00,8015959196,4496536,716,D,1830.00,1779.00
Pak.Dairy,20190219,1846.00,1885.00,1803.00,1830.00,13359928209,7301055,796,D,1897.00,1811.00
Pak.Dairy,20190218,1928.00,1930.00,1818.00,1897.00,11122565208,5864119,810,D,1874.00,1831.00
Pak.Dairy,20190217,1781.00,1897.00,1743.00,1874.00,26571051937,14178108,1443,D,1807.00,1897.00
Pak.Dairy,20190216,1872.00,1872.00,1777.00,1807.00,10378139019,5742087,961,D,1847.00,1780.00
Pak.Dairy,20190213,1820.00,1861.00,1781.00,1847.00,42905207597,23235105,1965,D,1773.00,1861.00
Pak.Dairy,20190212,1710.00,1778.00,1706.00,1773.00,23240513508,13108769,856,D,1694.00,1778.00
Pak.Dairy,20190210,1685.00,1717.00,1652.00,1694.00,8338977264,4923318,587,D,1655.00,1710.00
Pak.Dairy,20190206,1620.00,1690.00,1590.00,1655.00,7327647533,4427513,463,D,1611.00,1685.00
Pak.Dairy,20190205,1630.00,1639.00,1600.00,1611.00,1977352227,1227392,203,D,1629.00,1628.00
Pak.Dairy,20190204,1646.00,1670.00,1601.00,1629.00,1756773525,1078381,188,D,1599.00,1620.00
Pak.Dairy,20190203,1650.00,1650.00,1580.00,1599.00,2834805218,1773305,245,D,1654.00,1611.00
Pak.Dairy,20190202,1703.00,1703.00,1633.00,1654.00,2250856235,1360492,190,D,1680.00,1645.00
Pak.Dairy,20190130,1652.00,1700.00,1652.00,1680.00,8663326278,5155351,611,D,1645.00,1698.00
Pak.Dairy,20190129,1630.00,1661.00,1609.00,1645.00,3104053178,1886747,262,D,1628.00,1654.00
Pak.Dairy,20190128,1641.00,1650.00,1615.00,1628.00,6589512717,4047250,331,D,1654.00,1640.00
Pak.Dairy,20190127,1645.00,1675.00,1625.00,1654.00,3075488992,1859700,408,D,1623.00,1640.00
Pak.Dairy,20190126,1580.00,1647.00,1580.00,1623.00,4530870066,2792428,510,D,1594.00,1634.00
Pak.Dairy,20190123,1600.00,1619.00,1581.00,1594.00,3020720738,1894676,332,D,1599.00,1590.00
Pak.Dairy,20190122,1590.00,1620.00,1570.00,1599.00,2564487347,1604161,223,D,1580.00,1600.00
Pak.Dairy,20190121,1618.00,1618.00,1563.00,1580.00,4045984550,2561010,355,D,1645.00,1580.00
Pak.Dairy,20190120,1655.00,1669.00,1622.00,1645.00,2693660274,1637526,251,D,1645.00,1649.00
Pak.Dairy,20190119,1680.00,1680.00,1615.00,1645.00,5190065810,3155657,405,D,1685.00,1642.00
Pak.Dairy,20190116,1650.00,1741.00,1640.00,1685.00,5844980047,3469629,499,D,1695.00,1655.00
Pak.Dairy,20190115,1740.00,1750.00,1650.00,1695.00,5267326755,3107575,542,D,1703.00,1650.00
Pak.Dairy,20190114,1657.00,1717.00,1630.00,1703.00,13857100616,8135491,944,D,1636.00,1716.00
Pak.Dairy,20190113,1630.00,1660.00,1606.00,1636.00,4322915469,2643143,409,D,1626.00,1647.00
Pak.Dairy,20190112,1650.00,1651.00,1617.00,1626.00,4285152693,2635346,336,D,1642.00,1625.00
Pak.Dairy,20190109,1649.00,1670.00,1624.00,1642.00,4708293420,2867125,372,D,1629.00,1640.00
Pak.Dairy,20190108,1615.00,1660.00,1610.00,1629.00,3552721425,2181191,388,D,1603.00,1640.00
Pak.Dairy,20190107,1608.00,1615.00,1590.00,1603.00,2845040701,1775357,254,D,1591.00,1604.00
Pak.Dairy,20190106,1600.00,1609.00,1571.00,1591.00,2555482429,1606208,273,D,1588.00,1590.00
Pak.Dairy,20190105,1600.00,1620.00,1570.00,1588.00,2471556297,1555945,283,D,1587.00,1595.00
Pak.Dairy,20190102,1610.00,1620.00,1571.00,1587.00,2357256962,1484994,256,D,1607.00,1580.00
Pak.Dairy,20190101,1620.00,1629.00,1589.00,1607.00,3920613734,2439090,327,D,1603.00,1600.00
Pak.Dairy,20181231,1621.00,1621.00,1577.00,1603.00,2475036310,1543912,280,D,1621.00,1597.00
Pak.Dairy,20181230,1655.00,1665.00,1583.00,1621.00,6627517407,4087581,547,D,1632.00,1610.00
Pak.Dairy,20181229,1588.00,1650.00,1588.00,1632.00,12023322503,7365656,883,D,1572.00,1650.00
Pak.Dairy,20181226,1588.00,1590.00,1551.00,1572.00,1885925276,1199926,173,D,1563.00,1578.00
Pak.Dairy,20181225,1551.00,1585.00,1551.00,1563.00,1856148459,1187457,195,D,1558.00,1555.00
Pak.Dairy,20181224,1563.00,1597.00,1531.00,1558.00,3030259493,1945208,333,D,1583.00,1576.00
Pak.Dairy,20181223,1571.00,1620.00,1560.00,1583.00,2865370395,1810266,311,D,1597.00,1578.00
Pak.Dairy,20181222,1573.00,1630.00,1526.00,1597.00,4837049848,3028034,484,D,1574.00,1600.00
Pak.Dairy,20181219,1630.00,1630.00,1555.00,1574.00,5738911659,3646033,526,D,1636.00,1571.00
Pak.Dairy,20181218,1648.00,1666.00,1556.00,1636.00,16937907662,10356258,1165,D,1587.00,1620.00
Pak.Dairy,20181217,1530.00,1590.00,1530.00,1587.00,6288116672,3963472,264,D,1515.00,1590.00
Pak.Dairy,20181216,1540.00,1558.00,1501.00,1515.00,5443665477,3593288,387,D,1535.00,1521.00
Pak.Dairy,20181215,1579.00,1580.00,1510.00,1535.00,2266236613,1476038,262,D,1557.00,1510.00
Pak.Dairy,20181212,1569.00,1588.00,1530.00,1557.00,3908213004,2509843,430,D,1558.00,1565.00
Pak.Dairy,20181211,1522.00,1579.00,1522.00,1558.00,2834351133,1818980,281,D,1522.00,1556.00
Pak.Dairy,20181210,1491.00,1540.00,1491.00,1522.00,2504998514,1645798,237,D,1508.00,1540.00
Pak.Dairy,20181209,1550.00,1598.00,1498.00,1508.00,7563601744,5016334,589,D,1576.00,1510.00
Pak.Dairy,20181208,1568.00,1601.00,1560.00,1576.00,3100013939,1966570,285,D,1555.00,1571.00
Pak.Dairy,20181205,1559.00,1575.00,1530.00,1555.00,2362621000,1518976,244,D,1511.00,1549.00
Pak.Dairy,20181204,1547.00,1550.00,1492.00,1511.00,2660160800,1761043,327,D,1547.00,1543.00
Pak.Dairy,20181203,1585.00,1586.00,1533.00,1547.00,2844787414,1838339,220,D,1525.00,1547.00
Pak.Dairy,20181202,1488.00,1570.00,1488.00,1525.00,4042941815,2650781,369,D,1510.00,1540.00
Pak.Dairy,20181201,1597.00,1597.00,1504.00,1510.00,1502531239,994739,197,D,1583.00,1504.00
Pak.Dairy,20181128,1619.00,1619.00,1567.00,1583.00,1759524740,1111377,180,D,1581.00,1583.00
Pak.Dairy,20181127,1590.00,1601.00,1559.00,1581.00,2986922714,1888889,270,D,1571.00,1590.00
Pak.Dairy,20181126,1614.00,1660.00,1558.00,1571.00,2964557481,1886943,273,D,1640.00,1574.00
Pak.Dairy,20181124,1688.00,1728.00,1602.00,1640.00,2179180770,1328876,276,D,1672.00,1607.00
Pak.Dairy,20181121,1669.00,1678.00,1630.00,1672.00,6952959647,4157229,468,D,1599.00,1678.00
Pak.Dairy,20181120,1633.00,1635.00,1556.00,1599.00,1705864730,1066528,228,D,1586.00,1630.00
Pak.Dairy,20181119,1556.00,1609.00,1540.00,1586.00,4001033638,2521949,278,D,1533.00,1609.00
Pak.Dairy,20181118,1648.00,1648.00,1521.00,1533.00,1845786241,1203995,229,D,1601.00,1569.00
Pak.Dairy,20181117,1621.00,1665.00,1586.00,1601.00,4427126975,2764900,450,D,1669.00,1590.00
Pak.Dairy,20181114,1688.00,1698.00,1658.00,1669.00,2446475772,1465958,214,D,1710.00,1659.00
Pak.Dairy,20181113,1747.00,1747.00,1686.00,1710.00,2687398950,1571903,283,D,1719.00,1688.00
Pak.Dairy,20181112,1750.00,1750.00,1655.00,1719.00,4399742933,2559626,308,D,1742.00,1720.00
Pak.Dairy,20181111,1751.00,1775.00,1710.00,1742.00,3839048947,2204118,300,D,1737.00,1730.00
Pak.Dairy,20181110,1718.00,1759.00,1700.00,1737.00,7377092463,4247621,514,D,1685.00,1740.00
Pak.Dairy,20181106,1690.00,1725.00,1650.00,1685.00,5680230956,3371453,402,D,1665.00,1700.00
