<TICKER>,<DTYYYYMMDD>,<FIRST>,<HIGH>,<LOW>,<CLOSE>,<VALUE>,<VOL>,<OPENINT>,<PER>,<OPEN>,<LAST>
Palayesh.Tehran,20190227,5300.00,5379.00,5276.00,5321.00,12157577811,2284792,352,D,5282.00,5310.00
Palayesh.Tehran,20190226,5240.00,5380.00,5230.00,5282.00,23798300496,4505332,598,D,5490.00,5280.00
Palayesh.Tehran,20190225,5599.00,5599.00,5400.00,5490.00,34609934277,6304555,789,D,5558.00,5496.00
Palayesh.Tehran,20190224,5500.00,5650.00,5450.00,5558.00,37921516940,6822996,957,D,5520.00,5609.00
Palayesh.Tehran,20190223,5399.00,5529.00,5378.00,5520.00,125456052302,22729508,1675,D,5266.00,5470.00
Palayesh.Tehran,20190220,5152.00,5388.00,5128.00,5266.00,33577121768,6376329,1116,D,5143.00,5374.00
Palayesh.Tehran,20190219,5082.00,5195.00,5082.00,5143.00,9479884290,1843901,335,D,5170.00,5133.00
Palayesh.Tehran,20190218,5152.00,5229.00,5120.00,5170.00,9204624229,1780904,413,D,5187.00,5170.00
Palayesh.Tehran,20190217,5190.00,5270.00,5130.00,5187.00,16496721490,3180480,481,D,5190.00,5152.00
Palayesh.Tehran,20190216,5180.00,5299.00,5116.00,5190.00,18212226365,3508998,693,D,5105.00,5151.00
Palayesh.Tehran,20190213,5180.00,5199.00,5050.00,5105.00,17871816275,3500757,625,D,5132.00,5060.00
Palayesh.Tehran,20190212,5150.00,5250.00,5056.00,5132.00,18772482903,3658246,616,D,5147.00,5079.00
Palayesh.Tehran,20190210,5090.00,5210.00,5090.00,5147.00,12630828732,2453820,426,D,5149.00,5140.00
Palayesh.Tehran,20190206,5190.00,5271.00,5091.00,5149.00,20239033930,3930486,660,D,5193.00,5110.00
Palayesh.Tehran,20190205,5200.00,5289.00,5160.00,5193.00,21036409644,4051300,484,D,5212.00,5170.00
Palayesh.Tehran,20190204,5280.00,5290.00,5156.00,5212.00,14970465811,2872557,422,D,5204.00,5170.00
