<TICKER>,<DTYYYYMMDD>,<FIRST>,<HIGH>,<LOW>,<CLOSE>,<VALUE>,<VOL>,<OPENINT>,<PER>,<OPEN>,<LAST>
Pardis.Invsetment,20190227,1192.00,1220.00,1184.00,1188.00,5717587722,4813194,430,D,1191.00,1185.00
Pardis.Invsetment,20190226,1200.00,1200.00,1185.00,1191.00,2763097189,2319459,356,D,1217.00,1191.00
Pardis.Invsetment,20190225,1222.00,1244.00,1201.00,1217.00,3697470105,3038051,375,D,1239.00,1208.00
Pardis.Invsetment,20190224,1260.00,1262.00,1211.00,1239.00,4379078470,3534742,502,D,1236.00,1230.00
Pardis.Invsetment,20190223,1221.00,1239.00,1216.00,1236.00,10875092779,8796098,712,D,1180.00,1229.00
Pardis.Invsetment,20190220,1146.00,1221.00,1142.00,1180.00,9343988886,7917466,794,D,1163.00,1210.00
Pardis.Invsetment,20190219,1206.00,1206.00,1145.00,1163.00,7762495083,6676069,718,D,1151.00,1159.00
Pardis.Invsetment,20190212,1578.00,1637.00,1575.00,1601.00,15466324683,9662764,970,D,1586.00,1590.00
Pardis.Invsetment,20190210,1589.00,1599.00,1569.00,1586.00,5623200890,3546247,387,D,1560.00,1585.00
Pardis.Invsetment,20190206,1550.00,1594.00,1550.00,1560.00,3820240491,2448300,285,D,1563.00,1592.00
Pardis.Invsetment,20190205,1590.00,1590.00,1540.00,1563.00,2581970078,1651786,227,D,1570.00,1560.00
Pardis.Invsetment,20190204,1539.00,1576.00,1526.00,1570.00,13820321246,8805221,792,D,1501.00,1576.00
Pardis.Invsetment,20190203,1513.00,1529.00,1485.00,1501.00,4374142912,2914315,412,D,1528.00,1523.00
Pardis.Invsetment,20190202,1531.00,1545.00,1520.00,1528.00,3909560144,2558428,271,D,1538.00,1523.00
Pardis.Invsetment,20190130,1550.00,1551.00,1527.00,1538.00,3113036336,2024412,311,D,1549.00,1542.00
Pardis.Invsetment,20190129,1577.00,1578.00,1539.00,1549.00,3521158679,2272563,341,D,1549.00,1550.00
Pardis.Invsetment,20190128,1550.00,1594.00,1539.00,1549.00,3985152381,2572473,317,D,1565.00,1565.00
Pardis.Invsetment,20190127,1599.00,1599.00,1545.00,1565.00,5476622035,3500347,357,D,1573.00,1555.00
Pardis.Invsetment,20190126,1574.00,1600.00,1561.00,1573.00,4134167026,2628874,364,D,1581.00,1575.00
Pardis.Invsetment,20190123,1571.00,1603.00,1571.00,1581.00,3456369350,2185969,429,D,1585.00,1580.00
Pardis.Invsetment,20190122,1547.00,1600.00,1547.00,1585.00,2908894218,1835134,270,D,1572.00,1580.00
Pardis.Invsetment,20190121,1621.00,1625.00,1567.00,1572.00,13036310097,8294101,720,D,1649.00,1575.00
Pardis.Invsetment,20190120,1695.00,1695.00,1625.00,1649.00,7690236742,4663461,568,D,1674.00,1625.00
Pardis.Invsetment,20190119,1719.00,1719.00,1664.00,1674.00,8723214226,5211521,628,D,1699.00,1680.00
Pardis.Invsetment,20190116,1711.00,1738.00,1671.00,1699.00,6887601206,4054091,588,D,1714.00,1710.00
Pardis.Invsetment,20190115,1695.00,1743.00,1668.00,1714.00,19292409252,11257799,1251,D,1690.00,1720.00
Pardis.Invsetment,20190114,1682.00,1735.00,1662.00,1690.00,15154277745,8966539,1058,D,1671.00,1671.00
Pardis.Invsetment,20190113,1650.00,1673.00,1640.00,1671.00,38592898311,23098507,1393,D,1594.00,1673.00
Pardis.Invsetment,20190112,1594.00,1625.00,1571.00,1594.00,8786862045,5514029,461,D,1611.00,1620.00
Pardis.Invsetment,20190109,1610.00,1633.00,1593.00,1611.00,5948006415,3692974,435,D,1635.00,1630.00
Pardis.Invsetment,20190108,1670.00,1670.00,1573.00,1635.00,16739874407,10239895,886,D,1622.00,1608.00
Pardis.Invsetment,20190107,1580.00,1632.00,1520.00,1622.00,31835243447,19624343,933,D,1555.00,1632.00
Pardis.Invsetment,20190106,1500.00,1571.00,1500.00,1555.00,8881368812,5713095,615,D,1503.00,1556.00
Pardis.Invsetment,20190105,1534.00,1534.00,1498.00,1503.00,10658171717,7090189,484,D,1541.00,1526.00
Pardis.Invsetment,20190102,1569.00,1584.00,1500.00,1541.00,6367068912,4130534,523,D,1543.00,1520.00
Pardis.Invsetment,20190101,1469.00,1551.00,1469.00,1543.00,12200904158,7908281,758,D,1478.00,1551.00
Pardis.Invsetment,20181231,1471.00,1486.00,1468.00,1478.00,3555765670,2406601,313,D,1476.00,1469.00
Pardis.Invsetment,20181230,1476.00,1494.00,1467.00,1476.00,4769392878,3231350,289,D,1482.00,1480.00
Pardis.Invsetment,20181229,1500.00,1500.00,1470.00,1482.00,3045352821,2054597,183,D,1473.00,1482.00
Pardis.Invsetment,20181226,1463.00,1490.00,1463.00,1473.00,3247554817,2204686,262,D,1468.00,1490.00
Pardis.Invsetment,20181225,1481.00,1496.00,1460.00,1468.00,2891078305,1969042,267,D,1483.00,1462.00
Pardis.Invsetment,20181224,1500.00,1500.00,1472.00,1483.00,1269603687,855868,149,D,1499.00,1484.00
Pardis.Invsetment,20181223,1485.00,1512.00,1485.00,1499.00,2861782744,1909228,218,D,1481.00,1493.00
Pardis.Invsetment,20181222,1500.00,1500.00,1470.00,1481.00,2247432157,1517829,161,D,1482.00,1479.00
Pardis.Invsetment,20181219,1489.00,1489.00,1476.00,1482.00,2861110188,1930492,255,D,1497.00,1482.00
Pardis.Invsetment,20181218,1485.00,1510.00,1484.00,1497.00,3761992669,2513417,259,D,1502.00,1500.00
Pardis.Invsetment,20181217,1517.00,1517.00,1488.00,1502.00,4914198251,3271689,305,D,1502.00,1497.00
Pardis.Invsetment,20181216,1500.00,1518.00,1490.00,1502.00,4129376467,2749677,269,D,1500.00,1502.00
Pardis.Invsetment,20181215,1491.00,1520.00,1489.00,1500.00,4399362085,2933136,304,D,1496.00,1500.00
Pardis.Invsetment,20181212,1500.00,1503.00,1485.00,1496.00,5194958096,3473067,344,D,1497.00,1503.00
Pardis.Invsetment,20181211,1508.00,1512.00,1493.00,1497.00,2937739348,1962297,249,D,1502.00,1493.00
Pardis.Invsetment,20181210,1500.00,1516.00,1495.00,1502.00,3723273069,2478811,298,D,1501.00,1496.00
Pardis.Invsetment,20181209,1520.00,1520.00,1496.00,1501.00,5805613735,3866575,346,D,1503.00,1501.00
Pardis.Invsetment,20181208,1527.00,1527.00,1496.00,1503.00,4757184274,3164647,383,D,1511.00,1513.00
Pardis.Invsetment,20181205,1540.00,1540.00,1491.00,1511.00,2365489799,1565967,232,D,1502.00,1517.00
Pardis.Invsetment,20181204,1533.00,1534.00,1492.00,1502.00,3875115444,2579496,271,D,1527.00,1501.00
Pardis.Invsetment,20181203,1511.00,1549.00,1500.00,1527.00,5146769005,3370843,373,D,1500.00,1520.00
Pardis.Invsetment,20181202,1480.00,1525.00,1480.00,1500.00,4861392715,3241195,371,D,1480.00,1499.00
Pardis.Invsetment,20181201,1550.00,1550.00,1463.00,1480.00,7647005520,5165303,519,D,1540.00,1500.00
Pardis.Invsetment,20181128,1569.00,1569.00,1519.00,1540.00,3985365220,2587400,280,D,1549.00,1550.00
