<TICKER>,<DTYYYYMMDD>,<FIRST>,<HIGH>,<LOW>,<CLOSE>,<VALUE>,<VOL>,<OPENINT>,<PER>,<OPEN>,<LAST>
Pars.Agro.,20190227,7655.00,7950.00,7655.00,7860.00,3413874981,434330,292,D,7837.00,7939.00
Pars.Agro.,20190226,7710.00,7935.00,7630.00,7837.00,5082301893,648484,242,D,7975.00,7630.00
Pars.Agro.,20190225,7707.00,8100.00,7707.00,7975.00,5726461869,718055,377,D,7873.00,7825.00
Pars.Agro.,20190224,7701.00,8050.00,7701.00,7873.00,2944595511,374023,291,D,7865.00,7770.00
Pars.Agro.,20190223,8100.00,8100.00,7750.00,7865.00,9701930070,1233582,557,D,7998.00,7770.00
Pars.Agro.,20190220,7839.00,8217.00,7582.00,7998.00,16571686671,2072030,854,D,7826.00,8070.00
Pars.Agro.,20190219,7830.00,7880.00,7615.00,7826.00,18412487501,2352839,780,D,7505.00,7829.00
Pars.Agro.,20190218,7550.00,7611.00,7250.00,7505.00,7744470190,1031901,497,D,7249.00,7611.00
Pars.Agro.,20190217,6856.00,7339.00,6856.00,7249.00,5601659683,772766,461,D,6990.00,7339.00
Pars.Agro.,20190216,7000.00,7144.00,6855.00,6990.00,4578379739,655025,447,D,7076.00,6999.00
Pars.Agro.,20190213,7031.00,7188.00,7001.00,7076.00,5343250383,755094,602,D,7041.00,7025.00
Pars.Agro.,20190212,6938.00,7185.00,6938.00,7041.00,2274165581,322982,354,D,6937.00,7041.00
Pars.Agro.,20190210,7000.00,7000.00,6900.00,6937.00,1475001168,212627,195,D,6991.00,6968.00
Pars.Agro.,20190206,6950.00,7030.00,6903.00,6991.00,2984607832,426923,267,D,7011.00,6990.00
Pars.Agro.,20190205,6940.00,7100.00,6940.00,7011.00,3656663754,521551,254,D,6949.00,7000.00
Pars.Agro.,20190204,6753.00,7100.00,6753.00,6949.00,4352290776,626280,377,D,6931.00,6910.00
Pars.Agro.,20190203,7022.00,7050.00,6800.00,6931.00,4795955155,691934,330,D,7106.00,6993.00
Pars.Agro.,20190202,7270.00,7298.00,7016.00,7106.00,3168015054,445848,373,D,7300.00,7030.00
Pars.Agro.,20190130,7300.00,7370.00,7252.00,7300.00,6071737292,831718,416,D,7371.00,7262.00
Pars.Agro.,20190129,7450.00,7500.00,7310.00,7371.00,3694602511,501227,336,D,7438.00,7310.00
Pars.Agro.,20190128,7411.00,7680.00,7401.00,7438.00,2993067122,402425,317,D,7513.00,7450.00
Pars.Agro.,20190127,7700.00,7700.00,7401.00,7513.00,5492964105,731152,437,D,7660.00,7513.00
Pars.Agro.,20190126,7716.00,7795.00,7563.00,7660.00,2328687104,304014,338,D,7564.00,7650.00
Pars.Agro.,20190123,7501.00,7777.00,7300.00,7564.00,7817791034,1033492,897,D,7426.00,7716.00
Pars.Agro.,20190122,7490.00,7550.00,7330.00,7426.00,2782552798,374712,386,D,7502.00,7496.00
