<TICKER>,<DTYYYYMMDD>,<FIRST>,<HIGH>,<LOW>,<CLOSE>,<VALUE>,<VOL>,<OPENINT>,<PER>,<OPEN>,<LAST>
Pars.Ceram,20190227,34734.00,34734.00,34734.00,34734.00,25530288882,735023,179,D,33080.00,34734.00
Pars.Ceram,20190226,33080.00,33080.00,33080.00,33080.00,793920000,24000,19,D,31505.00,33080.00
Pars.Ceram,20190225,31505.00,31505.00,31505.00,31505.00,768974040,24408,24,D,30005.00,31505.00
Pars.Ceram,20190224,28891.00,30334.00,28891.00,30005.00,16535447997,551095,285,D,28890.00,30334.00
Pars.Ceram,20190223,29128.00,29128.00,27741.00,28890.00,63548335188,2199691,1097,D,27741.00,28700.00
Pars.Ceram,20190220,27741.00,27741.00,27741.00,27741.00,3142861113,113293,36,D,26420.00,27741.00
Pars.Ceram,20190219,26420.00,26420.00,26420.00,26420.00,3284666500,124325,40,D,25162.00,26420.00
Pars.Ceram,20190218,23970.00,25168.00,23970.00,25162.00,30312321504,1204667,143,D,22829.00,25168.00
Pars.Ceram,20190213,22829.00,22829.00,22829.00,22829.00,14750159335,646115,109,D,21742.00,22829.00
Pars.Ceram,20190212,21742.00,21742.00,21742.00,21742.00,3236753282,148871,29,D,20707.00,21742.00
Pars.Ceram,20190210,20707.00,20707.00,20707.00,20707.00,1029552040,49720,12,D,19721.00,20707.00
Pars.Ceram,20190206,19721.00,19721.00,19721.00,19721.00,5354330384,271504,84,D,18782.00,19721.00
Pars.Ceram,20190205,18900.00,19224.00,17394.00,18782.00,43145752044,2297219,882,D,18309.00,19224.00
Pars.Ceram,20190204,18309.00,18309.00,18309.00,18309.00,1467832530,80170,25,D,17438.00,18309.00
Pars.Ceram,20190203,17438.00,17438.00,17438.00,17438.00,713231638,40901,25,D,16608.00,17438.00
Pars.Ceram,20190202,16608.00,16608.00,16608.00,16608.00,1097024832,66054,29,D,15818.00,16608.00
Pars.Ceram,20190130,15818.00,15818.00,15818.00,15818.00,1346570522,85129,30,D,15065.00,15818.00
