<TICKER>,<DTYYYYMMDD>,<FIRST>,<HIGH>,<LOW>,<CLOSE>,<VALUE>,<VOL>,<OPENINT>,<PER>,<OPEN>,<LAST>
Pars.Int..Mfg.,20190227,4100.00,4160.00,3921.00,4029.00,16333895735,4053974,833,D,4056.00,3928.00
Pars.Int..Mfg.,20190226,3770.00,4108.00,3760.00,4056.00,20837774597,5136974,749,D,3913.00,4107.00
Pars.Int..Mfg.,20190225,3939.00,3939.00,3838.00,3913.00,11059898265,2826100,559,D,3752.00,3885.00
Pars.Int..Mfg.,20190224,3663.00,3866.00,3659.00,3752.00,5976000043,1592958,433,D,3794.00,3800.00
Pars.Int..Mfg.,20190223,3900.00,3954.00,3594.00,3794.00,11452534995,3018573,850,D,3783.00,3750.00
Pars.Int..Mfg.,20190220,3783.00,3783.00,3722.00,3783.00,15843619488,4188449,404,D,3603.00,3783.00
Pars.Int..Mfg.,20190219,3500.00,3654.00,3410.00,3603.00,9960289276,2764298,452,D,3480.00,3654.00
Pars.Int..Mfg.,20190218,3498.00,3529.00,3401.00,3480.00,5177605403,1487899,281,D,3442.00,3410.00
Pars.Int..Mfg.,20190217,3445.00,3487.00,3370.00,3442.00,9701145333,2818802,481,D,3366.00,3480.00
Pars.Int..Mfg.,20190216,3307.00,3410.00,3290.00,3366.00,5941701494,1765053,361,D,3268.00,3400.00
Pars.Int..Mfg.,20190213,3299.00,3304.00,3250.00,3268.00,1931276967,590980,213,D,3304.00,3290.00
Pars.Int..Mfg.,20190212,3360.00,3360.00,3251.00,3304.00,3032015849,917737,208,D,3266.00,3288.00
Pars.Int..Mfg.,20190210,3309.00,3399.00,3201.00,3266.00,3424187916,1048398,203,D,3281.00,3299.00
Pars.Int..Mfg.,20190206,3389.00,3389.00,3259.00,3281.00,3258056334,993008,288,D,3312.00,3290.00
Pars.Int..Mfg.,20190205,3448.00,3448.00,3270.00,3312.00,4954318455,1495907,333,D,3408.00,3295.00
Pars.Int..Mfg.,20190204,3397.00,3473.00,3306.00,3408.00,5690921143,1669994,356,D,3478.00,3340.00
Pars.Int..Mfg.,20190203,3439.00,3575.00,3304.00,3478.00,16938751379,4869714,831,D,3405.00,3437.00
Pars.Int..Mfg.,20190202,3397.00,3476.00,3306.00,3405.00,4531289799,1330626,310,D,3450.00,3321.00
Pars.Int..Mfg.,20190130,3388.00,3489.00,3388.00,3450.00,8095305060,2346341,466,D,3332.00,3400.00
