<TICKER>,<DTYYYYMMDD>,<FIRST>,<HIGH>,<LOW>,<CLOSE>,<VALUE>,<VOL>,<OPENINT>,<PER>,<OPEN>,<LAST>
Pars.Khodro,20190227,767.00,777.00,759.00,768.00,36075950065,46980295,2369,D,765.00,760.00
Pars.Khodro,20190226,770.00,774.00,757.00,765.00,24621582359,32168996,1776,D,782.00,773.00
Pars.Khodro,20190225,792.00,807.00,770.00,782.00,81625301404,104418295,4790,D,803.00,778.00
Pars.Khodro,20190224,810.00,828.00,787.00,803.00,36073088169,44896020,2814,D,793.00,790.00
Pars.Khodro,20190223,775.00,813.00,770.00,793.00,81993489110,103413446,4521,D,775.00,809.00
Pars.Khodro,20190220,784.00,790.00,771.00,775.00,10928247689,14099927,971,D,777.00,775.00
Pars.Khodro,20190219,775.00,783.00,772.00,777.00,11861704765,15273385,984,D,772.00,783.00
Pars.Khodro,20190218,780.00,783.00,763.00,772.00,13019215042,16865109,1066,D,767.00,766.00
Pars.Khodro,20190217,784.00,784.00,760.00,767.00,8401279913,10950344,1011,D,786.00,770.00
Pars.Khodro,20190216,783.00,799.00,776.00,786.00,13402998412,17062286,1342,D,773.00,780.00
Pars.Khodro,20190213,775.00,790.00,760.00,773.00,17412753907,22534597,1833,D,781.00,778.00
Pars.Khodro,20190212,800.00,800.00,773.00,781.00,13202519524,16900206,1277,D,799.00,776.00
Pars.Khodro,20190210,811.00,811.00,790.00,799.00,11805211000,14779482,1049,D,793.00,792.00
Pars.Khodro,20190206,794.00,811.00,777.00,793.00,23208403215,29282707,1886,D,787.00,799.00
Pars.Khodro,20190205,800.00,800.00,780.00,787.00,22719362138,28871590,1825,D,794.00,782.00
Pars.Khodro,20190204,791.00,808.00,785.00,794.00,15587120360,19629219,1457,D,790.00,791.00
Pars.Khodro,20190203,819.00,819.00,779.00,790.00,21243251146,26903647,1982,D,813.00,793.00
Pars.Khodro,20190202,822.00,831.00,795.00,813.00,22887855582,28137578,2017,D,828.00,807.00
Pars.Khodro,20190130,827.00,842.00,817.00,828.00,29548174660,35669522,2202,D,818.00,821.00
Pars.Khodro,20190129,822.00,837.00,812.00,818.00,21483841950,26270607,1717,D,823.00,828.00
Pars.Khodro,20190128,826.00,849.00,815.00,823.00,62421763226,75804346,3854,D,829.00,815.00
Pars.Khodro,20190127,812.00,851.00,812.00,829.00,32164953654,38781375,2475,D,831.00,823.00
Pars.Khodro,20190126,855.00,859.00,825.00,831.00,42287916855,50874154,3248,D,868.00,825.00
Pars.Khodro,20190123,878.00,885.00,856.00,868.00,16646919980,19174620,1578,D,859.00,868.00
Pars.Khodro,20190122,844.00,878.00,830.00,859.00,36154592394,42104586,2327,D,848.00,875.00
Pars.Khodro,20190121,853.00,855.00,848.00,848.00,60258203467,71032537,2855,D,892.00,848.00
Pars.Khodro,20190120,910.00,913.00,882.00,892.00,33592563964,37675264,2579,D,903.00,883.00
Pars.Khodro,20190119,912.00,926.00,886.00,903.00,42438545411,46991104,2860,D,907.00,905.00
Pars.Khodro,20190116,918.00,930.00,900.00,907.00,49056192897,54112385,3115,D,926.00,906.00
Pars.Khodro,20190115,931.00,949.00,907.00,926.00,45121598821,48705622,2987,D,948.00,919.00
Pars.Khodro,20190114,973.00,973.00,940.00,948.00,50681131277,53450538,3249,D,989.00,940.00
Pars.Khodro,20190113,997.00,997.00,963.00,989.00,157362307903,159097641,6874,D,950.00,972.00
Pars.Khodro,20190112,934.00,967.00,915.00,950.00,60022333839,63166290,3743,D,921.00,967.00
Pars.Khodro,20190109,930.00,941.00,910.00,921.00,39344871644,42729002,2332,D,928.00,921.00
Pars.Khodro,20190108,940.00,950.00,920.00,928.00,24946288984,26888723,1796,D,941.00,928.00
Pars.Khodro,20190107,927.00,956.00,927.00,941.00,28295098548,30077812,1777,D,929.00,937.00
Pars.Khodro,20190106,953.00,953.00,924.00,929.00,33393483066,35944496,2212,D,946.00,930.00
Pars.Khodro,20190105,941.00,965.00,934.00,946.00,30476862684,32206898,1930,D,954.00,938.00
Pars.Khodro,20190102,950.00,970.00,933.00,954.00,43278582010,45365419,2743,D,944.00,949.00
Pars.Khodro,20190101,959.00,966.00,932.00,944.00,39474911299,41821195,2556,D,965.00,936.00
Pars.Khodro,20181231,950.00,985.00,950.00,965.00,44672680058,46299310,2782,D,945.00,956.00
Pars.Khodro,20181230,929.00,968.00,925.00,945.00,26831968362,28396787,1957,D,944.00,949.00
Pars.Khodro,20181229,963.00,976.00,929.00,944.00,31971140335,33881070,2124,D,955.00,932.00
Pars.Khodro,20181226,931.00,967.00,921.00,955.00,53910174128,56443163,3196,D,922.00,957.00
Pars.Khodro,20181225,931.00,934.00,915.00,922.00,23636023506,25635372,1556,D,944.00,921.00
Pars.Khodro,20181224,960.00,960.00,932.00,944.00,19447100811,20610399,1341,D,948.00,937.00
Pars.Khodro,20181223,940.00,961.00,935.00,948.00,26408180303,27860311,1689,D,932.00,942.00
Pars.Khodro,20181222,935.00,945.00,921.00,932.00,18678390632,20049303,1278,D,924.00,922.00
Pars.Khodro,20181219,917.00,943.00,904.00,924.00,20952892166,22675566,1545,D,916.00,937.00
Pars.Khodro,20181218,946.00,946.00,906.00,916.00,19997383407,21831676,1654,D,952.00,908.00
Pars.Khodro,20181217,960.00,960.00,935.00,952.00,44093791990,46328982,2444,D,915.00,937.00
Pars.Khodro,20181216,931.00,940.00,891.00,915.00,21236972369,23197601,1706,D,932.00,921.00
Pars.Khodro,20181215,964.00,969.00,920.00,932.00,23027201527,24705675,2086,D,964.00,925.00
Pars.Khodro,20181212,980.00,985.00,950.00,964.00,24822230250,25753164,1918,D,970.00,955.00
Pars.Khodro,20181211,980.00,987.00,942.00,970.00,34470050596,35534093,2232,D,975.00,970.00
Pars.Khodro,20181210,980.00,1000.00,957.00,975.00,60441442499,61996497,3256,D,1006.00,961.00
Pars.Khodro,20181209,1050.00,1050.00,960.00,1006.00,153252159021,152367906,8020,D,1000.00,970.00
Pars.Khodro,20181208,1000.00,1000.00,990.00,1000.00,76820017279,76838640,2908,D,953.00,1000.00
Pars.Khodro,20181205,940.00,954.00,930.00,953.00,73094109089,76715048,3244,D,909.00,954.00
Pars.Khodro,20181204,903.00,928.00,892.00,909.00,22152866213,24359908,1508,D,920.00,909.00
Pars.Khodro,20181203,942.00,954.00,897.00,920.00,40064768591,43567903,2534,D,927.00,912.00
Pars.Khodro,20181202,900.00,934.00,900.00,927.00,36095983191,38928992,2104,D,890.00,934.00
Pars.Khodro,20181201,932.00,932.00,870.00,890.00,33565883583,37730579,2201,D,911.00,888.00
Pars.Khodro,20181128,919.00,940.00,901.00,911.00,29437205646,32307733,2020,D,947.00,918.00
Pars.Khodro,20181127,943.00,964.00,933.00,947.00,28504819934,30108600,1989,D,942.00,943.00
Pars.Khodro,20181126,970.00,979.00,920.00,942.00,36900772598,39154355,2481,D,958.00,940.00
Pars.Khodro,20181124,960.00,960.00,930.00,958.00,88460289324,92332775,3625,D,915.00,960.00
Pars.Khodro,20181121,890.00,920.00,890.00,915.00,51245638059,56008675,2944,D,877.00,920.00
Pars.Khodro,20181120,886.00,894.00,852.00,877.00,22075190503,25180262,1581,D,887.00,888.00
Pars.Khodro,20181119,880.00,899.00,870.00,887.00,20096554999,22654400,1700,D,874.00,883.00
Pars.Khodro,20181118,920.00,921.00,859.00,874.00,51393741597,58830041,3254,D,904.00,871.00
Pars.Khodro,20181117,895.00,923.00,888.00,904.00,36211729377,40046437,2708,D,898.00,902.00
Pars.Khodro,20181114,903.00,920.00,880.00,898.00,34062613175,37944344,2140,D,924.00,895.00
Pars.Khodro,20181113,954.00,954.00,900.00,924.00,53653619699,58052560,3222,D,925.00,902.00
Pars.Khodro,20181112,904.00,935.00,896.00,925.00,66240979948,71587659,3792,D,891.00,935.00
Pars.Khodro,20181111,930.00,930.00,874.00,891.00,38580626573,43321943,2415,D,920.00,896.00
Pars.Khodro,20181110,906.00,935.00,886.00,920.00,59455607095,64598653,3397,D,891.00,925.00
Pars.Khodro,20181106,890.00,913.00,869.00,891.00,35665705198,40022942,2491,D,880.00,889.00
Pars.Khodro,20181105,841.00,883.00,836.00,880.00,35501687975,40353308,1862,D,841.00,883.00
Pars.Khodro,20181104,836.00,872.00,823.00,841.00,34635115986,41167626,2197,D,866.00,830.00
Pars.Khodro,20181103,885.00,893.00,842.00,866.00,28528555773,32952603,1820,D,884.00,842.00
Pars.Khodro,20181031,868.00,896.00,854.00,884.00,40785057933,46120904,2620,D,854.00,894.00
Pars.Khodro,20181029,855.00,857.00,835.00,854.00,54447351460,63738757,2783,D,817.00,857.00
Pars.Khodro,20181028,796.00,838.00,796.00,817.00,31987628167,39160659,1994,D,799.00,838.00
Pars.Khodro,20181027,782.00,841.00,782.00,799.00,52235664759,65385339,3282,D,823.00,795.00
Pars.Khodro,20181024,817.00,817.00,817.00,823.00,6442153661,7885133,466,D,860.00,817.00
Pars.Khodro,20181023,859.00,872.00,859.00,860.00,10457431909,12164460,703,D,904.00,859.00
Pars.Khodro,20181022,925.00,930.00,899.00,904.00,37777197030,41803242,2191,D,946.00,899.00
Pars.Khodro,20181021,961.00,988.00,926.00,946.00,51750108712,54723083,3059,D,951.00,935.00
Pars.Khodro,20181020,949.00,952.00,941.00,951.00,65217176355,68544236,2864,D,907.00,952.00
Pars.Khodro,20181017,917.00,930.00,869.00,907.00,73478007473,80987653,3667,D,914.00,920.00
Pars.Khodro,20181016,917.00,917.00,891.00,914.00,73103236510,79954098,3030,D,874.00,917.00
Pars.Khodro,20181015,852.00,876.00,852.00,874.00,44697398426,51147703,2211,D,835.00,876.00
Pars.Khodro,20181014,834.00,860.00,834.00,835.00,34531490003,41353252,1398,D,877.00,834.00
Pars.Khodro,20181013,878.00,900.00,870.00,877.00,15969682290,18216094,809,D,915.00,870.00
Pars.Khodro,20181010,931.00,945.00,912.00,915.00,31598195759,34540387,1380,D,960.00,912.00
Pars.Khodro,20181009,935.00,1018.00,935.00,960.00,176964949924,184352425,7710,D,984.00,935.00
Pars.Khodro,20181008,984.00,984.00,984.00,984.00,9603271248,9759422,310,D,1035.00,984.00
Pars.Khodro,20181007,1028.00,1028.00,1028.00,1035.00,8148049304,7926118,322,D,1082.00,1028.00
Pars.Khodro,20181006,1100.00,1134.00,1044.00,1082.00,64491679745,59579447,2702,D,1098.00,1044.00
Pars.Khodro,20181003,1098.00,1098.00,1098.00,1098.00,44432661690,40466905,1349,D,1155.00,1098.00
Pars.Khodro,20181002,1195.00,1195.00,1139.00,1155.00,23766574291,20573919,893,D,1198.00,1139.00
