<TICKER>,<DTYYYYMMDD>,<FIRST>,<HIGH>,<LOW>,<CLOSE>,<VALUE>,<VOL>,<OPENINT>,<PER>,<OPEN>,<LAST>
Pars.Refract.,20190227,5768.00,5911.00,5658.00,5890.00,2558626260,434370,119,D,5630.00,5911.00
Pars.Refract.,20190226,5801.00,5801.00,5544.00,5630.00,3535832012,628062,129,D,5835.00,5601.00
Pars.Refract.,20190225,5802.00,6040.00,5752.00,5835.00,5530787460,947873,112,D,5862.00,5801.00
Pars.Refract.,20190224,5862.00,6030.00,5801.00,5862.00,1438366542,245358,96,D,5922.00,5803.00
Pars.Refract.,20190223,6200.00,6200.00,5900.00,5922.00,1290677929,217959,64,D,6013.00,5900.00
Pars.Refract.,20190220,6199.00,6199.00,5960.00,6013.00,609593961,101371,54,D,6180.00,5990.00
Pars.Refract.,20190219,6259.00,6259.00,5910.00,6180.00,1297688623,209990,86,D,6115.00,6044.00
Pars.Refract.,20190218,6200.00,6250.00,5910.00,6115.00,643893144,105294,60,D,6131.00,6200.00
Pars.Refract.,20190217,6200.00,6330.00,6021.00,6131.00,2644765517,431363,125,D,6115.00,6044.00
Pars.Refract.,20190216,6000.00,6304.00,5746.00,6115.00,9734384213,1591986,273,D,6004.00,6258.00
Pars.Refract.,20190213,5902.00,6140.00,5900.00,6004.00,1315865414,219179,102,D,6053.00,5977.00
Pars.Refract.,20190212,6240.00,6240.00,5950.00,6053.00,2312953136,382117,125,D,6216.00,5960.00
Pars.Refract.,20190210,6270.00,6350.00,6110.00,6216.00,3080422971,495526,105,D,6190.00,6140.00
Pars.Refract.,20190206,6287.00,6341.00,6055.00,6190.00,2371841372,383182,134,D,6063.00,6199.00
Pars.Refract.,20190205,6210.00,6210.00,6000.00,6063.00,1774385782,292634,112,D,6134.00,6180.00
Pars.Refract.,20190204,6100.00,6237.00,6031.00,6134.00,1648291416,268712,105,D,6169.00,6138.00
Pars.Refract.,20190203,6200.00,6395.00,6005.00,6169.00,1485866272,240858,102,D,6306.00,6150.00
