<TICKER>,<DTYYYYMMDD>,<FIRST>,<HIGH>,<LOW>,<CLOSE>,<VALUE>,<VOL>,<OPENINT>,<PER>,<OPEN>,<LAST>
Pars.Tile,20190227,5270.00,5270.00,5205.00,5238.00,333006961,63461,37,D,5220.00,5220.00
Pars.Tile,20190226,5219.00,5248.00,5169.00,5220.00,235202233,45215,41,D,5235.00,5200.00
Pars.Tile,20190225,5360.00,5360.00,5181.00,5235.00,550622820,105176,76,D,5213.00,5240.00
Pars.Tile,20190224,5371.00,5380.00,5183.00,5213.00,192551963,36686,44,D,5191.00,5200.00
Pars.Tile,20190223,5180.00,5299.00,5140.00,5191.00,772890875,148898,52,D,5137.00,5176.00
Pars.Tile,20190220,5200.00,5200.00,5120.00,5137.00,709412119,138103,81,D,5241.00,5180.00
Pars.Tile,20190219,5289.00,5400.00,5150.00,5241.00,993595643,189592,86,D,5289.00,5250.00
Pars.Tile,20190218,5101.00,5450.00,5011.00,5289.00,1465437492,277090,125,D,5268.00,5223.00
Pars.Tile,20190217,5251.00,5440.00,5100.00,5268.00,1059205485,201074,74,D,5301.00,5151.00
Pars.Tile,20190216,5410.00,5410.00,5280.00,5301.00,244776507,45914,46,D,5273.00,5285.00
Pars.Tile,20190213,5451.00,5500.00,5150.00,5273.00,1461678343,277212,98,D,5421.00,5221.00
Pars.Tile,20190212,5399.00,5530.00,5260.00,5421.00,820892554,151422,58,D,5318.00,5500.00
Pars.Tile,20190210,5200.00,5433.00,5200.00,5318.00,767578515,144324,49,D,5193.00,5394.00
Pars.Tile,20190206,5011.00,5260.00,5011.00,5193.00,62884035,12300,18,D,5206.00,5176.00
Pars.Tile,20190205,5211.00,5291.00,5180.00,5206.00,687160824,131993,69,D,5445.00,5291.00
Pars.Tile,20190204,5700.00,5700.00,5349.00,5445.00,1285087930,236030,79,D,5630.00,5349.00
Pars.Tile,20190203,6000.00,6000.00,5507.00,5630.00,1727629813,306870,104,D,5796.00,5507.00
Pars.Tile,20190202,5796.00,5796.00,5796.00,5796.00,3120670728,538418,133,D,5520.00,5796.00
Pars.Tile,20190130,5520.00,5520.00,5520.00,5520.00,741468480,134324,25,D,5258.00,5520.00
Pars.Tile,20190123,6980.00,7197.00,6868.00,7115.00,487442460,68505,91,D,6986.00,7092.00
Pars.Tile,20190122,7100.00,7104.00,6800.00,6986.00,98212126,14069,31,D,6987.00,7000.00
Pars.Tile,20190121,7062.00,7279.00,6940.00,6987.00,520682997,74527,65,D,7305.00,6950.00
Pars.Tile,20190120,7100.00,7469.00,7075.00,7305.00,732691717,100294,59,D,7115.00,7302.00
Pars.Tile,20190119,7392.00,7470.00,7056.00,7115.00,2044711870,287390,135,D,7427.00,7070.00
Pars.Tile,20190116,7465.00,7650.00,7392.00,7427.00,1063553037,143194,71,D,7781.00,7392.00
Pars.Tile,20190115,8110.00,8110.00,7600.00,7781.00,1972858926,253559,58,D,7732.00,7699.00
Pars.Tile,20190114,7401.00,7800.00,7400.00,7732.00,3984525552,515343,85,D,7652.00,7650.00
Pars.Tile,20190113,7250.00,7760.00,7250.00,7652.00,1434205717,187435,38,D,7409.00,7400.00
Pars.Tile,20190112,7050.00,7489.00,7050.00,7409.00,2012064796,271577,49,D,7133.00,7201.00
Pars.Tile,20190109,7050.00,7400.00,7030.00,7133.00,468650190,65700,18,D,7249.00,7151.00
Pars.Tile,20190108,7300.00,7300.00,7200.00,7249.00,396445190,54616,21,D,7193.00,7250.00
Pars.Tile,20190107,7222.00,7420.00,7115.00,7193.00,631995144,87863,23,D,7489.00,7420.00
Pars.Tile,20190106,7300.00,7300.00,7300.00,7489.00,73000000,10000,1,D,7524.00,7300.00
Pars.Tile,20190105,7512.00,7650.00,7400.00,7524.00,1248008721,165873,30,D,7768.00,7500.00
Pars.Tile,20190102,7670.00,7920.00,7350.00,7768.00,1597117894,205593,54,D,7559.00,7699.00
Pars.Tile,20190101,7250.00,7614.00,7200.00,7559.00,4370478767,578216,120,D,7252.00,7613.00
Pars.Tile,20181231,7021.00,7356.00,7021.00,7252.00,2267421615,312672,47,D,7246.00,7299.00
Pars.Tile,20181230,6900.00,7347.00,6900.00,7246.00,832783449,114937,28,D,7038.00,7100.00
Pars.Tile,20181229,6920.00,7050.00,6855.00,7038.00,222138515,31775,16,D,7077.00,6906.00
Pars.Tile,20181226,7078.00,7189.00,7077.00,7077.00,1922817903,271685,54,D,7449.00,7189.00
Pars.Tile,20181225,7200.00,7387.00,7175.00,7449.00,141871349,19737,14,D,7548.00,7250.00
Pars.Tile,20181224,7600.00,7600.00,7000.00,7548.00,1092815758,144779,37,D,7279.00,7300.00
Pars.Tile,20181223,7191.00,7320.00,7000.00,7279.00,3533366509,485449,86,D,6972.00,7320.00
Pars.Tile,20181222,6621.00,7001.00,6621.00,6972.00,203676932,29198,19,D,6969.00,6805.00
Pars.Tile,20181219,7050.00,7050.00,6666.00,6969.00,45261806,6531,6,D,6973.00,6668.00
Pars.Tile,20181218,7100.00,7100.00,6953.00,6973.00,185851850,26529,17,D,6953.00,7000.00
Pars.Tile,20181217,6899.00,7000.00,6656.00,6953.00,496337934,71389,30,D,6996.00,7000.00
Pars.Tile,20181216,7000.00,7100.00,6800.00,6996.00,319375363,46080,37,D,7122.00,7000.00
Pars.Tile,20181215,6851.00,7100.00,6850.00,7122.00,217151870,30773,23,D,7173.00,7050.00
Pars.Tile,20181212,7253.00,7350.00,6900.00,7173.00,263096874,36998,27,D,7232.00,7000.00
Pars.Tile,20181211,7546.00,7547.00,7189.00,7232.00,193526335,26460,22,D,7188.00,7253.00
Pars.Tile,20181210,7139.00,7213.00,7100.00,7188.00,2314083579,321958,64,D,6870.00,7213.00
Pars.Tile,20181209,6644.00,6874.00,6600.00,6870.00,1775990950,258496,53,D,6547.00,6874.00
Pars.Tile,20181208,6480.00,6644.00,6480.00,6547.00,222242306,34192,18,D,6585.00,6644.00
Pars.Tile,20181205,6939.00,6939.00,6350.00,6585.00,163969413,25086,21,D,6610.00,6500.00
Pars.Tile,20181204,6612.00,6612.00,6350.00,6610.00,1140504893,172532,69,D,6298.00,6612.00
Pars.Tile,20181203,6330.00,6470.00,6300.00,6298.00,151057256,23766,19,D,6271.00,6300.00
Pars.Tile,20181202,6350.00,6350.00,6050.00,6271.00,274484194,44159,21,D,6351.00,6210.00
Pars.Tile,20181201,6351.00,6355.00,6348.00,6351.00,936554140,147474,24,D,6682.00,6348.00
