<TICKER>,<DTYYYYMMDD>,<FIRST>,<HIGH>,<LOW>,<CLOSE>,<VALUE>,<VOL>,<OPENINT>,<PER>,<OPEN>,<LAST>
Pumpiran,20190227,3030.00,3176.00,3000.00,3146.00,2493730929,792562,125,D,3025.00,3176.00
Pumpiran,20190226,2841.00,3052.00,2800.00,3025.00,3535054039,1168565,177,D,2907.00,3052.00
Pumpiran,20190225,2684.00,2924.00,2682.00,2907.00,3222102950,1108354,146,D,2785.00,2924.00
Pumpiran,20190224,2871.00,2871.00,2704.00,2785.00,497013486,178391,31,D,2761.00,2704.00
Pumpiran,20190223,2859.00,2859.00,2730.00,2761.00,538592709,195060,53,D,2858.00,2750.00
Pumpiran,20190220,2929.00,2929.00,2801.00,2858.00,275385356,97445,20,D,2892.00,2801.00
Pumpiran,20190219,2800.00,2941.00,2754.00,2892.00,1549249503,535690,93,D,2869.00,2924.00
Pumpiran,20190218,2938.00,2938.00,2752.00,2869.00,642252701,223871,75,D,2867.00,2853.00
Pumpiran,20190217,2800.00,2887.00,2800.00,2867.00,2681783633,935361,274,D,2750.00,2860.00
Pumpiran,20190216,2765.00,2799.00,2750.00,2750.00,207396871,75192,28,D,2745.00,2795.00
Pumpiran,20190213,2845.00,2845.00,2705.00,2745.00,360925102,131943,58,D,2769.00,2740.00
Pumpiran,20190212,2750.00,2874.00,2671.00,2769.00,993084281,358637,73,D,2802.00,2720.00
Pumpiran,20190210,2840.00,2866.00,2738.00,2802.00,1713831844,611649,111,D,2831.00,2800.00
Pumpiran,20190206,2780.00,2846.00,2681.00,2831.00,2790035568,985575,200,D,2711.00,2846.00
Pumpiran,20190205,2575.00,2777.00,2574.00,2711.00,1606801635,592706,126,D,2654.00,2731.00
Pumpiran,20190204,2570.00,2699.00,2570.00,2654.00,738712215,278363,87,D,2620.00,2664.00
Pumpiran,20190203,2676.00,2699.00,2618.00,2620.00,732930058,279745,75,D,2755.00,2625.00
Pumpiran,20190202,2700.00,2817.00,2657.00,2755.00,118059693,42756,24,D,2753.00,2679.00
Pumpiran,20190130,2790.00,2835.00,2700.00,2753.00,896104246,325534,79,D,2748.00,2700.00
Pumpiran,20190129,2636.00,2782.00,2636.00,2748.00,2714778462,987929,133,D,2650.00,2751.00
