<TICKER>,<DTYYYYMMDD>,<FIRST>,<HIGH>,<LOW>,<CLOSE>,<VALUE>,<VOL>,<OPENINT>,<PER>,<OPEN>,<LAST>
Razi.P..Glasses,20190227,2866.00,2866.00,2700.00,2816.00,1874710455,665640,183,D,2760.00,2818.00
Razi.P..Glasses,20190226,2820.00,2820.00,2679.00,2760.00,3715870003,1346258,192,D,2820.00,2810.00
Razi.P..Glasses,20190225,2799.00,2845.00,2799.00,2820.00,4201181353,1489545,232,D,2821.00,2830.00
Razi.P..Glasses,20190224,2778.00,2885.00,2778.00,2821.00,3445789359,1221437,258,D,2779.00,2840.00
Razi.P..Glasses,20190223,2720.00,2830.00,2720.00,2779.00,2547636877,916768,249,D,2817.00,2770.00
Razi.P..Glasses,20190220,2840.00,2887.00,2750.00,2817.00,3094723078,1098641,293,D,2775.00,2750.00
Razi.P..Glasses,20190219,2686.00,2783.00,2686.00,2775.00,5169881552,1863239,356,D,2651.00,2783.00
Razi.P..Glasses,20190218,2679.00,2698.00,2612.00,2651.00,2943525166,1110175,241,D,2630.00,2685.00
Razi.P..Glasses,20190217,2710.00,2710.00,2600.00,2630.00,4240292794,1612194,334,D,2720.00,2641.00
Razi.P..Glasses,20190216,2700.00,2790.00,2700.00,2720.00,3479232120,1279244,299,D,2734.00,2725.00
Razi.P..Glasses,20190213,2779.00,2800.00,2680.00,2734.00,3587332819,1312124,295,D,2746.00,2769.00
Razi.P..Glasses,20190212,2721.00,2800.00,2715.00,2746.00,1695764108,617629,188,D,2768.00,2719.00
Razi.P..Glasses,20190210,2829.00,2829.00,2745.00,2768.00,2186904811,790184,154,D,2838.00,2770.00
Razi.P..Glasses,20190206,2889.00,2905.00,2764.00,2838.00,3499000938,1233010,389,D,2834.00,2810.00
Razi.P..Glasses,20190205,2799.00,2880.00,2750.00,2834.00,5180081023,1827968,404,D,2767.00,2859.00
Razi.P..Glasses,20190204,2802.00,2835.00,2719.00,2767.00,2636622193,952714,246,D,2713.00,2740.00
Razi.P..Glasses,20190203,2730.00,2797.00,2681.00,2713.00,7026162995,2589594,350,D,2814.00,2785.00
Razi.P..Glasses,20190202,2900.00,2955.00,2780.00,2814.00,3572452753,1269545,290,D,2911.00,2810.00
Razi.P..Glasses,20190130,2880.00,2966.00,2850.00,2911.00,8067054974,2771577,343,D,2844.00,2894.00
Razi.P..Glasses,20190129,2879.00,2990.00,2801.00,2844.00,4498714789,1581817,335,D,2935.00,2900.00
Razi.P..Glasses,20190128,3065.00,3065.00,2911.00,2935.00,5356988050,1825369,446,D,3064.00,2912.00
Razi.P..Glasses,20190127,2982.00,3110.00,2970.00,3064.00,10616190017,3465291,646,D,2965.00,3060.00
