<TICKER>,<DTYYYYMMDD>,<FIRST>,<HIGH>,<LOW>,<CLOSE>,<VALUE>,<VOL>,<OPENINT>,<PER>,<OPEN>,<LAST>
Saba.Noor,20190227,4700.00,4750.00,4650.00,4696.00,5060452279,1077439,237,D,4690.00,4707.00
Saba.Noor,20190226,4800.00,4800.00,4642.00,4690.00,14430606236,3076933,572,D,4886.00,4652.00
Saba.Noor,20190225,5000.00,5000.00,4800.00,4886.00,13739512381,2811900,536,D,4861.00,4840.00
Saba.Noor,20190224,4716.00,4950.00,4670.00,4861.00,40991422910,8432837,1005,D,4715.00,4931.00
Saba.Noor,20190223,4621.00,4727.00,4621.00,4715.00,55009601324,11665865,654,D,4502.00,4688.00
Saba.Noor,20190220,4422.00,4582.00,4419.00,4502.00,7502259518,1666355,367,D,4402.00,4580.00
Saba.Noor,20190219,4312.00,4490.00,4262.00,4402.00,9043538976,2054572,275,D,4312.00,4322.00
Saba.Noor,20190218,4360.00,4420.00,4290.00,4312.00,6657129288,1543740,287,D,4364.00,4300.00
Saba.Noor,20190217,4500.00,4500.00,4357.00,4364.00,9289453312,2128866,284,D,4586.00,4357.00
Saba.Noor,20190216,4678.00,4689.00,4445.00,4586.00,7452445994,1624923,373,D,4590.00,4480.00
Saba.Noor,20190213,4608.00,4608.00,4503.00,4590.00,11775386402,2565669,432,D,4575.00,4556.00
Saba.Noor,20190212,4449.00,4639.00,4449.00,4575.00,15064949967,3292926,595,D,4426.00,4580.00
Saba.Noor,20190210,4576.00,4576.00,4351.00,4426.00,3677786418,834675,203,D,4475.00,4400.00
Saba.Noor,20190206,4400.00,4574.00,4399.00,4475.00,26851602776,6000010,707,D,4357.00,4516.00
Saba.Noor,20190205,4390.00,4439.00,4271.00,4357.00,12711257738,2917516,467,D,4304.00,4384.00
Saba.Noor,20190204,4390.00,4440.00,4270.00,4304.00,7243832595,1683024,345,D,4323.00,4270.00
Saba.Noor,20190203,4390.00,4390.00,4260.00,4323.00,5929021420,1371630,316,D,4427.00,4380.00
Saba.Noor,20190202,4471.00,4471.00,4303.00,4427.00,27934362021,6310048,816,D,4259.00,4345.00
Saba.Noor,20190130,4165.00,4286.00,4120.00,4259.00,17369408835,4077831,621,D,4082.00,4286.00
Saba.Noor,20190129,4030.00,4150.00,4030.00,4082.00,5636948382,1380982,364,D,4056.00,4085.00
Saba.Noor,20190128,4101.00,4160.00,4024.00,4056.00,7098572907,1750060,418,D,4108.00,4050.00
Saba.Noor,20190127,4197.00,4201.00,4094.00,4108.00,25286551408,6155236,881,D,4309.00,4094.00
Saba.Noor,20190126,4360.00,4360.00,4199.00,4309.00,4767043046,1106578,205,D,4319.00,4200.00
Saba.Noor,20190123,4379.00,4379.00,4302.00,4319.00,3940682111,912156,257,D,4317.00,4349.00
Saba.Noor,20190122,4154.00,4350.00,4154.00,4317.00,3822782313,888131,185,D,4358.00,4333.00
Saba.Noor,20190121,4578.00,4578.00,4230.00,4358.00,6861170272,1574248,278,D,4452.00,4288.00
Saba.Noor,20190120,4623.00,4623.00,4399.00,4452.00,16328614167,3667951,631,D,4630.00,4400.00
Saba.Noor,20190119,4622.00,4677.00,4621.00,4630.00,2786246092,601946,130,D,4632.00,4625.00
Saba.Noor,20190116,4690.00,4690.00,4616.00,4632.00,3647223023,788723,138,D,4649.00,4617.00
Saba.Noor,20190115,4744.00,4744.00,4615.00,4649.00,5923674197,1274110,202,D,4605.00,4615.00
Saba.Noor,20190114,4583.00,4652.00,4559.00,4605.00,5656412508,1228267,218,D,4623.00,4612.00
Saba.Noor,20190113,4560.00,4729.00,4558.00,4623.00,2903092555,634518,146,D,4678.00,4582.00
Saba.Noor,20190112,4740.00,4799.00,4547.00,4678.00,3906360653,833569,175,D,4659.00,4590.00
Saba.Noor,20190109,4690.00,4702.00,4634.00,4659.00,5321068175,1141443,163,D,4582.00,4634.00
Saba.Noor,20190108,4534.00,4655.00,4534.00,4582.00,3239138826,702755,176,D,4542.00,4588.00
Saba.Noor,20190107,4410.00,4635.00,4410.00,4542.00,6043308552,1330400,221,D,4426.00,4573.00
Saba.Noor,20190106,4451.00,4451.00,4381.00,4426.00,3745453065,851753,246,D,4502.00,4420.00
Saba.Noor,20190105,4520.00,4600.00,4460.00,4502.00,5303691652,1178137,180,D,4607.00,4465.00
Saba.Noor,20190102,4751.00,4751.00,4502.00,4607.00,6359922375,1380394,273,D,4685.00,4511.00
Saba.Noor,20190101,4698.00,4720.00,4629.00,4685.00,6884720277,1469516,357,D,4625.00,4631.00
Saba.Noor,20181231,4600.00,4689.00,4600.00,4625.00,4556963446,985245,159,D,4621.00,4614.00
Saba.Noor,20181230,4700.00,4700.00,4581.00,4621.00,4711290083,1019010,273,D,4606.00,4620.00
Saba.Noor,20181229,4616.00,4616.00,4575.00,4606.00,14011739300,3041991,407,D,4397.00,4616.00
Saba.Noor,20181226,4200.00,4449.00,4200.00,4397.00,14385389775,3271562,345,D,4238.00,4449.00
Saba.Noor,20181225,4206.00,4372.00,4199.00,4238.00,4861889317,1148321,244,D,4419.00,4300.00
Saba.Noor,20181224,4400.00,4477.00,4337.00,4419.00,8757822820,1981641,347,D,4335.00,4411.00
Saba.Noor,20181223,4270.00,4337.00,4270.00,4335.00,17061200647,3935527,399,D,4131.00,4337.00
Saba.Noor,20181222,4031.00,4174.00,4031.00,4131.00,6924361985,1676368,283,D,4120.00,4174.00
Saba.Noor,20181219,4287.00,4300.00,4028.00,4120.00,12259680159,2975471,423,D,4237.00,4100.00
Saba.Noor,20181218,4218.00,4309.00,4216.00,4237.00,14708404329,3471577,458,D,4437.00,4300.00
Saba.Noor,20181217,4450.00,4500.00,4331.00,4437.00,7573508022,1707038,281,D,4558.00,4331.00
Saba.Noor,20181216,4700.00,4750.00,4426.00,4558.00,8745820626,1918880,451,D,4658.00,4426.00
Saba.Noor,20181215,4685.00,4727.00,4577.00,4658.00,7800255525,1674679,292,D,4698.00,4636.00
Saba.Noor,20181212,4751.00,4751.00,4661.00,4698.00,6395243896,1361220,271,D,4717.00,4680.00
Saba.Noor,20181211,4760.00,4804.00,4650.00,4717.00,9127689904,1934939,309,D,4687.00,4747.00
Saba.Noor,20181210,4827.00,4827.00,4658.00,4687.00,15449731673,3296372,329,D,4737.00,4700.00
Saba.Noor,20181209,4960.00,4991.00,4712.00,4737.00,15228771357,3214981,523,D,4959.00,4800.00
Saba.Noor,20181208,5000.00,5088.00,4831.00,4959.00,9920608391,2000327,292,D,4974.00,4869.00
Saba.Noor,20181205,5000.00,5135.00,4862.00,4974.00,8732067279,1755505,248,D,4900.00,4901.00
Saba.Noor,20181204,5140.00,5140.00,4803.00,4900.00,13876956745,2832204,373,D,5055.00,4950.00
Saba.Noor,20181203,5100.00,5160.00,4950.00,5055.00,10567471273,2090465,376,D,4916.00,5160.00
Saba.Noor,20181202,4691.00,5070.00,4691.00,4916.00,17034548282,3465326,461,D,4906.00,5019.00
Saba.Noor,20181201,4900.00,5000.00,4875.00,4906.00,5839719825,1190338,145,D,5131.00,4875.00
Saba.Noor,20181128,5377.00,5377.00,5117.00,5131.00,17107765403,3334278,445,D,5386.00,5117.00
Saba.Noor,20181127,5660.00,5661.00,5377.00,5386.00,31129524869,5779896,495,D,5660.00,5377.00
Saba.Noor,20181126,5610.00,5945.00,5583.00,5660.00,25245345185,4460665,484,D,5876.00,5690.00
Saba.Noor,20181124,6168.00,6006.00,5837.00,5876.00,13737634760,2337805,268,D,6144.00,5837.00
Saba.Noor,20181121,6109.00,6200.00,6100.00,6144.00,18820600059,3063137,270,D,6213.00,6132.00
Saba.Noor,20181120,6250.00,6250.00,6150.00,6213.00,14311536691,2303404,330,D,6208.00,6171.00
Saba.Noor,20181119,6100.00,6323.00,6002.00,6208.00,22605397418,3641557,363,D,6126.00,6170.00
Saba.Noor,20181118,6440.00,6440.00,5991.00,6126.00,61925068694,10108621,816,D,6306.00,6130.00
Saba.Noor,20181117,6283.00,6453.00,6234.00,6306.00,40042734188,6350132,587,D,6424.00,6297.00
Saba.Noor,20181114,6480.00,6498.00,6371.00,6424.00,16655307000,2592789,321,D,6480.00,6450.00
Saba.Noor,20181113,6498.00,6538.00,6375.00,6480.00,41837003778,6456146,601,D,6227.00,6395.00
Saba.Noor,20181112,6349.00,6349.00,6176.00,6227.00,30741754281,4937235,418,D,6154.00,6250.00
Saba.Noor,20181111,6190.00,6384.00,6071.00,6154.00,59457801746,9661659,673,D,6253.00,6220.00
Saba.Noor,20181110,6698.00,6698.00,6190.00,6253.00,22624208409,3618089,570,D,6401.00,6190.00
Saba.Noor,20181106,6300.00,6416.00,6290.00,6401.00,34587550525,5403051,937,D,6111.00,6416.00
Saba.Noor,20181105,5980.00,6256.00,5851.00,6111.00,38240908927,6257297,779,D,5959.00,6252.00
Saba.Noor,20181104,5950.00,6024.00,5851.00,5959.00,14570676467,2445131,352,D,5991.00,5990.00
Saba.Noor,20181103,6000.00,6024.00,5940.00,5991.00,16082777379,2684294,356,D,5901.00,5949.00
Saba.Noor,20181031,5990.00,6000.00,5803.00,5901.00,12818592126,2172220,339,D,5938.00,5927.00
Saba.Noor,20181029,6060.00,6060.00,5897.00,5938.00,34512531138,5812618,672,D,5944.00,5900.00
Saba.Noor,20181028,6068.00,6068.00,5820.00,5944.00,33476352538,5632217,734,D,5849.00,5883.00
Saba.Noor,20181027,5518.00,5864.00,5518.00,5849.00,71847091239,12282939,953,D,5585.00,5864.00
Saba.Noor,20181024,5503.00,5789.00,5481.00,5585.00,21755107362,3895290,430,D,5767.00,5530.00
Saba.Noor,20181023,6048.00,6048.00,5602.00,5767.00,27300782773,4733869,586,D,5878.00,5613.00
Saba.Noor,20181022,5857.00,6039.00,5800.00,5878.00,28796235668,4899212,600,D,6008.00,5961.00
Saba.Noor,20181021,6100.00,6103.00,5800.00,6008.00,32664760336,5436538,667,D,5923.00,5995.00
Saba.Noor,20181020,5700.00,5985.00,5700.00,5923.00,38921610537,6571159,654,D,5700.00,5985.00
Saba.Noor,20181017,5655.00,5802.00,5481.00,5700.00,22177571193,3890595,429,D,5768.00,5768.00
Saba.Noor,20181016,5938.00,5938.00,5500.00,5768.00,22606550091,3919081,536,D,5692.00,5689.00
Saba.Noor,20181015,5520.00,5695.00,5520.00,5692.00,36630670870,6435399,275,D,5424.00,5695.00
Saba.Noor,20181014,5205.00,5597.00,5205.00,5424.00,8672690322,1599037,150,D,5404.00,5550.00
Saba.Noor,20181013,5849.00,5849.00,5397.00,5404.00,34239112035,6335703,458,D,5681.00,5397.00
Saba.Noor,20181010,5830.00,5830.00,5542.00,5681.00,44121202684,7766516,641,D,5700.00,5710.00
Saba.Noor,20181009,5675.00,5725.00,5561.00,5700.00,49656659003,8711065,672,D,5453.00,5696.00
Saba.Noor,20181008,5354.00,5620.00,5348.00,5453.00,72834760024,13357821,1211,D,5629.00,5610.00
Saba.Noor,20181007,5627.00,5900.00,5627.00,5629.00,54117515017,9613747,695,D,5923.00,5627.00
Saba.Noor,20181006,6253.00,6275.00,5707.00,5923.00,49175093282,8302978,848,D,6007.00,5707.00
Saba.Noor,20181003,5882.00,6191.00,5882.00,6007.00,75910864836,12638039,1657,D,6191.00,6160.00
Saba.Noor,20181002,6192.00,6300.00,6190.00,6191.00,18344757668,2963210,301,D,6515.00,6190.00
Saba.Noor,20181001,6998.00,6998.00,6434.00,6515.00,139439843478,21404212,2217,D,6772.00,6434.00
Saba.Noor,20180930,6523.00,6849.00,6523.00,6772.00,36437822076,5380686,702,D,6213.00,6849.00
Saba.Noor,20180929,6312.00,6312.00,6300.00,6213.00,4982630388,789444,111,D,6012.00,6312.00
Saba.Noor,20180926,6018.00,6022.00,5905.00,6012.00,47152274885,7843478,694,D,5736.00,6022.00
Saba.Noor,20180925,5739.00,5741.00,5671.00,5736.00,21480387366,3744782,416,D,5468.00,5741.00
Saba.Noor,20180924,5500.00,5563.00,5361.00,5468.00,44401001714,8120541,906,D,5299.00,5563.00
Saba.Noor,20180923,5239.00,5399.00,5151.00,5299.00,68590666520,12943217,1201,D,5169.00,5392.00
Saba.Noor,20180922,5106.00,5250.00,5060.00,5169.00,50163031451,9705197,957,D,5067.00,5190.00
Saba.Noor,20180918,5034.00,5148.00,5033.00,5067.00,33222849364,6556527,696,D,5180.00,5090.00
Saba.Noor,20180917,5255.00,5283.00,5060.00,5180.00,35952005220,6941049,819,D,5057.00,5083.00
Saba.Noor,20180916,5070.00,5219.00,4900.00,5057.00,39220131316,7756133,938,D,5137.00,5102.00
Saba.Noor,20180915,5500.00,5500.00,5003.00,5137.00,76231765281,14841006,1993,D,5266.00,5120.00
Saba.Noor,20180912,5100.00,5355.00,5100.00,5266.00,98101307934,18630406,1226,D,4858.00,5355.00
Saba.Noor,20180911,4896.00,4896.00,4715.00,4858.00,74923827737,15422100,1224,D,4663.00,4896.00
Saba.Noor,20180910,4560.00,4674.00,4532.00,4663.00,50411486412,10810947,631,D,4452.00,4674.00
Saba.Noor,20180909,4448.00,4556.00,4313.00,4452.00,49261262002,11064883,1339,D,4443.00,4528.00
Saba.Noor,20180908,4488.00,4509.00,4362.00,4443.00,29160028472,6562429,898,D,4441.00,4415.00
Saba.Noor,20180905,4500.00,4560.00,4330.00,4441.00,23117168699,5204824,735,D,4374.00,4419.00
Saba.Noor,20180904,4400.00,4459.00,4266.00,4374.00,18209873577,4162884,544,D,4252.00,4324.00
Saba.Noor,20180903,4230.00,4339.00,4163.00,4252.00,15755211970,3705472,532,D,4137.00,4339.00
Saba.Noor,20180902,4236.00,4385.00,4080.00,4137.00,18964118130,4584494,629,D,4289.00,4125.00
Saba.Noor,20180901,4510.00,4520.00,4223.00,4289.00,33467146055,7802232,936,D,4445.00,4350.00
Saba.Noor,20180829,4432.00,4560.00,4361.00,4445.00,14253545600,3206368,487,D,4478.00,4385.00
Saba.Noor,20180828,4632.00,4632.00,4456.00,4478.00,37337087615,8338678,884,D,4690.00,4456.00
Saba.Noor,20180827,4761.00,4787.00,4600.00,4690.00,16074101930,3427194,475,D,4643.00,4650.00
