<TICKER>,<DTYYYYMMDD>,<FIRST>,<HIGH>,<LOW>,<CLOSE>,<VALUE>,<VOL>,<OPENINT>,<PER>,<OPEN>,<LAST>
Saipa.Glass,20190227,2316.00,2338.00,2259.00,2310.00,2116130002,916211,156,D,2235.00,2290.00
Saipa.Glass,20190226,2348.00,2348.00,2189.00,2235.00,2970503883,1329025,220,D,2304.00,2257.00
Saipa.Glass,20190225,2239.00,2313.00,2190.00,2304.00,5178456363,2247930,383,D,2203.00,2313.00
Saipa.Glass,20190224,2113.00,2205.00,2113.00,2203.00,1164380378,528484,87,D,2100.00,2205.00
Saipa.Glass,20190223,2048.00,2143.00,2045.00,2100.00,1770006072,842867,163,D,2055.00,2140.00
Saipa.Glass,20190220,2053.00,2100.00,2040.00,2055.00,814925370,396507,105,D,2078.00,2048.00
Saipa.Glass,20190219,2130.00,2186.00,2035.00,2078.00,753797627,362749,80,D,2136.00,2050.00
Saipa.Glass,20190218,2198.00,2198.00,2069.00,2136.00,843274134,394775,117,D,2173.00,2130.00
Saipa.Glass,20190217,2200.00,2286.00,2172.00,2173.00,2721091068,1252020,226,D,2286.00,2172.00
Saipa.Glass,20190216,2361.00,2410.00,2225.00,2286.00,1200074581,524891,132,D,2342.00,2225.00
Saipa.Glass,20190213,2240.00,2361.00,2240.00,2342.00,6547659296,2796026,390,D,2249.00,2285.00
Saipa.Glass,20190212,2193.00,2261.00,2170.00,2249.00,3926141024,1745368,180,D,2154.00,2261.00
Saipa.Glass,20190210,2277.00,2277.00,2115.00,2154.00,550899241,255735,97,D,2224.00,2193.00
Saipa.Glass,20190206,2284.00,2284.00,2175.00,2224.00,428257881,192343,55,D,2208.00,2233.00
Saipa.Glass,20190205,2349.00,2349.00,2182.00,2208.00,1793472424,812234,188,D,2295.00,2183.00
Saipa.Glass,20190204,2320.00,2320.00,2250.00,2295.00,819784401,357185,83,D,2297.00,2250.00
Saipa.Glass,20190203,2354.00,2354.00,2270.00,2297.00,581607798,253237,81,D,2314.00,2288.00
Saipa.Glass,20190202,2340.00,2358.00,2290.00,2314.00,954554772,412538,78,D,2275.00,2320.00
Saipa.Glass,20190130,2301.00,2325.00,2200.00,2275.00,2324934564,1022015,162,D,2285.00,2325.00
Saipa.Glass,20190129,2350.00,2350.00,2275.00,2285.00,727956443,318579,69,D,2313.00,2289.00
Saipa.Glass,20190128,2280.00,2340.00,2280.00,2313.00,339582466,146464,43,D,2299.00,2333.00
Saipa.Glass,20190127,2280.00,2400.00,2279.00,2299.00,1217445769,529469,107,D,2323.00,2301.00
Saipa.Glass,20190126,2380.00,2393.00,2300.00,2323.00,973452809,419140,118,D,2400.00,2302.00
Saipa.Glass,20190123,2341.00,2438.00,2341.00,2400.00,492334765,205134,98,D,2333.00,2390.00
Saipa.Glass,20190122,2222.00,2355.00,2212.00,2333.00,1168560379,500954,114,D,2328.00,2340.00
Saipa.Glass,20190121,2374.00,2399.00,2301.00,2328.00,2496838936,1072401,175,D,2422.00,2301.00
Saipa.Glass,20190120,2413.00,2483.00,2380.00,2422.00,2261053158,933378,146,D,2484.00,2391.00
Saipa.Glass,20190119,2544.00,2544.00,2422.00,2484.00,1105969748,445157,66,D,2449.00,2450.00
Saipa.Glass,20190116,2442.00,2544.00,2402.00,2449.00,1110467450,453451,110,D,2479.00,2468.00
Saipa.Glass,20190115,2507.00,2547.00,2440.00,2479.00,3380810471,1363977,234,D,2560.00,2470.00
Saipa.Glass,20190114,2571.00,2620.00,2490.00,2560.00,2488947769,972344,238,D,2528.00,2526.00
Saipa.Glass,20190113,2470.00,2546.00,2470.00,2528.00,5012615423,1982723,406,D,2425.00,2546.00
Saipa.Glass,20190112,2460.00,2460.00,2381.00,2425.00,1491341094,614991,134,D,2382.00,2413.00
Saipa.Glass,20190109,2438.00,2470.00,2320.00,2382.00,4023413037,1689357,353,D,2440.00,2420.00
Saipa.Glass,20190108,2500.00,2500.00,2400.00,2440.00,1681793814,689162,199,D,2475.00,2446.00
Saipa.Glass,20190107,2480.00,2500.00,2431.00,2475.00,2942657450,1188890,249,D,2413.00,2470.00
Saipa.Glass,20190106,2328.00,2490.00,2318.00,2413.00,5039826161,2088687,476,D,2423.00,2480.00
Saipa.Glass,20190105,2490.00,2545.00,2383.00,2423.00,9014542495,3720537,708,D,2508.00,2384.00
Saipa.Glass,20190102,2599.00,2630.00,2473.00,2508.00,4079010372,1626440,409,D,2603.00,2509.00
Saipa.Glass,20190101,2737.00,2737.00,2575.00,2603.00,2575826310,989591,248,D,2697.00,2600.00
Saipa.Glass,20181231,2700.00,2748.00,2656.00,2697.00,1523947239,564961,117,D,2706.00,2700.00
Saipa.Glass,20181230,2679.00,2738.00,2650.00,2706.00,3928718611,1451938,282,D,2626.00,2710.00
Saipa.Glass,20181229,2700.00,2700.00,2609.00,2626.00,3187279994,1213687,354,D,2746.00,2643.00
Saipa.Glass,20181226,2780.00,2780.00,2664.00,2746.00,1026762258,373865,154,D,2760.00,2757.00
Saipa.Glass,20181225,2850.00,2925.00,2729.00,2760.00,7413148945,2686279,460,D,2872.00,2762.00
Saipa.Glass,20181224,2998.00,3001.00,2860.00,2872.00,4386285803,1527260,270,D,3010.00,2860.00
Saipa.Glass,20181223,2989.00,3030.00,2941.00,3010.00,1283692867,426523,108,D,2949.00,2949.00
Saipa.Glass,20181222,2929.00,2978.00,2857.00,2949.00,2336138615,792252,134,D,2899.00,2950.00
Saipa.Glass,20181219,2811.00,2930.00,2808.00,2899.00,3793309653,1308588,241,D,2892.00,2930.00
Saipa.Glass,20181218,2940.00,2948.00,2806.00,2892.00,1608236193,556181,118,D,2941.00,2817.00
Saipa.Glass,20181217,2930.00,2993.00,2810.00,2941.00,2400490799,816281,177,D,2852.00,2900.00
Saipa.Glass,20181216,2854.00,2947.00,2791.00,2852.00,2011703370,705447,190,D,2932.00,2900.00
Saipa.Glass,20181215,3048.00,3048.00,2873.00,2932.00,3526930762,1202822,194,D,3024.00,2873.00
Saipa.Glass,20181212,3060.00,3060.00,2961.00,3024.00,2097550354,693727,142,D,3004.00,2961.00
Saipa.Glass,20181211,2955.00,3051.00,2955.00,3004.00,4471209850,1488615,228,D,2909.00,3042.00
Saipa.Glass,20181210,2990.00,3070.00,2900.00,2909.00,11024916927,3790296,455,D,3052.00,2949.00
Saipa.Glass,20181209,3051.00,3090.00,3051.00,3052.00,2335162331,765144,126,D,3211.00,3051.00
Saipa.Glass,20181208,3240.00,3296.00,3091.00,3211.00,2394544285,745650,239,D,3177.00,3109.00
Saipa.Glass,20181205,3107.00,3200.00,3107.00,3177.00,5671457968,1785238,285,D,3140.00,3194.00
Saipa.Glass,20181204,3167.00,3211.00,3055.00,3140.00,4141994351,1318940,197,D,3090.00,3100.00
Saipa.Glass,20181203,3099.00,3141.00,3030.00,3090.00,3325051067,1075977,234,D,2992.00,3090.00
Saipa.Glass,20181202,3058.00,3058.00,2888.00,2992.00,5448155626,1821127,324,D,3040.00,3039.00
Saipa.Glass,20181201,3022.00,3180.00,2950.00,3040.00,2465719678,811044,163,D,3105.00,2989.00
Saipa.Glass,20181128,3170.00,3199.00,3000.00,3105.00,6286760008,2024649,340,D,3156.00,3109.00
Saipa.Glass,20181127,3100.00,3288.00,3078.00,3156.00,4896301637,1551538,242,D,3239.00,3078.00
Saipa.Glass,20181126,3312.00,3400.00,3149.00,3239.00,5039024160,1555696,208,D,3314.00,3149.00
Saipa.Glass,20181124,3350.00,3500.00,3276.00,3314.00,6652724646,2007301,354,D,3448.00,3276.00
Saipa.Glass,20181121,3400.00,3509.00,3281.00,3448.00,6872661558,1993436,316,D,3397.00,3465.00
Saipa.Glass,20181120,3298.00,3426.00,3210.00,3397.00,18287260461,5382954,701,D,3263.00,3400.00
Saipa.Glass,20181119,3239.00,3294.00,3146.00,3263.00,3797294742,1163781,271,D,3188.00,3290.00
Saipa.Glass,20181118,3144.00,3246.00,3061.00,3188.00,8507878444,2668645,395,D,3135.00,3200.00
Saipa.Glass,20181117,3178.00,3226.00,3020.00,3135.00,4285444512,1367138,243,D,3162.00,3102.00
Saipa.Glass,20181114,3250.00,3250.00,3056.00,3162.00,5887740595,1862144,246,D,3132.00,3190.00
Saipa.Glass,20181113,3109.00,3155.00,3000.00,3132.00,13236116721,4226575,507,D,3005.00,3155.00
Saipa.Glass,20181112,3001.00,3050.00,2980.00,3005.00,2707921325,901115,143,D,3024.00,2980.00
Saipa.Glass,20181111,3069.00,3097.00,2861.00,3024.00,3771096472,1247229,157,D,3011.00,2990.00
Saipa.Glass,20181110,3149.00,3149.00,2915.00,3011.00,3888502527,1291225,165,D,3068.00,3014.00
Saipa.Glass,20181106,3000.00,3098.00,2981.00,3068.00,2361008784,769526,158,D,2965.00,3066.00
Saipa.Glass,20181105,2889.00,2997.00,2889.00,2965.00,4155397868,1401251,197,D,2855.00,2997.00
Saipa.Glass,20181104,3010.00,3010.00,2737.00,2855.00,1939422727,679365,88,D,2879.00,2888.00
Saipa.Glass,20181103,3060.00,3060.00,2848.00,2879.00,1201106064,417125,97,D,2996.00,2950.00
Saipa.Glass,20181031,3099.00,3099.00,2913.00,2996.00,4443584164,1483367,243,D,3066.00,3000.00
Saipa.Glass,20181029,3099.00,3156.00,2940.00,3066.00,2679787417,873912,194,D,3015.00,3009.00
Saipa.Glass,20181028,2901.00,3020.00,2901.00,3015.00,4397315411,1458566,203,D,2877.00,3020.00
Saipa.Glass,20181027,2810.00,2883.00,2810.00,2877.00,6614801783,2298911,255,D,2746.00,2883.00
Saipa.Glass,20181024,2732.00,2878.00,2732.00,2746.00,4978641434,1813096,161,D,2875.00,2878.00
Saipa.Glass,20181023,2830.00,2988.00,2821.00,2875.00,1857698787,646073,81,D,2969.00,2821.00
Saipa.Glass,20181022,3118.00,3147.00,2959.00,2969.00,1797316020,605460,113,D,3114.00,2959.00
Saipa.Glass,20181021,3230.00,3230.00,3069.00,3114.00,5400639481,1734503,240,D,3131.00,3069.00
Saipa.Glass,20181020,3131.00,3131.00,3131.00,3131.00,586188951,187221,31,D,2982.00,3131.00
Saipa.Glass,20181017,3020.00,3020.00,2852.00,2982.00,4310717054,1445651,240,D,2909.00,3019.00
Saipa.Glass,20181016,2898.00,2925.00,2800.00,2909.00,3546344649,1219253,226,D,2786.00,2925.00
Saipa.Glass,20181015,2791.00,2799.00,2700.00,2786.00,5164766629,1853659,220,D,2666.00,2799.00
Saipa.Glass,20181014,2595.00,2685.00,2552.00,2666.00,4316715727,1618898,168,D,2558.00,2685.00
Saipa.Glass,20181013,2558.00,2680.00,2557.00,2558.00,9362474037,3660634,278,D,2691.00,2557.00
Saipa.Glass,20181010,2731.00,2733.00,2603.00,2691.00,6039753210,2244601,377,D,2603.00,2657.00
Saipa.Glass,20181009,2611.00,2611.00,2504.00,2603.00,6500968977,2497336,234,D,2487.00,2611.00
Saipa.Glass,20181008,2453.00,2640.00,2453.00,2487.00,9184805207,3692755,439,D,2582.00,2639.00
Saipa.Glass,20181007,2582.00,2582.00,2582.00,2582.00,647444246,250753,21,D,2717.00,2582.00
Saipa.Glass,20181006,2691.00,2950.00,2690.00,2717.00,8183863225,3012014,263,D,2831.00,2690.00
Saipa.Glass,20181003,2831.00,2831.00,2831.00,2831.00,1134896942,400882,58,D,2979.00,2831.00
Saipa.Glass,20181002,2977.00,3090.00,2977.00,2979.00,1462309851,490813,63,D,3133.00,2977.00
Saipa.Glass,20181001,3236.00,3240.00,3112.00,3133.00,12554846025,4007823,569,D,3275.00,3112.00
Saipa.Glass,20180930,3302.00,3364.00,3190.00,3275.00,29007020355,8856949,1230,D,3283.00,3260.00
Saipa.Glass,20180929,3380.00,3468.00,3180.00,3283.00,25831605429,7868260,1221,D,3347.00,3235.00
Saipa.Glass,20180926,3354.00,3354.00,3211.00,3347.00,26620438245,7953739,801,D,3195.00,3354.00
Saipa.Glass,20180925,3058.00,3210.00,3058.00,3195.00,699800910,219035,32,D,2913.00,3210.00
Saipa.Glass,20180923,3014.00,3014.00,3014.00,2913.00,160185058,53147,6,D,2871.00,3014.00
Saipa.Glass,20180922,2871.00,2871.00,2871.00,2871.00,7098162786,2472366,128,D,2735.00,2871.00
Saipa.Glass,20180918,2735.00,2735.00,2735.00,2735.00,625245615,228609,26,D,2605.00,2735.00
Saipa.Glass,20180917,2485.00,2609.00,2485.00,2605.00,730012136,280256,39,D,2367.00,2609.00
Saipa.Glass,20180916,2427.00,2427.00,2427.00,2367.00,264363402,108926,20,D,2312.00,2427.00
Saipa.Glass,20180915,2312.00,2312.00,2312.00,2312.00,14739890120,6375385,380,D,2202.00,2312.00
Saipa.Glass,20180912,2221.00,2221.00,2150.00,2202.00,6424482220,2917686,293,D,2116.00,2221.00
Saipa.Glass,20180911,2116.00,2116.00,2116.00,2116.00,1632273936,771396,111,D,2016.00,2116.00
Saipa.Glass,20180910,1989.00,2068.00,1900.00,2016.00,9494420778,4709088,502,D,1970.00,2068.00
Saipa.Glass,20180909,2049.00,2049.00,1888.00,1970.00,4873135583,2473489,398,D,1982.00,1932.00
Saipa.Glass,20180908,1948.00,2000.00,1851.00,1982.00,4282079783,2160553,305,D,1905.00,1998.00
Saipa.Glass,20180905,1951.00,2000.00,1850.00,1905.00,1301776764,683199,147,D,1942.00,1850.00
Saipa.Glass,20180904,1840.00,1950.00,1840.00,1942.00,3979145846,2049078,252,D,1858.00,1950.00
Saipa.Glass,20180903,1806.00,1930.00,1805.00,1858.00,2719565487,1463878,142,D,1851.00,1840.00
Saipa.Glass,20180902,1864.00,1930.00,1844.00,1851.00,3468088283,1873334,194,D,1941.00,1844.00
Saipa.Glass,20180901,1996.00,2064.00,1906.00,1941.00,3806641391,1961653,198,D,2006.00,1906.00
Saipa.Glass,20180829,2020.00,2062.00,2003.00,2006.00,4260425853,2124123,218,D,2108.00,2003.00
Saipa.Glass,20180828,2170.00,2170.00,2062.00,2108.00,1033603243,490325,93,D,2070.00,2062.00
Saipa.Glass,20180827,2070.00,2070.00,2070.00,2070.00,1050576750,507525,15,D,2022.00,2070.00
Saipa.Glass,20180826,2020.00,2026.00,1970.00,2022.00,7081439718,3501636,373,D,1930.00,2025.00
Saipa.Glass,20180825,1979.00,1980.00,1865.00,1930.00,4490061653,2326814,285,D,1886.00,1980.00
Saipa.Glass,20180821,1887.00,1887.00,1816.00,1886.00,1796204808,952497,141,D,1798.00,1887.00
Saipa.Glass,20180820,1800.00,1804.00,1765.00,1798.00,912870042,507604,68,D,1719.00,1804.00
Saipa.Glass,20180819,1641.00,1799.00,1641.00,1719.00,4197003178,2441031,265,D,1724.00,1762.00
Saipa.Glass,20180818,1736.00,1737.00,1661.00,1724.00,4408417165,2556360,205,D,1655.00,1737.00
Saipa.Glass,20180815,1600.00,1680.00,1600.00,1655.00,3644257261,2201337,248,D,1609.00,1667.00
Saipa.Glass,20180814,1601.00,1640.00,1553.00,1609.00,933621412,580246,82,D,1617.00,1602.00
Saipa.Glass,20180813,1585.00,1643.00,1585.00,1617.00,2749156425,1699666,172,D,1578.00,1620.00
Saipa.Glass,20180812,1490.00,1598.00,1490.00,1578.00,3669528415,2326122,277,D,1522.00,1598.00
Saipa.Glass,20180811,1515.00,1580.00,1500.00,1522.00,898145728,589955,69,D,1567.00,1501.00
Saipa.Glass,20180808,1600.00,1621.00,1506.00,1567.00,1015743332,648176,87,D,1547.00,1580.00
Saipa.Glass,20180807,1589.00,1625.00,1490.00,1547.00,3444141715,2226214,219,D,1548.00,1590.00
