<TICKER>,<DTYYYYMMDD>,<FIRST>,<HIGH>,<LOW>,<CLOSE>,<VALUE>,<VOL>,<OPENINT>,<PER>,<OPEN>,<LAST>
Saipa.Inv.,20190227,795.00,804.00,778.00,789.00,6860092176,8689377,634,D,785.00,786.00
Saipa.Inv.,20190226,780.00,809.00,778.00,785.00,16366446742,20858676,1128,D,816.00,786.00
Saipa.Inv.,20190225,824.00,838.00,795.00,816.00,19852986446,24334993,1340,D,824.00,805.00
Saipa.Inv.,20190224,820.00,839.00,810.00,824.00,14901092844,18083578,1155,D,801.00,818.00
Saipa.Inv.,20190223,784.00,814.00,780.00,801.00,27088660771,33827682,1644,D,776.00,814.00
Saipa.Inv.,20190220,780.00,790.00,770.00,776.00,8679961264,11191142,718,D,777.00,777.00
Saipa.Inv.,20190219,788.00,794.00,768.00,777.00,11889164528,15297320,943,D,780.00,775.00
Saipa.Inv.,20190218,779.00,786.00,766.00,780.00,5349181492,6860318,499,D,769.00,777.00
Saipa.Inv.,20190217,772.00,787.00,760.00,769.00,11441690728,14871904,962,D,787.00,761.00
Saipa.Inv.,20190216,795.00,800.00,776.00,787.00,8187629146,10399049,865,D,779.00,787.00
Saipa.Inv.,20190213,779.00,791.00,765.00,779.00,11608651457,14906124,1122,D,780.00,790.00
Saipa.Inv.,20190212,798.00,798.00,770.00,780.00,10724605145,13755860,1047,D,800.00,779.00
Saipa.Inv.,20190210,816.00,816.00,790.00,800.00,9050302859,11313892,772,D,799.00,794.00
Saipa.Inv.,20190206,797.00,820.00,788.00,799.00,16621681294,20796122,1252,D,797.00,803.00
Saipa.Inv.,20190205,820.00,820.00,791.00,797.00,11566000238,14517557,1100,D,809.00,793.00
Saipa.Inv.,20190204,812.00,828.00,802.00,809.00,11715817840,14483863,1044,D,810.00,803.00
Saipa.Inv.,20190203,820.00,831.00,796.00,810.00,15035142219,18553115,1171,D,821.00,816.00
Saipa.Inv.,20190202,838.00,840.00,811.00,821.00,11565334586,14088500,1024,D,831.00,814.00
Saipa.Inv.,20190130,829.00,847.00,821.00,831.00,17346643632,20870908,1229,D,829.00,825.00
