<TICKER>,<DTYYYYMMDD>,<FIRST>,<HIGH>,<LOW>,<CLOSE>,<VALUE>,<VOL>,<OPENINT>,<PER>,<OPEN>,<LAST>
Salemin.Factory,20190227,7944.00,7944.00,7944.00,7578.00,29067096,3659,6,D,7566.00,7944.00
Salemin.Factory,20190226,7932.00,7932.00,7932.00,7566.00,26810160,3380,7,D,7555.00,7932.00
Salemin.Factory,20190225,7908.00,7908.00,7908.00,7555.00,59310000,7500,3,D,7532.00,7908.00
Salemin.Factory,20190224,7893.00,7893.00,7893.00,7532.00,35415891,4487,10,D,7518.00,7893.00
Salemin.Factory,20190223,7518.00,7518.00,7518.00,7518.00,1054873134,140313,21,D,7160.00,7518.00
Salemin.Factory,20190220,7505.00,7505.00,7505.00,7160.00,31415930,4186,10,D,7148.00,7505.00
Salemin.Factory,20190219,7174.00,7175.00,7174.00,7148.00,793927945,110652,8,D,6834.00,7175.00
Salemin.Factory,20190218,7174.00,7174.00,6604.00,6834.00,14495555,2100,4,D,6833.00,6604.00
Salemin.Factory,20190217,6860.00,7134.00,6860.00,6833.00,99216384,13922,23,D,6795.00,7134.00
Salemin.Factory,20190213,7036.00,7037.00,7036.00,6795.00,235310003,33439,22,D,6702.00,7037.00
Salemin.Factory,20190212,6750.00,6750.00,6721.00,6702.00,30582811,4544,9,D,6701.00,6725.00
Salemin.Factory,20190210,7129.00,7129.00,6469.00,6701.00,10078920852,1504196,76,D,6808.00,7109.00
Salemin.Factory,20190206,6805.00,7398.00,6805.00,6808.00,3443859325,505837,61,D,7163.00,7380.00
Salemin.Factory,20190205,6820.00,6820.00,6820.00,7163.00,21142000,3100,6,D,7172.00,6820.00
Salemin.Factory,20190203,6818.00,6818.00,6818.00,7172.00,8522500,1250,3,D,7176.00,6818.00
Salemin.Factory,20190202,6844.00,6845.00,6844.00,7176.00,64363521,9404,28,D,7204.00,6844.00
Salemin.Factory,20190130,7561.00,7561.00,7561.00,7204.00,6804900,900,3,D,7201.00,7561.00
Salemin.Factory,20190129,6802.00,7518.00,6802.00,7201.00,129217246,17352,26,D,7160.00,7518.00
Salemin.Factory,20190128,7511.00,7511.00,7158.00,7160.00,16956887,2267,10,D,7154.00,7159.00
Salemin.Factory,20190127,7485.00,7485.00,7480.00,7154.00,63970035,8547,11,D,7129.00,7485.00
Salemin.Factory,20190126,6920.00,7361.00,6920.00,7129.00,328358372,44821,32,D,7011.00,7361.00
Salemin.Factory,20190123,6664.00,6666.00,6664.00,7011.00,3932760,590,2,D,7013.00,6666.00
Salemin.Factory,20190122,6949.00,6949.00,6949.00,7013.00,5406322,778,2,D,7013.00,6949.00
Salemin.Factory,20190121,6999.00,6999.00,6999.00,7013.00,6999000,1000,4,D,7013.00,6999.00
Salemin.Factory,20190119,6944.00,6944.00,6750.00,7013.00,3293350,480,2,D,7014.00,6750.00
Salemin.Factory,20190114,6671.00,6671.00,6671.00,7014.00,6270740,940,2,D,7017.00,6671.00
Salemin.Factory,20190113,6671.00,6671.00,6671.00,7017.00,400260,60,1,D,7017.00,6671.00
Salemin.Factory,20190112,6690.00,6790.00,6690.00,7017.00,59903475,8933,25,D,7042.00,6790.00
Salemin.Factory,20190109,6732.00,6732.00,6732.00,7042.00,1077120,160,1,D,7042.00,6732.00
Salemin.Factory,20190108,6749.00,6751.00,6749.00,7042.00,142552954,21122,22,D,7104.00,6751.00
Salemin.Factory,20190107,6767.00,6767.00,6767.00,7104.00,43559179,6437,21,D,7123.00,6767.00
Salemin.Factory,20190106,7131.00,7131.00,6785.00,7123.00,49410393,7060,16,D,7131.00,6786.00
Salemin.Factory,20190105,7229.00,7229.00,7210.00,7131.00,30007260,4161,9,D,7128.00,7210.00
Salemin.Factory,20190102,6610.00,7147.00,6610.00,7128.00,1365087954,191498,56,D,6807.00,7147.00
Salemin.Factory,20190101,6554.00,6881.00,6232.00,6807.00,1397261129,205268,71,D,6554.00,6881.00
Salemin.Factory,20181231,6872.00,6872.00,6547.00,6554.00,95125063,14406,37,D,6547.00,6547.00
Salemin.Factory,20181230,6660.00,6660.00,6350.00,6547.00,582174534,87928,48,D,6343.00,6660.00
Salemin.Factory,20181229,6560.00,6566.00,6560.00,6343.00,225690618,34373,17,D,6254.00,6566.00
Salemin.Factory,20181226,6304.00,6308.00,6100.00,6254.00,799340536,127810,43,D,6008.00,6308.00
Salemin.Factory,20181225,5900.00,6011.00,5900.00,6008.00,999851593,166418,49,D,5725.00,6011.00
Salemin.Factory,20181224,5740.00,5750.00,5650.00,5725.00,628750920,109366,23,D,5477.00,5750.00
Salemin.Factory,20181223,5399.00,5478.00,5399.00,5477.00,701023697,128000,45,D,5218.00,5478.00
Salemin.Factory,20181222,5218.00,5492.00,5218.00,5218.00,3860751299,739868,91,D,5492.00,5225.00
Salemin.Factory,20181219,5492.00,5492.00,5492.00,5492.00,661236800,120400,12,D,5781.00,5492.00
Salemin.Factory,20181218,5492.00,5492.00,5492.00,5781.00,1098400,200,1,D,5781.00,5492.00
Salemin.Factory,20181217,5493.00,5493.00,5493.00,5781.00,2114805,385,2,D,5782.00,5493.00
Salemin.Factory,20181216,5504.00,5504.00,5504.00,5782.00,24905600,4525,6,D,5793.00,5504.00
Salemin.Factory,20181215,5525.00,5525.00,5525.00,5793.00,50139375,9075,7,D,5815.00,5525.00
Salemin.Factory,20181212,5525.00,5525.00,5525.00,5815.00,1105000,200,1,D,5815.00,5525.00
Salemin.Factory,20181211,5532.00,5532.00,5532.00,5815.00,18808800,3400,6,D,5823.00,5532.00
Salemin.Factory,20181210,5532.00,5532.00,5532.00,5823.00,1106400,200,1,D,5823.00,5532.00
Salemin.Factory,20181209,5532.00,5532.00,5532.00,5823.00,1106400,200,1,D,5823.00,5532.00
Salemin.Factory,20181208,5554.00,5554.00,5553.00,5823.00,50506035,9095,7,D,5845.00,5553.00
Salemin.Factory,20181205,5634.00,5634.00,5634.00,5845.00,193567338,34357,14,D,5930.00,5634.00
Salemin.Factory,20181204,5680.00,5680.00,5680.00,5930.00,108976480,19186,9,D,5978.00,5680.00
Salemin.Factory,20181203,5780.00,5780.00,5695.00,5978.00,40674600,7101,10,D,5994.00,5695.00
Salemin.Factory,20181202,5715.00,5900.00,5715.00,5994.00,69009210,11882,18,D,6014.00,5818.00
Salemin.Factory,20181201,5715.00,5715.00,5715.00,6014.00,3000375,525,2,D,6015.00,5715.00
Salemin.Factory,20181128,5719.00,5719.00,5719.00,6015.00,6290900,1100,2,D,6018.00,5719.00
Salemin.Factory,20181127,5721.00,5899.00,5721.00,6018.00,6753325,1175,2,D,6021.00,5899.00
Salemin.Factory,20181124,5724.00,5724.00,5724.00,6021.00,5724000,1000,1,D,6024.00,5724.00
