<TICKER>,<DTYYYYMMDD>,<FIRST>,<HIGH>,<LOW>,<CLOSE>,<VALUE>,<VOL>,<OPENINT>,<PER>,<OPEN>,<LAST>
Sazeh.Pouyesh,20190227,17830.00,18591.00,17830.00,17841.00,367698827,20597,4,D,17830.00,18591.00
Sazeh.Pouyesh,20190226,18100.00,18100.00,17829.00,17830.00,183667000,10300,4,D,17829.00,17829.00
Sazeh.Pouyesh,20190225,17997.00,17997.00,17782.00,17829.00,191330161,10653,6,D,17782.00,17782.00
Sazeh.Pouyesh,20190224,18624.00,18624.00,17741.00,17782.00,85941302,4748,7,D,17739.00,17800.00
Sazeh.Pouyesh,20190223,18500.00,18545.00,18500.00,17739.00,64537690,3482,4,D,17663.00,18545.00
Sazeh.Pouyesh,20190219,18388.00,18388.00,18300.00,17663.00,126265590,6867,6,D,17513.00,18379.00
Sazeh.Pouyesh,20190218,18228.00,18357.00,18228.00,17513.00,3270423,179,2,D,17510.00,18357.00
Sazeh.Pouyesh,20190217,17510.00,17510.00,17510.00,17510.00,4832760,276,2,D,17510.00,17510.00
Sazeh.Pouyesh,20190216,17045.00,18075.00,17045.00,17510.00,64652179,3636,12,D,17483.00,18075.00
Sazeh.Pouyesh,20190213,17083.00,17328.00,17083.00,17483.00,60950645,3567,7,D,17522.00,17084.00
Sazeh.Pouyesh,20190212,17200.00,17200.00,17088.00,17522.00,8213440,480,2,D,17527.00,17088.00
Sazeh.Pouyesh,20190210,17200.00,17200.00,17200.00,17527.00,516000,30,1,D,17527.00,17200.00
Sazeh.Pouyesh,20190206,17947.00,17947.00,17940.00,17527.00,6404699,357,4,D,17523.00,17940.00
Sazeh.Pouyesh,20190205,17948.00,17948.00,17948.00,17523.00,19527424,1088,2,D,17511.00,17948.00
Sazeh.Pouyesh,20190204,17166.00,17170.00,17166.00,17511.00,148985724,8679,7,D,17607.00,17166.00
Sazeh.Pouyesh,20190203,17327.00,17327.00,17233.00,17607.00,105679315,6132,5,D,17675.00,17300.00
Sazeh.Pouyesh,20190202,18216.00,18216.00,17327.00,17675.00,197241812,11316,5,D,17772.00,18215.00
Sazeh.Pouyesh,20190130,17522.00,18000.00,17439.00,17772.00,252997923,14401,9,D,17887.00,17439.00
Sazeh.Pouyesh,20190129,17810.00,17810.00,17554.00,17887.00,424405418,24000,14,D,18191.00,17554.00
Sazeh.Pouyesh,20190128,17743.00,17743.00,17743.00,18191.00,9758650,550,2,D,18197.00,17743.00
Sazeh.Pouyesh,20190126,17800.00,17800.00,17760.00,18197.00,29110750,1638,5,D,18215.00,17761.00
Sazeh.Pouyesh,20190123,17800.00,17800.00,17800.00,18215.00,1263800,71,1,D,18216.00,17800.00
Sazeh.Pouyesh,20190122,17810.00,18568.00,17800.00,18216.00,62185482,3490,6,D,18254.00,17800.00
Sazeh.Pouyesh,20190121,17820.00,17820.00,17810.00,18254.00,18775440,1054,4,D,18266.00,17810.00
Sazeh.Pouyesh,20190120,18580.00,18580.00,18300.00,18266.00,60378801,3262,7,D,18244.00,18580.00
Sazeh.Pouyesh,20190119,18570.00,18580.00,18566.00,18244.00,66334156,3571,7,D,18212.00,18580.00
Sazeh.Pouyesh,20190116,17853.00,17853.00,17809.00,18212.00,89161300,5000,3,D,18266.00,17809.00
Sazeh.Pouyesh,20190115,17835.00,18580.00,17835.00,18266.00,46539833,2602,16,D,18292.00,18579.00
Sazeh.Pouyesh,20190114,18600.00,18600.00,17840.00,18292.00,23152785,1263,6,D,18291.00,17840.00
Sazeh.Pouyesh,20190113,18584.00,18674.00,18356.00,18291.00,262015916,14099,16,D,18131.00,18600.00
Sazeh.Pouyesh,20190112,18583.00,18583.00,18583.00,18131.00,1282227,69,1,D,18130.00,18583.00
Sazeh.Pouyesh,20190109,18582.00,18582.00,18582.00,18130.00,1022010,55,1,D,18129.00,18582.00
Sazeh.Pouyesh,20190108,18580.00,18580.00,18578.00,18129.00,3065584,165,2,D,18127.00,18578.00
Sazeh.Pouyesh,20190107,18364.00,18365.00,18059.00,18127.00,1187662430,65518,22,D,18517.00,18060.00
Sazeh.Pouyesh,20190106,18681.00,18682.00,18363.00,18517.00,719140157,38868,24,D,19028.00,18363.00
Sazeh.Pouyesh,20190105,18681.00,18682.00,18681.00,19028.00,206986830,11080,14,D,19161.00,18681.00
Sazeh.Pouyesh,20190101,19614.00,19614.00,18684.00,19161.00,7780114,411,3,D,19163.00,18684.00
Sazeh.Pouyesh,20181231,18957.00,19050.00,18940.00,19163.00,425523126,22447,21,D,19426.00,18940.00
Sazeh.Pouyesh,20181230,19020.00,19020.00,19005.00,19426.00,106581307,5606,9,D,19493.00,19005.00
Sazeh.Pouyesh,20181229,19020.00,19020.00,19020.00,19493.00,9510000,500,1,D,19499.00,19020.00
Sazeh.Pouyesh,20181224,19026.00,19510.00,19026.00,19499.00,167317708,8604,6,D,19514.00,19500.00
Sazeh.Pouyesh,20181223,19040.00,19040.00,19040.00,19514.00,19040000,1000,1,D,19526.00,19040.00
Sazeh.Pouyesh,20181222,19149.00,19149.00,19149.00,19526.00,177070803,9247,6,D,19640.00,19149.00
Sazeh.Pouyesh,20181219,19400.00,19767.00,19272.00,19640.00,201694442,10460,6,D,19767.00,19767.00
Sazeh.Pouyesh,20181218,19400.00,19767.00,19367.00,19767.00,154640192,7980,3,D,19864.00,19767.00
Sazeh.Pouyesh,20181217,19400.00,19415.00,19400.00,19864.00,20196900,1041,2,D,19876.00,19415.00
Sazeh.Pouyesh,20181216,20353.00,20353.00,19419.00,19876.00,221028164,11094,8,D,19858.00,19500.00
Sazeh.Pouyesh,20181212,19897.00,19897.00,19556.00,19858.00,106104353,5411,8,D,19897.00,19890.00
Sazeh.Pouyesh,20181211,19900.00,19900.00,19897.00,19897.00,138483270,6960,5,D,19897.00,19897.00
Sazeh.Pouyesh,20181210,19556.00,19556.00,19556.00,19897.00,103744580,5305,5,D,19949.00,19556.00
Sazeh.Pouyesh,20181209,20484.00,20484.00,19556.00,19949.00,162773050,8300,7,D,20038.00,19556.00
Sazeh.Pouyesh,20181208,20487.00,20487.00,20300.00,20038.00,95461440,4680,9,D,19990.00,20480.00
Sazeh.Pouyesh,20181205,20100.00,20389.00,19888.00,19990.00,212314676,10477,20,D,19892.00,20345.00
Sazeh.Pouyesh,20181203,20080.00,20080.00,19858.00,19892.00,20719530,1035,3,D,19889.00,19858.00
Sazeh.Pouyesh,20181202,19472.00,20200.00,19472.00,19889.00,188909008,9624,9,D,19972.00,20100.00
Sazeh.Pouyesh,20181201,19610.00,20000.00,19610.00,19972.00,54517500,2750,5,D,19983.00,19900.00
Sazeh.Pouyesh,20181128,20000.00,20000.00,19657.00,19983.00,149937897,7569,16,D,20023.00,20000.00
Sazeh.Pouyesh,20181127,20000.00,20200.00,19861.00,20023.00,35876322,1802,6,D,20028.00,20200.00
Sazeh.Pouyesh,20181126,19611.00,19611.00,19610.00,20028.00,46475900,2370,3,D,20054.00,19610.00
Sazeh.Pouyesh,20181124,19770.00,20020.00,19770.00,20054.00,27557780,1389,2,D,20062.00,20020.00
Sazeh.Pouyesh,20181121,20485.00,20485.00,20450.00,20062.00,85534105,4181,5,D,20016.00,20450.00
Sazeh.Pouyesh,20181120,20489.00,20489.00,20400.00,20016.00,44459365,2172,4,D,19990.00,20440.00
Sazeh.Pouyesh,20181119,19600.00,20549.00,19555.00,19990.00,338808658,17026,14,D,20057.00,20535.00
Sazeh.Pouyesh,20181118,19651.00,19700.00,19650.00,20057.00,152415563,7756,7,D,20154.00,19650.00
Sazeh.Pouyesh,20181117,19733.00,19755.00,19720.00,20154.00,108601845,5499,8,D,20219.00,19750.00
Sazeh.Pouyesh,20181114,20480.00,20480.00,20480.00,20219.00,20480000,1000,1,D,20212.00,20480.00
Sazeh.Pouyesh,20181113,20500.00,20500.00,20500.00,20212.00,1763000,86,1,D,20211.00,20500.00
Sazeh.Pouyesh,20181112,20081.00,20658.00,20078.00,20211.00,129932702,6336,7,D,20155.00,20658.00
Sazeh.Pouyesh,20181111,20000.00,20627.00,20000.00,20155.00,69655340,3400,6,D,20124.00,20627.00
Sazeh.Pouyesh,20181110,20618.00,20618.00,20188.00,20124.00,22296428,1094,9,D,20117.00,20416.00
Sazeh.Pouyesh,20181106,20000.00,20599.00,20000.00,20117.00,93571518,4617,9,D,20097.00,20088.00
Sazeh.Pouyesh,20181105,20521.00,20521.00,20000.00,20097.00,155710864,7626,14,D,20021.00,20000.00
Sazeh.Pouyesh,20181104,20460.00,20465.00,20000.00,20021.00,93019175,4548,16,D,19966.00,20463.00
Sazeh.Pouyesh,20181103,20400.00,20400.00,20397.00,19966.00,24335138,1193,5,D,19953.00,20398.00
Sazeh.Pouyesh,20181031,20000.00,20341.00,20000.00,19953.00,251408763,12451,14,D,19845.00,20300.00
Sazeh.Pouyesh,20181029,20373.00,20373.00,19840.00,19845.00,7613405786,383641,27,D,19867.00,20002.00
