<TICKER>,<DTYYYYMMDD>,<FIRST>,<HIGH>,<LOW>,<CLOSE>,<VALUE>,<VOL>,<OPENINT>,<PER>,<OPEN>,<LAST>
Sepahan.Group,20190227,5447.00,5449.00,5200.00,5310.00,11367738110,2140989,420,D,5360.00,5330.00
Sepahan.Group,20190226,5200.00,5392.00,5138.00,5360.00,15268631661,2848823,315,D,5136.00,5392.00
Sepahan.Group,20190225,5136.00,5136.00,5136.00,5136.00,2241653424,436459,63,D,4892.00,5136.00
Sepahan.Group,20190224,4950.00,5140.00,4801.00,4892.00,1621239357,331432,139,D,4902.00,4870.00
Sepahan.Group,20190223,4800.00,4924.00,4800.00,4902.00,2954444022,602708,149,D,4690.00,4920.00
Sepahan.Group,20190220,4721.00,4769.00,4612.00,4690.00,1046984101,223331,99,D,4702.00,4750.00
Sepahan.Group,20190219,4748.00,4750.00,4680.00,4702.00,1824835782,388084,117,D,4642.00,4721.00
Sepahan.Group,20190218,4700.00,4780.00,4653.00,4642.00,391584070,83475,51,D,4619.00,4654.00
Sepahan.Group,20190217,4800.00,4800.00,4553.00,4619.00,1398184386,302699,74,D,4660.00,4650.00
Sepahan.Group,20190216,4730.00,4768.00,4706.00,4660.00,518538826,109992,63,D,4620.00,4762.00
Sepahan.Group,20190213,4655.00,4730.00,4564.00,4620.00,1267690547,274370,101,D,4657.00,4700.00
Sepahan.Group,20190212,4751.00,4751.00,4600.00,4657.00,1058336434,227857,89,D,4742.00,4615.00
Sepahan.Group,20190210,4840.00,4840.00,4656.00,4742.00,982758416,208301,76,D,4838.00,4834.00
Sepahan.Group,20190206,4850.00,4980.00,4703.00,4838.00,653097998,133811,78,D,4792.00,4703.00
Sepahan.Group,20190205,4556.00,4824.00,4556.00,4792.00,1649591498,344244,105,D,4595.00,4824.00
Sepahan.Group,20190204,4651.00,4779.00,4572.00,4595.00,2104144203,457912,131,D,4645.00,4630.00
Sepahan.Group,20190203,4860.00,4888.00,4612.00,4645.00,2043599674,439916,134,D,4854.00,4658.00
Sepahan.Group,20190202,5000.00,5000.00,4800.00,4854.00,1182782177,243709,109,D,4868.00,4800.00
Sepahan.Group,20190130,4835.00,4980.00,4800.00,4868.00,1525452656,313380,81,D,4825.00,4886.00
Sepahan.Group,20190129,4703.00,4879.00,4700.00,4825.00,2213264660,458688,128,D,4703.00,4803.00
Sepahan.Group,20190128,4800.00,4830.00,4610.00,4703.00,1907753237,405665,136,D,4794.00,4787.00
Sepahan.Group,20190127,5029.00,5029.00,4778.00,4794.00,4246506825,885852,301,D,5029.00,4780.00
Sepahan.Group,20190126,5142.00,5150.00,4900.00,5029.00,1461252347,290570,121,D,5050.00,4900.00
Sepahan.Group,20190123,5020.00,5100.00,5002.00,5050.00,1413256456,279866,133,D,5192.00,5010.00
Sepahan.Group,20190122,5199.00,5227.00,5034.00,5192.00,789618238,153355,94,D,5253.00,5130.00
Sepahan.Group,20190121,5398.00,5398.00,5120.00,5253.00,4155324108,790989,202,D,5269.00,5161.00
Sepahan.Group,20190120,5298.00,5320.00,5117.00,5269.00,7905633282,1500530,284,D,5074.00,5310.00
Sepahan.Group,20190119,4950.00,5129.00,4950.00,5074.00,3880692846,764799,191,D,4885.00,5129.00
Sepahan.Group,20190116,4897.00,4925.00,4790.00,4885.00,2297081205,470260,96,D,4797.00,4919.00
Sepahan.Group,20190115,4610.00,4899.00,4600.00,4797.00,1108150420,230535,95,D,4720.00,4874.00
Sepahan.Group,20190114,4935.00,4935.00,4607.00,4720.00,1335410654,282922,96,D,4805.00,4640.00
Sepahan.Group,20190113,4842.00,4900.00,4761.00,4805.00,1134423295,236252,79,D,4842.00,4761.00
Sepahan.Group,20190112,4823.00,5000.00,4729.00,4842.00,1430938602,295544,113,D,4775.00,4750.00
Sepahan.Group,20190109,4738.00,4909.00,4686.00,4775.00,5884142823,1232326,190,D,4676.00,4834.00
Sepahan.Group,20190108,4673.00,4728.00,4601.00,4676.00,986394926,210892,64,D,4671.00,4621.00
Sepahan.Group,20190107,4592.00,4730.00,4590.00,4671.00,2818004742,603362,113,D,4583.00,4728.00
Sepahan.Group,20190106,4500.00,4700.00,4461.00,4583.00,2269478276,495217,80,D,4546.00,4679.00
Sepahan.Group,20190105,4490.00,4627.00,4443.00,4546.00,1916077973,421458,65,D,4489.00,4619.00
Sepahan.Group,20190102,4461.00,4632.00,4461.00,4489.00,1400396625,311961,67,D,4586.00,4472.00
Sepahan.Group,20190101,4520.00,4643.00,4500.00,4586.00,2819771223,614911,107,D,4515.00,4570.00
