<TICKER>,<DTYYYYMMDD>,<FIRST>,<HIGH>,<LOW>,<CLOSE>,<VALUE>,<VOL>,<OPENINT>,<PER>,<OPEN>,<LAST>
Shahed.Inv.,20190227,1190.00,1255.00,1190.00,1241.00,7240723196,5833170,458,D,1196.00,1250.00
Shahed.Inv.,20190226,1182.00,1205.00,1172.00,1196.00,4141079174,3462470,245,D,1185.00,1189.00
Shahed.Inv.,20190225,1176.00,1201.00,1170.00,1185.00,4147201963,3500700,262,D,1184.00,1190.00
Shahed.Inv.,20190224,1190.00,1207.00,1173.00,1184.00,1992356786,1682212,136,D,1180.00,1186.00
Shahed.Inv.,20190223,1175.00,1200.00,1170.00,1180.00,1212715240,1028003,218,D,1177.00,1180.00
Shahed.Inv.,20190220,1181.00,1198.00,1170.00,1177.00,1227883527,1043563,215,D,1189.00,1183.00
Shahed.Inv.,20190219,1180.00,1210.00,1180.00,1189.00,1639154577,1378293,112,D,1192.00,1188.00
Shahed.Inv.,20190218,1185.00,1210.00,1165.00,1192.00,2088197057,1752055,150,D,1186.00,1200.00
Shahed.Inv.,20190217,1221.00,1221.00,1173.00,1186.00,2296678398,1935986,202,D,1210.00,1180.00
Shahed.Inv.,20190216,1218.00,1220.00,1201.00,1210.00,2243472069,1854185,125,D,1204.00,1210.00
Shahed.Inv.,20190213,1193.00,1220.00,1173.00,1204.00,1645035576,1366079,169,D,1188.00,1205.00
Shahed.Inv.,20190212,1190.00,1200.00,1179.00,1188.00,1013395767,855352,118,D,1202.00,1187.00
Shahed.Inv.,20190210,1205.00,1245.00,1171.00,1202.00,1993965324,1659016,217,D,1197.00,1212.00
Shahed.Inv.,20190206,1210.00,1210.00,1188.00,1197.00,1211529234,1012542,146,D,1198.00,1199.00
Shahed.Inv.,20190205,1209.00,1217.00,1187.00,1198.00,1654188979,1380807,136,D,1200.00,1204.00
Shahed.Inv.,20190204,1188.00,1226.00,1188.00,1200.00,570697771,476006,128,D,1200.00,1199.00
Shahed.Inv.,20190203,1230.00,1230.00,1188.00,1200.00,2247311486,1873261,200,D,1238.00,1208.00
Shahed.Inv.,20190202,1279.00,1279.00,1202.00,1238.00,5475066681,4421527,281,D,1260.00,1238.00
Shahed.Inv.,20190130,1245.00,1280.00,1230.00,1260.00,12814494018,10173129,754,D,1224.00,1260.00
Shahed.Inv.,20190129,1194.00,1240.00,1194.00,1224.00,4206509486,3435456,306,D,1190.00,1230.00
Shahed.Inv.,20190128,1205.00,1210.00,1167.00,1190.00,4543536034,3819364,353,D,1211.00,1199.00
Shahed.Inv.,20190127,1210.00,1247.00,1191.00,1211.00,6621916770,5466742,459,D,1206.00,1194.00
Shahed.Inv.,20190123,1160.00,1208.00,1160.00,1206.00,20404759733,16918828,761,D,1151.00,1208.00
Shahed.Inv.,20190122,1140.00,1160.00,1140.00,1151.00,1238375442,1075814,111,D,1140.00,1160.00
Shahed.Inv.,20190121,1150.00,1165.00,1129.00,1140.00,1825243268,1601387,152,D,1163.00,1145.00
Shahed.Inv.,20190120,1174.00,1175.00,1154.00,1163.00,2269726726,1951336,173,D,1166.00,1160.00
Shahed.Inv.,20190119,1160.00,1174.00,1146.00,1166.00,3706539812,3179125,212,D,1155.00,1168.00
Shahed.Inv.,20190116,1175.00,1175.00,1152.00,1155.00,1393734617,1206584,101,D,1163.00,1152.00
Shahed.Inv.,20190115,1162.00,1177.00,1155.00,1163.00,1200771560,1031854,112,D,1156.00,1167.00
Shahed.Inv.,20190114,1151.00,1170.00,1146.00,1156.00,1215902408,1052326,115,D,1167.00,1160.00
Shahed.Inv.,20190113,1147.00,1177.00,1145.00,1167.00,4457900869,3818420,271,D,1163.00,1168.00
Shahed.Inv.,20190112,1142.00,1170.00,1142.00,1163.00,2080940788,1788538,147,D,1147.00,1169.00
Shahed.Inv.,20190109,1145.00,1156.00,1137.00,1147.00,1505082013,1312101,161,D,1156.00,1156.00
Shahed.Inv.,20190108,1170.00,1173.00,1150.00,1156.00,1083268555,937716,76,D,1159.00,1151.00
Shahed.Inv.,20190107,1174.00,1174.00,1145.00,1159.00,964737314,833135,84,D,1161.00,1167.00
Shahed.Inv.,20190106,1166.00,1180.00,1143.00,1161.00,660275235,569321,78,D,1162.00,1156.00
Shahed.Inv.,20190105,1137.00,1172.00,1137.00,1162.00,2409389966,2073592,155,D,1157.00,1162.00
Shahed.Inv.,20190102,1150.00,1165.00,1142.00,1157.00,2967964634,2565570,207,D,1146.00,1158.00
Shahed.Inv.,20190101,1140.00,1160.00,1130.00,1146.00,1456956662,1271097,154,D,1132.00,1147.00
Shahed.Inv.,20181231,1133.00,1147.00,1120.00,1132.00,1238197829,1094100,101,D,1138.00,1139.00
Shahed.Inv.,20181230,1130.00,1149.00,1130.00,1138.00,1624624512,1428208,133,D,1130.00,1146.00
Shahed.Inv.,20181229,1129.00,1139.00,1128.00,1130.00,1083485532,958137,123,D,1127.00,1130.00
Shahed.Inv.,20181226,1115.00,1143.00,1114.00,1127.00,601763336,533281,79,D,1126.00,1135.00
Shahed.Inv.,20181225,1148.00,1148.00,1115.00,1126.00,657670757,585190,82,D,1128.00,1134.00
Shahed.Inv.,20181224,1147.00,1150.00,1127.00,1128.00,335428718,296874,75,D,1127.00,1130.00
Shahed.Inv.,20181223,1145.00,1146.00,1128.00,1127.00,569052952,499592,57,D,1117.00,1143.00
Shahed.Inv.,20181222,1120.00,1140.00,1107.00,1117.00,672121613,596815,75,D,1106.00,1130.00
Shahed.Inv.,20181219,1144.00,1144.00,1100.00,1106.00,1253877296,1133711,158,D,1126.00,1116.00
Shahed.Inv.,20181218,1130.00,1144.00,1110.00,1126.00,619581872,551983,112,D,1130.00,1129.00
Shahed.Inv.,20181217,1133.00,1150.00,1110.00,1130.00,1481912339,1311583,159,D,1153.00,1130.00
Shahed.Inv.,20181216,1150.00,1177.00,1136.00,1153.00,573501811,500287,105,D,1158.00,1138.00
Shahed.Inv.,20181215,1160.00,1160.00,1149.00,1158.00,541458352,469439,104,D,1162.00,1157.00
Shahed.Inv.,20181212,1153.00,1178.00,1153.00,1162.00,931285438,802291,91,D,1164.00,1158.00
Shahed.Inv.,20181211,1181.00,1188.00,1155.00,1164.00,918052861,789500,82,D,1167.00,1180.00
Shahed.Inv.,20181210,1154.00,1187.00,1154.00,1167.00,1200414076,1028156,134,D,1157.00,1179.00
Shahed.Inv.,20181209,1190.00,1200.00,1149.00,1157.00,1701927953,1471323,172,D,1191.00,1152.00
Shahed.Inv.,20181208,1190.00,1198.00,1176.00,1191.00,1893823411,1589933,114,D,1174.00,1190.00
Shahed.Inv.,20181205,1170.00,1190.00,1170.00,1174.00,1559672017,1329013,143,D,1164.00,1175.00
Shahed.Inv.,20181204,1170.00,1189.00,1136.00,1164.00,1473883466,1266692,115,D,1160.00,1189.00
Shahed.Inv.,20181203,1130.00,1167.00,1130.00,1160.00,3479449968,3000128,293,D,1112.00,1167.00
Shahed.Inv.,20181202,1144.00,1163.00,1095.00,1112.00,4173876437,3754267,347,D,1152.00,1129.00
Shahed.Inv.,20181201,1199.00,1199.00,1130.00,1152.00,972946583,850381,181,D,1179.00,1144.00
Shahed.Inv.,20181128,1190.00,1200.00,1161.00,1179.00,277255733,237418,62,D,1182.00,1179.00
Shahed.Inv.,20181127,1180.00,1217.00,1166.00,1182.00,1387072510,1173684,133,D,1167.00,1185.00
Shahed.Inv.,20181126,1200.00,1210.00,1154.00,1167.00,1410644423,1208714,170,D,1198.00,1178.00
Shahed.Inv.,20181124,1231.00,1231.00,1185.00,1198.00,1528085074,1275330,106,D,1225.00,1200.00
Shahed.Inv.,20181121,1230.00,1236.00,1210.00,1225.00,1349018070,1101379,106,D,1212.00,1220.00
Shahed.Inv.,20181120,1165.00,1230.00,1165.00,1212.00,3310743382,2732370,203,D,1194.00,1225.00
Shahed.Inv.,20181119,1237.00,1239.00,1160.00,1194.00,1228069701,1029099,133,D,1216.00,1180.00
Shahed.Inv.,20181118,1207.00,1257.00,1186.00,1216.00,2483710234,2042779,205,D,1239.00,1191.00
Shahed.Inv.,20181117,1252.00,1259.00,1202.00,1239.00,2609807202,2106313,277,D,1241.00,1245.00
Shahed.Inv.,20181114,1201.00,1255.00,1200.00,1241.00,2462341541,1984183,186,D,1211.00,1237.00
Shahed.Inv.,20181113,1237.00,1237.00,1199.00,1211.00,1821917243,1503862,176,D,1219.00,1230.00
Shahed.Inv.,20181112,1185.00,1239.00,1184.00,1219.00,1398666302,1147614,134,D,1200.00,1232.00
Shahed.Inv.,20181111,1213.00,1230.00,1173.00,1200.00,1576237355,1313568,112,D,1227.00,1200.00
Shahed.Inv.,20181110,1245.00,1246.00,1206.00,1227.00,1507609373,1228604,147,D,1224.00,1237.00
Shahed.Inv.,20181106,1222.00,1250.00,1210.00,1224.00,1997042151,1632124,183,D,1213.00,1230.00
Shahed.Inv.,20181105,1195.00,1256.00,1195.00,1213.00,8231259793,6783841,476,D,1216.00,1229.00
