<TICKER>,<DTYYYYMMDD>,<FIRST>,<HIGH>,<LOW>,<CLOSE>,<VALUE>,<VOL>,<OPENINT>,<PER>,<OPEN>,<LAST>
Shiraz.Petr.,20190227,5574.00,5574.00,5574.00,5574.00,150498000000,27000000,1,D,5574.00,5574.00
Shiraz.Petr.,20190206,5400.00,5400.00,5400.00,5400.00,27000000000,5000000,1,D,5452.00,5400.00
Shiraz.Petr.,20190202,5650.00,5650.00,5400.00,5599.00,110305000000,19700000,2,D,5577.00,5400.00
Shiraz.Petr.,20190109,5778.00,5778.00,5778.00,5778.00,80892000000,14000000,3,D,5778.00,5778.00
Shiraz.Petr.,20181226,5500.00,5500.00,5500.00,5500.00,55000000000,10000000,1,D,5439.00,5500.00
Shiraz.Petr.,20181225,5330.00,5330.00,5330.00,5330.00,31980000000,6000000,1,D,5444.00,5330.00
Shiraz.Petr.,20181218,5370.00,5370.00,5370.00,5370.00,21480000000,4000000,1,D,5388.00,5370.00
Shiraz.Petr.,20180908,4036.00,4036.00,4036.00,4036.00,201800000000,50000000,1,D,4036.00,4036.00
Shiraz.Petr.,20180829,3972.00,3972.00,3972.00,3972.00,198600000000,50000000,1,D,3972.00,3972.00
Shiraz.Petr.,20180827,4200.00,4200.00,4200.00,4200.00,42000000000,10000000,2,D,4231.00,4200.00
Shiraz.Petr.,20180821,4100.00,4100.00,4100.00,4100.00,41000000000,10000000,1,D,4132.00,4100.00
Shiraz.Petr.,20180701,2920.00,2920.00,2920.00,2920.00,19153062560,6559268,1,D,2983.00,2920.00
Shiraz.Petr.,20180521,2220.00,2220.00,2220.00,2220.00,15825811680,7128744,1,D,2265.00,2220.00
Shiraz.Petr.,20180307,2801.00,2801.00,2801.00,2801.00,22567735428,8057028,1,D,2747.00,2801.00
Shiraz.Petr.,20180213,2550.00,2550.00,2550.00,2550.00,28054822050,11001891,1,D,2613.00,2550.00
Shiraz.Petr.,20180204,2710.00,2710.00,2710.00,2710.00,54200000000,20000000,1,D,2631.00,2710.00
Shiraz.Petr.,20180114,2709.00,2709.00,2709.00,2709.00,32035550400,11825600,1,D,2709.00,2709.00
Shiraz.Petr.,20171209,2750.00,2750.00,2750.00,2750.00,55000000000,20000000,1,D,2694.00,2750.00
Shiraz.Petr.,20171118,2620.00,2620.00,2620.00,2620.00,20960000000,8000000,1,D,2637.00,2620.00
Shiraz.Petr.,20171015,2355.00,2355.00,2355.00,2355.00,13000000350,5520170,1,D,2355.00,2355.00
Shiraz.Petr.,20170408,2300.00,2300.00,2300.00,2300.00,23000000000,10000000,1,D,2267.00,2300.00
Shiraz.Petr.,20161122,2300.00,2300.00,2300.00,2300.00,23000000000,10000000,1,D,2221.00,2300.00
Shiraz.Petr.,20161114,2029.00,2029.00,2029.00,2029.00,32790880016,16161104,1,D,1933.00,2029.00
Shiraz.Petr.,20160828,2100.00,2100.00,2100.00,2100.00,10500000000,5000000,1,D,2210.00,2100.00
Shiraz.Petr.,20160824,2120.00,2120.00,2120.00,2120.00,10600000000,5000000,1,D,2231.00,2120.00
Shiraz.Petr.,20160614,2462.00,2462.00,2462.00,2462.00,59600411136,24208128,1,D,2591.00,2462.00
Shiraz.Petr.,20151104,3121.00,3121.00,3121.00,3121.00,46815000000,15000000,1,D,3285.00,3121.00
Shiraz.Petr.,20151101,3134.00,3134.00,3134.00,3134.00,31340000000,10000000,1,D,3298.00,3134.00
Shiraz.Petr.,20151013,3150.00,3150.00,3150.00,3150.00,47250000000,15000000,1,D,3295.00,3150.00
Shiraz.Petr.,20150930,3200.00,3200.00,3200.00,3200.00,16000000000,5000000,1,D,3362.00,3200.00
Shiraz.Petr.,20150809,3540.00,3540.00,3540.00,3540.00,45241200000,12780000,1,D,3534.00,3540.00
Shiraz.Petr.,20150728,3607.00,3607.00,3607.00,3607.00,36070000000,10000000,1,D,3607.00,3607.00
Shiraz.Petr.,20150725,3670.00,3670.00,3670.00,3670.00,36700000000,10000000,1,D,3670.00,3670.00
Shiraz.Petr.,20150712,3413.00,3413.00,3413.00,3413.00,40320444792,11813784,1,D,3251.00,3413.00
Shiraz.Petr.,20150510,3351.00,3351.00,3351.00,3351.00,170565900000,50900000,1,D,3453.00,3351.00
Shiraz.Petr.,20150314,3224.00,3224.00,3224.00,3224.00,128960000000,40000000,1,D,3358.00,3224.00
