<TICKER>,<DTYYYYMMDD>,<FIRST>,<HIGH>,<LOW>,<CLOSE>,<VALUE>,<VOL>,<OPENINT>,<PER>,<OPEN>,<LAST>
Siman.Fars.Noe,20190227,7620.00,7890.00,7600.00,7703.00,330279990,43195,40,D,7729.00,7849.00
Siman.Fars.Noe,20190226,7581.00,7898.00,7575.00,7729.00,1409254591,182327,51,D,7591.00,7898.00
Siman.Fars.Noe,20190225,7850.00,7900.00,7560.00,7591.00,297958175,39051,24,D,7576.00,7760.00
Siman.Fars.Noe,20190224,7582.00,7690.00,7450.00,7576.00,1614048376,213040,65,D,7550.00,7668.00
Siman.Fars.Noe,20190223,7900.00,7900.00,7405.00,7550.00,4378423859,579945,100,D,7606.00,7575.00
Siman.Fars.Noe,20190220,8000.00,8000.00,7587.00,7606.00,3384351957,444956,171,D,7986.00,7725.00
Siman.Fars.Noe,20190219,8077.00,8158.00,7601.00,7986.00,4338704112,543278,160,D,7771.00,7777.00
Siman.Fars.Noe,20190218,7252.00,7896.00,7252.00,7771.00,7929615276,1020393,124,D,7520.00,7889.00
Siman.Fars.Noe,20190217,7651.00,7750.00,7355.00,7520.00,1677334788,223041,56,D,7694.00,7544.00
Siman.Fars.Noe,20190216,7750.00,7900.00,7400.00,7694.00,1289511515,167592,85,D,7756.00,7620.00
Siman.Fars.Noe,20190213,8280.00,8280.00,7555.00,7756.00,3782103706,487620,191,D,7950.00,7995.00
Siman.Fars.Noe,20190212,7880.00,7978.00,7860.00,7950.00,8593009943,1080887,173,D,7599.00,7978.00
Siman.Fars.Noe,20190210,7650.00,7678.00,7455.00,7599.00,2239631164,294726,108,D,7313.00,7678.00
Siman.Fars.Noe,20190206,7330.00,7455.00,7137.00,7313.00,8112847165,1109344,188,D,7100.00,7455.00
Siman.Fars.Noe,20190205,6950.00,7300.00,6800.00,7100.00,12734833755,1793673,212,D,6756.00,7130.00
Siman.Fars.Noe,20190204,6750.00,6840.00,6650.00,6756.00,2218853400,328440,67,D,6689.00,6800.00
Siman.Fars.Noe,20190203,6812.00,6900.00,6575.00,6689.00,2869122688,428907,87,D,6920.00,6880.00
Siman.Fars.Noe,20190202,7100.00,7100.00,6795.00,6920.00,7256616360,1048711,157,D,6795.00,6850.00
Siman.Fars.Noe,20190130,6540.00,6827.00,6540.00,6795.00,17140748676,2522487,315,D,6502.00,6827.00
Siman.Fars.Noe,20190129,6549.00,6553.00,6294.00,6502.00,4689543578,721254,97,D,6456.00,6540.00
Siman.Fars.Noe,20190128,6321.00,6600.00,6321.00,6456.00,4216355834,653109,181,D,6630.00,6500.00
Siman.Fars.Noe,20190127,6559.00,6690.00,6480.00,6630.00,1831188539,276178,97,D,6476.00,6530.00
Siman.Fars.Noe,20190126,6559.00,6559.00,6400.00,6476.00,1771854832,273623,96,D,6366.00,6460.00
Siman.Fars.Noe,20190123,6490.00,6550.00,6271.00,6366.00,1690604677,265584,108,D,6310.00,6550.00
Siman.Fars.Noe,20190122,6360.00,6360.00,6114.00,6310.00,2224889854,352578,126,D,6209.00,6345.00
Siman.Fars.Noe,20190121,6299.00,6372.00,5980.00,6209.00,1853743529,298559,118,D,6287.00,6210.00
Siman.Fars.Noe,20190120,6291.00,6291.00,6180.00,6287.00,23038187678,3664369,326,D,5992.00,6260.00
Siman.Fars.Noe,20190119,5820.00,6037.00,5700.00,5992.00,4794833993,800245,121,D,5750.00,6037.00
Siman.Fars.Noe,20190116,5799.00,5844.00,5730.00,5750.00,680401056,118170,46,D,5706.00,5826.00
Siman.Fars.Noe,20190115,5860.00,5860.00,5556.00,5706.00,1200394843,210359,63,D,5805.00,5790.00
Siman.Fars.Noe,20190114,5799.00,5820.00,5760.00,5805.00,232849211,40118,10,D,5805.00,5820.00
Siman.Fars.Noe,20190113,5850.00,5850.00,5668.00,5805.00,595375654,103383,49,D,5934.00,5683.00
Siman.Fars.Noe,20190112,5960.00,6015.00,5700.00,5934.00,4231242771,712993,162,D,5750.00,5820.00
Siman.Fars.Noe,20190109,5655.00,5826.00,5655.00,5750.00,718913407,124500,69,D,5557.00,5800.00
Siman.Fars.Noe,20190108,5477.00,5608.00,5477.00,5557.00,4268452274,768143,113,D,5341.00,5608.00
Siman.Fars.Noe,20190107,5201.00,5449.00,5201.00,5341.00,1298131338,243028,62,D,5261.00,5440.00
Siman.Fars.Noe,20190106,5250.00,5340.00,5141.00,5261.00,983974921,187039,36,D,5227.00,5246.00
