<TICKER>,<DTYYYYMMDD>,<FIRST>,<HIGH>,<LOW>,<CLOSE>,<VALUE>,<VOL>,<OPENINT>,<PER>,<OPEN>,<LAST>
Sina.Darou.Lab.,20190227,17596.00,17798.00,17500.00,17588.00,1755670714,99753,34,D,17569.00,17514.00
Sina.Darou.Lab.,20190226,17581.00,17690.00,17333.00,17569.00,1234104371,70131,40,D,17547.00,17367.00
Sina.Darou.Lab.,20190225,17699.00,17750.00,17480.00,17547.00,121405135,6883,11,D,17543.00,17699.00
Sina.Darou.Lab.,20190224,17899.00,17899.00,17400.00,17543.00,854573424,48858,40,D,17566.00,17480.00
Sina.Darou.Lab.,20190223,17949.00,17949.00,17500.00,17566.00,1433635098,81138,47,D,17459.00,17500.00
Sina.Darou.Lab.,20190220,17603.00,17800.00,17550.00,17459.00,73520563,4161,14,D,17453.00,17800.00
Sina.Darou.Lab.,20190219,17848.00,17848.00,17100.00,17453.00,183872747,10642,17,D,17465.00,17302.00
Sina.Darou.Lab.,20190218,17449.00,17450.00,17449.00,17465.00,290068350,16623,10,D,17467.00,17450.00
Sina.Darou.Lab.,20190217,17699.00,17699.00,17300.00,17467.00,145105168,8266,14,D,17462.00,17300.00
Sina.Darou.Lab.,20190216,17551.00,17796.00,17250.00,17462.00,1279420693,73560,48,D,17521.00,17250.00
Sina.Darou.Lab.,20190213,17053.00,17600.00,17053.00,17521.00,125237313,7278,13,D,17536.00,17201.00
Sina.Darou.Lab.,20190212,17060.00,17599.00,17051.00,17536.00,213411899,12239,14,D,17544.00,17597.00
Sina.Darou.Lab.,20190210,17600.00,17600.00,17071.00,17544.00,73952542,4326,7,D,17556.00,17120.00
Sina.Darou.Lab.,20190206,17121.00,17649.00,17121.00,17556.00,36716476,2094,5,D,17556.00,17649.00
Sina.Darou.Lab.,20190205,17450.00,17850.00,17051.00,17556.00,279331295,15994,10,D,17566.00,17051.00
Sina.Darou.Lab.,20190204,17060.00,17450.00,17060.00,17566.00,152969040,8939,13,D,17593.00,17100.00
Sina.Darou.Lab.,20190203,17042.00,17450.00,17042.00,17593.00,640314578,36889,18,D,17664.00,17450.00
Sina.Darou.Lab.,20190202,17461.00,17899.00,17461.00,17664.00,67721228,3798,4,D,17660.00,17899.00
Sina.Darou.Lab.,20190130,17800.00,17900.00,17700.00,17660.00,22548400,1272,5,D,17659.00,17700.00
Sina.Darou.Lab.,20190129,17201.00,18000.00,17201.00,17659.00,721656929,40106,16,D,17547.00,17501.00
