<TICKER>,<DTYYYYMMDD>,<FIRST>,<HIGH>,<LOW>,<CLOSE>,<VALUE>,<VOL>,<OPENINT>,<PER>,<OPEN>,<LAST>
Sokuk.Saipa104,20190227,944000.00,944000.00,944000.00,944000.00,20768000,22,1,D,944000.00,944000.00
Sokuk.Saipa104,20190226,944000.00,944000.00,944000.00,944000.00,1888000,2,1,D,941000.00,944000.00
Sokuk.Saipa104,20190225,941000.00,941000.00,941000.00,941000.00,8469000,9,1,D,946000.00,941000.00
Sokuk.Saipa104,20190224,946000.00,946000.00,946000.00,946000.00,6622000,7,1,D,950000.00,946000.00
Sokuk.Saipa104,20190223,950000.00,950000.00,950000.00,950000.00,19000000,20,1,D,982451.00,950000.00
Sokuk.Saipa104,20190220,995000.00,995000.00,982000.00,982451.00,141473000,144,5,D,1000300.00,982000.00
Sokuk.Saipa104,20190219,1000300.00,1000300.00,1000300.00,1000300.00,6001800,6,1,D,1001500.00,1000300.00
Sokuk.Saipa104,20190217,1001500.00,1001500.00,1001500.00,1001500.00,5007500,5,1,D,1000000.00,1001500.00
Sokuk.Saipa104,20190216,1000000.00,1000000.00,1000000.00,1000000.00,10000000,10,1,D,999100.00,1000000.00
Sokuk.Saipa104,20190213,999100.00,999100.00,999100.00,999100.00,4995500,5,1,D,995400.00,999100.00
Sokuk.Saipa104,20190212,995400.00,995400.00,995400.00,995400.00,7963200,8,1,D,992300.00,995400.00
Sokuk.Saipa104,20190210,992300.00,992300.00,992300.00,992300.00,6946100,7,1,D,989900.00,992300.00
Sokuk.Saipa104,20190205,989900.00,989900.00,989900.00,989900.00,7919200,8,1,D,993600.00,989900.00
Sokuk.Saipa104,20190204,993600.00,993600.00,993600.00,993600.00,6955200,7,1,D,995500.00,993600.00
Sokuk.Saipa104,20190203,995500.00,995500.00,995500.00,995500.00,4977500,5,1,D,988800.00,995500.00
Sokuk.Saipa104,20190130,988800.00,988800.00,988800.00,988800.00,5932800,6,1,D,992200.00,988800.00
Sokuk.Saipa104,20190129,992200.00,992200.00,992200.00,992200.00,7937600,8,1,D,991600.00,992200.00
Sokuk.Saipa104,20190128,991600.00,991600.00,991600.00,991600.00,49580000,50,1,D,987123.00,991600.00
Sokuk.Saipa104,20190127,984500.00,987600.00,984500.00,987123.00,12832600,13,3,D,983000.00,987600.00
Sokuk.Saipa104,20190126,983000.00,983000.00,983000.00,983000.00,5898000,6,1,D,980000.00,983000.00
Sokuk.Saipa104,20190121,980000.00,980000.00,980000.00,980000.00,68600000000,70000,7,D,973300.00,980000.00
Sokuk.Saipa104,20190120,973300.00,973300.00,973300.00,973300.00,4866500,5,1,D,967754.00,973300.00
Sokuk.Saipa104,20190119,969600.00,969600.00,960000.00,967754.00,25161600,26,11,D,964750.00,969600.00
Sokuk.Saipa104,20190116,964750.00,964750.00,964750.00,964750.00,4823750,5,1,D,966600.00,964750.00
Sokuk.Saipa104,20190114,966600.00,966600.00,966600.00,966600.00,8699400,9,1,D,969000.00,966600.00
Sokuk.Saipa104,20190113,969000.00,969000.00,969000.00,969000.00,6783000,7,1,D,970000.00,969000.00
Sokuk.Saipa104,20190109,970000.00,970000.00,970000.00,970000.00,4850000,5,1,D,972500.00,970000.00
Sokuk.Saipa104,20190108,972500.00,972500.00,972500.00,972500.00,4862500,5,1,D,974500.00,972500.00
Sokuk.Saipa104,20190107,974500.00,974500.00,974500.00,974500.00,7796000,8,1,D,979300.00,974500.00
Sokuk.Saipa104,20190106,979300.00,979300.00,979300.00,979300.00,5875800,6,1,D,980000.00,979300.00
Sokuk.Saipa104,20190105,980000.00,980000.00,980000.00,980000.00,9800000,10,1,D,977200.00,980000.00
Sokuk.Saipa104,20190102,977200.00,977200.00,977200.00,977200.00,6840400,7,1,D,973900.00,977200.00
Sokuk.Saipa104,20181230,973900.00,973900.00,973900.00,973900.00,14608500,15,1,D,976700.00,973900.00
Sokuk.Saipa104,20181229,976700.00,976700.00,976700.00,976700.00,5860200,6,1,D,979200.00,976700.00
Sokuk.Saipa104,20181226,979200.00,979200.00,979200.00,979200.00,11750400,12,1,D,984500.00,979200.00
Sokuk.Saipa104,20181225,984500.00,984500.00,984500.00,984500.00,7876000,8,1,D,982700.00,984500.00
Sokuk.Saipa104,20181224,982700.00,982700.00,982700.00,982700.00,5896200,6,1,D,984800.00,982700.00
Sokuk.Saipa104,20181223,984800.00,984800.00,984800.00,984800.00,10832800,11,1,D,993200.00,984800.00
Sokuk.Saipa104,20181222,993200.00,993200.00,993200.00,993200.00,5959200,6,1,D,994000.00,993200.00
Sokuk.Saipa104,20181219,994000.00,994000.00,994000.00,994000.00,15904000,16,1,D,994000.00,994000.00
Sokuk.Saipa104,20181217,994000.00,994000.00,994000.00,994000.00,37772000,38,1,D,991300.00,994000.00
Sokuk.Saipa104,20181216,991300.00,991300.00,991300.00,991300.00,5947800,6,1,D,986700.00,991300.00
Sokuk.Saipa104,20181215,986700.00,986700.00,986700.00,986700.00,9867000,10,1,D,985000.00,986700.00
Sokuk.Saipa104,20181212,985000.00,985000.00,985000.00,985000.00,7880000,8,1,D,982000.00,985000.00
Sokuk.Saipa104,20181211,982000.00,982000.00,982000.00,982000.00,6874000,7,1,D,981000.00,982000.00
Sokuk.Saipa104,20181203,981000.00,981000.00,981000.00,981000.00,10791000,11,1,D,988000.00,981000.00
Sokuk.Saipa104,20181201,988000.00,988000.00,988000.00,988000.00,8892000,9,1,D,985000.00,988000.00
Sokuk.Saipa104,20181128,985000.00,985000.00,985000.00,985000.00,7880000,8,1,D,979500.00,985000.00
Sokuk.Saipa104,20181121,979500.00,979500.00,979500.00,979500.00,6856500,7,1,D,976500.00,979500.00
Sokuk.Saipa104,20181118,976500.00,976500.00,976500.00,976500.00,7812000,8,1,D,975000.00,976500.00
Sokuk.Saipa104,20181117,975000.00,975000.00,975000.00,975000.00,8775000,9,5,D,973200.00,975000.00
Sokuk.Saipa104,20181114,973200.00,973200.00,973200.00,973200.00,3892800,4,1,D,974600.00,973200.00
Sokuk.Saipa104,20181112,974600.00,974600.00,974600.00,974600.00,6822200,7,2,D,976000.00,974600.00
Sokuk.Saipa104,20181111,976000.00,976000.00,976000.00,976000.00,364048000,373,1,D,974200.00,976000.00
Sokuk.Saipa104,20181106,974200.00,974200.00,974200.00,974200.00,363376600,373,2,D,913148.00,974200.00
Sokuk.Saipa104,20181103,910200.00,950000.00,910200.00,913148.00,49310000,54,2,D,907900.00,950000.00
Sokuk.Saipa104,20181031,907900.00,907900.00,907900.00,907900.00,194290600,214,2,D,904000.00,907900.00
Sokuk.Saipa104,20181029,904000.00,904000.00,904000.00,904000.00,101248000,112,3,D,902000.00,904000.00
Sokuk.Saipa104,20181028,902000.00,902000.00,902000.00,902000.00,3608000,4,1,D,915000.00,902000.00
Sokuk.Saipa104,20181024,915000.00,915000.00,915000.00,915000.00,7320000,8,1,D,908000.00,915000.00
Sokuk.Saipa104,20181023,908000.00,908000.00,908000.00,908000.00,5448000,6,1,D,892500.00,908000.00
Sokuk.Saipa104,20181022,892500.00,892500.00,892500.00,892500.00,4462500,5,1,D,884514.00,892500.00
Sokuk.Saipa104,20181021,939906.00,949400.00,850000.00,884514.00,21228330,24,5,D,880000.00,939906.00
Sokuk.Saipa104,20181020,880000.00,880000.00,880000.00,880000.00,8800000,10,1,D,900000.00,880000.00
Sokuk.Saipa104,20181017,900000.00,900000.00,900000.00,900000.00,1800000,2,1,D,897639.00,900000.00
Sokuk.Saipa104,20181016,928000.00,928000.00,894999.00,897639.00,22440979,25,7,D,895000.00,894999.00
Sokuk.Saipa104,20181015,895000.00,895000.00,895000.00,895000.00,2685000,3,1,D,919000.00,895000.00
Sokuk.Saipa104,20181013,919000.00,919000.00,919000.00,919000.00,5514000,6,1,D,906000.00,919000.00
Sokuk.Saipa104,20181010,906000.00,906000.00,906000.00,906000.00,3624000,4,1,D,910000.00,906000.00
Sokuk.Saipa104,20181009,910000.00,910000.00,910000.00,910000.00,6370000,7,1,D,930000.00,910000.00
Sokuk.Saipa104,20181007,930000.00,930000.00,930000.00,930000.00,100440000,108,1,D,918000.00,930000.00
Sokuk.Saipa104,20181003,918000.00,918000.00,918000.00,918000.00,108324000,118,1,D,905000.00,918000.00
Sokuk.Saipa104,20181002,905000.00,905000.00,905000.00,905000.00,112220000,124,1,D,892000.00,905000.00
Sokuk.Saipa104,20181001,892000.00,892000.00,892000.00,892000.00,165020000,185,1,D,904000.00,892000.00
Sokuk.Saipa104,20180930,904000.00,904000.00,904000.00,904000.00,105768000,117,1,D,908000.00,904000.00
Sokuk.Saipa104,20180929,908000.00,908000.00,908000.00,908000.00,104420000,115,1,D,923000.00,908000.00
Sokuk.Saipa104,20180926,923000.00,923000.00,923000.00,923000.00,98761000,107,1,D,935000.00,923000.00
Sokuk.Saipa104,20180925,935000.00,935000.00,935000.00,935000.00,100980000,108,1,D,947000.00,935000.00
Sokuk.Saipa104,20180924,947000.00,947000.00,947000.00,947000.00,116481000,123,1,D,953000.00,947000.00
Sokuk.Saipa104,20180923,953000.00,953000.00,953000.00,953000.00,109595000,115,1,D,950000.00,953000.00
Sokuk.Saipa104,20180922,950000.00,950000.00,950000.00,950000.00,104500000,110,1,D,948000.00,950000.00
Sokuk.Saipa104,20180918,948000.00,948000.00,948000.00,948000.00,120396000,127,1,D,941000.00,948000.00
Sokuk.Saipa104,20180917,941000.00,941000.00,941000.00,941000.00,112920000,120,1,D,939300.00,941000.00
