<TICKER>,<DTYYYYMMDD>,<FIRST>,<HIGH>,<LOW>,<CLOSE>,<VALUE>,<VOL>,<OPENINT>,<PER>,<OPEN>,<LAST>
Tehran.Stock.Exch.,20190227,5780.00,6049.00,5780.00,5961.00,11851585082,1988072,481,D,5763.00,6029.00
Tehran.Stock.Exch.,20190226,5600.00,5977.00,5576.00,5763.00,4689630683,813756,273,D,5762.00,5780.00
Tehran.Stock.Exch.,20190225,5500.00,5778.00,5459.00,5762.00,13331955361,2313575,533,D,5503.00,5769.00
Tehran.Stock.Exch.,20190224,5499.00,5576.00,5330.00,5503.00,8868593017,1611568,409,D,5311.00,5569.00
Tehran.Stock.Exch.,20190223,5240.00,5359.00,5028.00,5311.00,9899640509,1864118,337,D,5104.00,5359.00
Tehran.Stock.Exch.,20190220,5120.00,5160.00,5010.00,5104.00,4526010331,886802,202,D,5078.00,5100.00
Tehran.Stock.Exch.,20190219,5139.00,5180.00,5000.00,5078.00,3440626373,677542,216,D,5113.00,5096.00
Tehran.Stock.Exch.,20190218,5210.00,5300.00,4983.00,5113.00,6683096651,1307184,274,D,5088.00,5110.00
Tehran.Stock.Exch.,20190217,4907.00,5199.00,4905.00,5088.00,7532002206,1480323,388,D,4973.00,5179.00
Tehran.Stock.Exch.,20190216,5286.00,5286.00,4880.00,4973.00,4297023799,864149,421,D,5129.00,4891.00
Tehran.Stock.Exch.,20190213,5499.00,5499.00,5082.00,5129.00,9025271164,1759760,462,D,5349.00,5168.00
Tehran.Stock.Exch.,20190212,5630.00,5630.00,5277.00,5349.00,5562028366,1039775,356,D,5416.00,5301.00
Tehran.Stock.Exch.,20190210,5640.00,5644.00,5318.00,5416.00,8705877551,1607510,341,D,5575.00,5428.00
Tehran.Stock.Exch.,20190206,5915.00,5915.00,5502.00,5575.00,3927912161,704603,290,D,5791.00,5502.00
Tehran.Stock.Exch.,20190205,5800.00,5969.00,5713.00,5791.00,5649514215,975541,250,D,5965.00,5766.00
Tehran.Stock.Exch.,20190204,5840.00,6070.00,5700.00,5965.00,12854987419,2155017,279,D,5801.00,5866.00
Tehran.Stock.Exch.,20190203,5918.00,6000.00,5670.00,5801.00,8085510105,1393917,307,D,5931.00,5780.00
Tehran.Stock.Exch.,20190202,5930.00,6187.00,5913.00,5931.00,11471605240,1934130,325,D,6224.00,5913.00
Tehran.Stock.Exch.,20190130,6480.00,6480.00,6205.00,6224.00,17948351173,2883609,360,D,6531.00,6205.00
Tehran.Stock.Exch.,20190129,6499.00,6700.00,6499.00,6531.00,7579488764,1160594,98,D,6190.00,6540.00
Tehran.Stock.Exch.,20181113,6041.00,6226.00,6015.00,6190.00,17662521232,2853337,355,D,5930.00,6226.00
Tehran.Stock.Exch.,20181112,5724.00,6031.00,5610.00,5930.00,8563522754,1444098,231,D,5755.00,5953.00
Tehran.Stock.Exch.,20181111,5903.00,6000.00,5724.00,5755.00,6553950696,1138792,282,D,6025.00,5724.00
Tehran.Stock.Exch.,20181110,6002.00,6190.00,5901.00,6025.00,2245860283,376304,170,D,6120.00,5901.00
Tehran.Stock.Exch.,20181106,6010.00,6200.00,6010.00,6120.00,2510453859,411029,137,D,6148.00,6053.00
Tehran.Stock.Exch.,20181105,6073.00,6200.00,6017.00,6148.00,3540577931,575141,124,D,5961.00,6200.00
Tehran.Stock.Exch.,20181104,6299.00,6299.00,5872.00,5961.00,6923564725,1161475,196,D,6181.00,6095.00
Tehran.Stock.Exch.,20181103,6500.00,6500.00,6112.00,6181.00,6070371890,982147,155,D,6433.00,6113.00
Tehran.Stock.Exch.,20181031,6480.00,6480.00,6321.00,6433.00,3715214595,576740,153,D,6210.00,6450.00
Tehran.Stock.Exch.,20181029,6200.00,6364.00,6200.00,6210.00,1944028186,306017,67,D,6061.00,6364.00
Tehran.Stock.Exch.,20181028,5920.00,6200.00,5900.00,6061.00,3145236017,520482,140,D,6180.00,6200.00
Tehran.Stock.Exch.,20181027,6300.00,6300.00,6173.00,6180.00,4807492664,777924,136,D,6497.00,6173.00
Tehran.Stock.Exch.,20181024,6497.00,6674.00,6344.00,6497.00,4965770670,764368,237,D,6677.00,6345.00
Tehran.Stock.Exch.,20181023,6900.00,6900.00,6657.00,6677.00,8240958444,1234144,286,D,7007.00,6657.00
Tehran.Stock.Exch.,20181021,7010.00,7200.00,6902.00,7007.00,5890828792,840697,197,D,6971.00,7050.00
Tehran.Stock.Exch.,20181020,6999.00,7025.00,6700.00,6971.00,12374129660,1775074,310,D,6691.00,6999.00
Tehran.Stock.Exch.,20181017,6670.00,6800.00,6652.00,6691.00,10047101173,1501623,342,D,7002.00,6797.00
Tehran.Stock.Exch.,20181016,7000.00,7200.00,6700.00,7002.00,13458274794,1921962,357,D,6952.00,6897.00
Tehran.Stock.Exch.,20181015,6517.00,7201.00,6517.00,6952.00,54486571153,7837387,694,D,6859.00,7129.00
Tehran.Stock.Exch.,20181014,6527.00,6527.00,6527.00,6859.00,121976576,18688,14,D,6870.00,6527.00
Tehran.Stock.Exch.,20181013,6545.00,6545.00,6545.00,6870.00,212044910,32398,20,D,6889.00,6545.00
Tehran.Stock.Exch.,20181010,6901.00,7058.00,6860.00,6889.00,6795479585,986379,174,D,7221.00,6860.00
Tehran.Stock.Exch.,20181009,7168.00,7500.00,7168.00,7221.00,31353467736,4341727,607,D,7545.00,7168.00
Tehran.Stock.Exch.,20181008,7289.00,7289.00,7289.00,7545.00,1453011127,199343,45,D,7672.00,7289.00
Tehran.Stock.Exch.,20181007,7670.00,7998.00,7667.00,7672.00,11046879593,1439887,224,D,8070.00,7667.00
Tehran.Stock.Exch.,20181006,8345.00,8457.00,7653.00,8070.00,51892294901,6430569,852,D,8055.00,7653.00
Tehran.Stock.Exch.,20181003,8039.00,8400.00,8039.00,8055.00,63915575102,7935092,779,D,8462.00,8039.00
Tehran.Stock.Exch.,20181002,9000.00,9000.00,8214.00,8462.00,38741875785,4578258,652,D,8646.00,8214.00
Tehran.Stock.Exch.,20181001,8736.00,8736.00,7950.00,8646.00,91369869436,10568319,1038,D,8320.00,8736.00
Tehran.Stock.Exch.,20180930,8320.00,8320.00,8320.00,8320.00,5371558400,645620,42,D,7924.00,8320.00
Tehran.Stock.Exch.,20180929,7552.00,7929.00,7552.00,7924.00,8997002265,1135351,55,D,7193.00,7929.00
Tehran.Stock.Exch.,20180925,6862.00,7205.00,6862.00,7193.00,8285587680,1151846,39,D,6536.00,7205.00
