<TICKER>,<DTYYYYMMDD>,<FIRST>,<HIGH>,<LOW>,<CLOSE>,<VALUE>,<VOL>,<OPENINT>,<PER>,<OPEN>,<LAST>
W..Azar..Pegah,20190227,2237.00,2300.00,2220.00,2277.00,9530966971,4184857,746,D,2197.00,2295.00
W..Azar..Pegah,20190226,2155.00,2227.00,2149.00,2197.00,7464841142,3398202,606,D,2183.00,2200.00
W..Azar..Pegah,20190225,2238.00,2250.00,2150.00,2183.00,7158556530,3278609,661,D,2206.00,2179.00
W..Azar..Pegah,20190224,2200.00,2320.00,2146.00,2206.00,13039710824,5911690,956,D,2244.00,2190.00
W..Azar..Pegah,20190223,2318.00,2340.00,2183.00,2244.00,4521729212,2015020,382,D,2297.00,2193.00
W..Azar..Pegah,20190220,2288.00,2320.00,2262.00,2297.00,1379761403,600781,136,D,2275.00,2298.00
W..Azar..Pegah,20190219,2300.00,2300.00,2259.00,2275.00,1864585533,819485,170,D,2262.00,2288.00
W..Azar..Pegah,20190218,2300.00,2300.00,2233.00,2262.00,2022428046,894189,208,D,2296.00,2263.00
W..Azar..Pegah,20190217,2379.00,2379.00,2270.00,2296.00,3228459877,1406284,299,D,2389.00,2277.00
W..Azar..Pegah,20190216,2450.00,2450.00,2340.00,2389.00,3555646441,1488284,342,D,2428.00,2361.00
W..Azar..Pegah,20190213,2524.00,2524.00,2354.00,2428.00,4109493523,1692808,429,D,2432.00,2411.00
W..Azar..Pegah,20190212,2359.00,2441.00,2262.00,2432.00,8935609061,3674841,523,D,2325.00,2441.00
W..Azar..Pegah,20190210,2365.00,2366.00,2290.00,2325.00,3281505278,1411449,357,D,2336.00,2320.00
W..Azar..Pegah,20190206,2287.00,2341.00,2287.00,2336.00,8050020160,3446615,540,D,2230.00,2340.00
W..Azar..Pegah,20190205,2314.00,2314.00,2210.00,2230.00,1638320667,734546,161,D,2245.00,2270.00
W..Azar..Pegah,20190204,2221.00,2329.00,2200.00,2245.00,2440488650,1086904,214,D,2246.00,2202.00
W..Azar..Pegah,20190203,2261.00,2289.00,2223.00,2246.00,1656544270,737606,188,D,2319.00,2246.00
W..Azar..Pegah,20190202,2358.00,2358.00,2290.00,2319.00,1592249384,686661,156,D,2349.00,2291.00
W..Azar..Pegah,20190130,2360.00,2385.00,2300.00,2349.00,3211963895,1367644,269,D,2339.00,2341.00
W..Azar..Pegah,20190129,2380.00,2389.00,2278.00,2339.00,2937830234,1255925,232,D,2326.00,2324.00
W..Azar..Pegah,20190128,2300.00,2387.00,2255.00,2326.00,4157962543,1787862,331,D,2325.00,2360.00
W..Azar..Pegah,20190127,2350.00,2392.00,2233.00,2325.00,7523455209,3236322,537,D,2350.00,2290.00
W..Azar..Pegah,20190126,2251.00,2360.00,2250.00,2350.00,4453093986,1895197,268,D,2248.00,2360.00
W..Azar..Pegah,20190123,2220.00,2287.00,2220.00,2248.00,2068344546,920065,250,D,2215.00,2247.00
W..Azar..Pegah,20190122,2350.00,2356.00,2166.00,2215.00,7878675789,3556685,440,D,2279.00,2170.00
W..Azar..Pegah,20190121,2261.00,2332.00,2230.00,2279.00,1667801671,731879,156,D,2317.00,2330.00
W..Azar..Pegah,20190120,2400.00,2426.00,2260.00,2317.00,1436599674,620131,164,D,2372.00,2277.00
W..Azar..Pegah,20190119,2320.00,2432.00,2314.00,2372.00,1765096106,744011,150,D,2348.00,2360.00
W..Azar..Pegah,20190116,2352.00,2387.00,2324.00,2348.00,2837059207,1208490,250,D,2432.00,2347.00
W..Azar..Pegah,20190115,2465.00,2550.00,2315.00,2432.00,6174215396,2538387,508,D,2429.00,2360.00
W..Azar..Pegah,20190114,2380.00,2457.00,2301.00,2429.00,7250658002,2984933,424,D,2340.00,2457.00
W..Azar..Pegah,20190113,2250.00,2357.00,2250.00,2340.00,7941565670,3394106,586,D,2245.00,2357.00
W..Azar..Pegah,20190112,2238.00,2270.00,2205.00,2245.00,2279481625,1015548,245,D,2206.00,2240.00
W..Azar..Pegah,20190109,2190.00,2238.00,2190.00,2206.00,412303705,186441,111,D,2189.00,2228.00
W..Azar..Pegah,20190108,2190.00,2259.00,2178.00,2189.00,2533318180,1157187,245,D,2261.00,2195.00
W..Azar..Pegah,20190107,2271.00,2293.00,2216.00,2261.00,1622272905,717481,164,D,2263.00,2238.00
W..Azar..Pegah,20190106,2250.00,2280.00,2220.00,2263.00,2490662472,1100468,279,D,2238.00,2271.00
W..Azar..Pegah,20190105,2170.00,2267.00,2170.00,2238.00,1685048237,752772,167,D,2193.00,2250.00
W..Azar..Pegah,20190102,2250.00,2275.00,2170.00,2193.00,1613638978,735799,191,D,2231.00,2180.00
W..Azar..Pegah,20190101,2189.00,2299.00,2106.00,2231.00,8054677746,3610700,683,D,2195.00,2180.00
W..Azar..Pegah,20181231,2154.00,2295.00,2117.00,2195.00,15660582916,7136207,790,D,2190.00,2170.00
W..Azar..Pegah,20181230,2230.00,2230.00,2169.00,2190.00,820751002,374703,121,D,2209.00,2179.00
W..Azar..Pegah,20181229,2160.00,2236.00,2160.00,2209.00,887468236,401687,115,D,2183.00,2202.00
W..Azar..Pegah,20181226,2259.00,2259.00,2132.00,2183.00,1060353050,485822,119,D,2222.00,2247.00
W..Azar..Pegah,20181225,2247.00,2279.00,2200.00,2222.00,1068167216,480806,164,D,2239.00,2220.00
W..Azar..Pegah,20181224,2241.00,2280.00,2221.00,2239.00,1432512341,639790,112,D,2234.00,2245.00
W..Azar..Pegah,20181223,2269.00,2269.00,2205.00,2234.00,1275952991,571113,155,D,2220.00,2230.00
W..Azar..Pegah,20181222,2200.00,2259.00,2199.00,2220.00,685406516,308770,135,D,2188.00,2250.00
W..Azar..Pegah,20181219,2193.00,2249.00,2146.00,2188.00,2461221298,1125104,190,D,2162.00,2222.00
W..Azar..Pegah,20181218,2238.00,2238.00,2121.00,2162.00,2227857513,1030414,189,D,2228.00,2189.00
W..Azar..Pegah,20181217,2251.00,2275.00,2190.00,2228.00,1423432147,638812,148,D,2274.00,2204.00
W..Azar..Pegah,20181216,2319.00,2319.00,2225.00,2274.00,5260442176,2313445,462,D,2254.00,2231.00
W..Azar..Pegah,20181215,2159.00,2266.00,2159.00,2254.00,10506835370,4661072,627,D,2082.00,2266.00
W..Azar..Pegah,20181211,2050.00,2134.00,2006.00,2082.00,7280621380,3496749,489,D,2033.00,2134.00
W..Azar..Pegah,20181210,2010.00,2083.00,2002.00,2033.00,901315478,443281,117,D,2053.00,2050.00
W..Azar..Pegah,20181209,2159.00,2167.00,2020.00,2053.00,4357867454,2122180,328,D,2126.00,2020.00
W..Azar..Pegah,20181208,2150.00,2150.00,2100.00,2126.00,4972133923,2338517,168,D,2129.00,2125.00
W..Azar..Pegah,20181205,2170.00,2170.00,2101.00,2129.00,660185900,310036,122,D,2132.00,2130.00
W..Azar..Pegah,20181204,2174.00,2174.00,2072.00,2132.00,4203838417,1972128,312,D,2078.00,2122.00
W..Azar..Pegah,20181203,2031.00,2135.00,2027.00,2078.00,2273686333,1093961,265,D,2054.00,2135.00
W..Azar..Pegah,20181202,2044.00,2143.00,2027.00,2054.00,2815449185,1370709,280,D,2075.00,2070.00
W..Azar..Pegah,20181201,2199.00,2199.00,2040.00,2075.00,1034301724,498472,120,D,2144.00,2100.00
W..Azar..Pegah,20181128,2206.00,2206.00,2121.00,2144.00,1371737349,639918,158,D,2206.00,2155.00
W..Azar..Pegah,20181127,2202.00,2300.00,2111.00,2206.00,2508823333,1137055,232,D,2222.00,2239.00
W..Azar..Pegah,20181126,2361.00,2361.00,2202.00,2222.00,1271323424,572032,113,D,2317.00,2202.00
W..Azar..Pegah,20181124,2275.00,2388.00,2275.00,2317.00,1517231994,654714,123,D,2342.00,2340.00
W..Azar..Pegah,20181121,2349.00,2369.00,2305.00,2342.00,1037452465,442995,123,D,2321.00,2342.00
W..Azar..Pegah,20181120,2377.00,2377.00,2300.00,2321.00,691055277,297697,109,D,2333.00,2335.00
W..Azar..Pegah,20181119,2301.00,2349.00,2227.00,2333.00,790693796,338987,105,D,2314.00,2342.00
W..Azar..Pegah,20181118,2474.00,2474.00,2284.00,2314.00,2293144946,990883,267,D,2404.00,2339.00
W..Azar..Pegah,20181117,2450.00,2450.00,2390.00,2404.00,1801766540,749344,202,D,2457.00,2410.00
W..Azar..Pegah,20181114,2421.00,2479.00,2421.00,2457.00,725575519,295337,94,D,2460.00,2450.00
W..Azar..Pegah,20181113,2441.00,2500.00,2441.00,2460.00,1613365411,655922,125,D,2443.00,2464.00
W..Azar..Pegah,20181112,2428.00,2487.00,2361.00,2443.00,2196348904,898946,208,D,2448.00,2465.00
W..Azar..Pegah,20181111,2580.00,2605.00,2428.00,2448.00,5339940879,2181674,302,D,2555.00,2428.00
W..Azar..Pegah,20181110,2561.00,2615.00,2531.00,2555.00,2377991172,930584,154,D,2538.00,2563.00
W..Azar..Pegah,20181106,2533.00,2625.00,2492.00,2538.00,1213487882,478127,149,D,2579.00,2558.00
