<TICKER>,<DTYYYYMMDD>,<FIRST>,<HIGH>,<LOW>,<CLOSE>,<VALUE>,<VOL>,<OPENINT>,<PER>,<OPEN>,<LAST>
X34T-971215,20190227,19300.00,19300.00,19300.00,19300.00,67550000,1,1,D,19150.00,19300.00
X34T-971215,20190223,19800.00,20000.00,19500.00,19750.00,207550000,3,3,D,19201.00,20000.00
X34T-971215,20190219,19000.00,19000.00,19000.00,19000.00,199500000,3,1,D,19251.00,19000.00
X34T-971215,20190216,18450.00,19670.00,18450.00,19075.00,3338170500,50,17,D,18757.00,19670.00
X34T-971215,20190213,18600.00,19700.00,18600.00,18757.00,459550000,7,2,D,19300.00,19700.00
X34T-971215,20190212,19300.00,19700.00,19225.00,19300.00,3062237500,45,14,D,19774.00,19225.00
X34T-971215,20190210,19300.00,20400.00,19300.00,19774.00,3737373500,54,23,D,19501.00,19630.00
X34T-971215,20190206,19400.00,20000.00,19400.00,19501.00,1850688000,27,9,D,19341.00,19501.00
X34T-971215,20190205,19400.00,19999.00,19300.00,19341.00,3452403500,51,12,D,19213.00,19450.00
X34T-971215,20190204,19700.00,20100.00,19200.00,19213.00,3610008500,53,14,D,19774.00,19301.00
X34T-971215,20190203,19662.00,20200.00,19411.00,19774.00,2699186000,39,12,D,20110.00,19550.00
X34T-971215,20190202,20400.00,20430.00,19800.00,20110.00,1548498000,22,13,D,20483.00,20003.00
X34T-971215,20190130,20500.00,20999.00,20265.00,20483.00,2365751500,33,21,D,20633.00,20999.00
X34T-971215,20190129,20300.00,20800.00,20300.00,20633.00,1516560500,21,7,D,20733.00,20601.00
X34T-971215,20190128,20600.00,20900.00,20600.00,20733.00,435400000,6,4,D,20467.00,20900.00
X34T-971215,20190127,21000.00,21290.00,20400.00,20467.00,582386000,8,8,D,20710.00,20400.00
X34T-971215,20190126,20888.00,20888.00,20316.00,20710.00,579890500,8,7,D,20887.00,20316.00
X34T-971215,20190123,21500.00,21590.00,20887.00,20887.00,668741500,9,5,D,21100.00,20887.00
X34T-971215,20190122,20980.00,21300.00,20001.00,21100.00,946099000,13,12,D,20300.00,21300.00
X34T-971215,20190121,19572.00,20300.00,19572.00,20300.00,279552000,4,4,D,20432.00,20300.00
X34T-971215,20190120,21000.00,21000.00,20223.00,20432.00,288039500,4,3,D,21037.00,20223.00
X34T-971215,20190119,22118.00,22118.00,21000.00,21037.00,2212875000,30,14,D,21103.00,21000.00
X34T-971215,20190116,21056.00,21111.00,21033.00,21103.00,1402320500,19,13,D,21876.00,21033.00
X34T-971215,20190115,21850.00,21900.00,21850.00,21876.00,612524500,8,6,D,22163.00,21850.00
X34T-971215,20190114,22400.00,22400.00,22000.00,22163.00,310275000,4,4,D,22690.00,22000.00
X34T-971215,20190113,22929.00,23000.00,21500.00,22690.00,2223595500,28,17,D,21979.00,22700.00
X34T-971215,20190112,21500.00,22000.00,21412.00,21979.00,1674785000,22,16,D,21512.00,22000.00
X34T-971215,20190109,20950.00,22388.00,20811.00,21512.00,3056497500,41,23,D,21633.00,21380.00
X34T-971215,20190108,21601.00,21643.00,21601.00,21633.00,302855000,4,4,D,22699.00,21643.00
X34T-971215,20190107,22183.00,22699.00,22183.00,22699.00,234734500,3,3,D,22184.00,22699.00
X34T-971215,20190106,21401.00,22184.00,21401.00,22184.00,152547500,2,2,D,22185.00,22184.00
X34T-971215,20190105,21563.00,22644.00,21563.00,22185.00,1941177000,25,12,D,21566.00,22190.00
X34T-971215,20190102,21298.00,21678.00,21298.00,21566.00,1585087000,21,16,D,20650.00,21480.00
X34T-971215,20190101,20680.00,21000.00,20650.00,20650.00,362848500,5,4,D,21428.00,20650.00
X34T-971215,20181231,20993.00,21771.00,20993.00,21428.00,1724961000,23,17,D,20753.00,21771.00
X34T-971215,20181230,21299.00,21299.00,20450.00,20753.00,436464000,6,6,D,20745.00,20605.00
X34T-971215,20181229,20812.00,20812.00,20700.00,20745.00,218057000,3,3,D,20699.00,20700.00
X34T-971215,20181226,20410.00,20976.00,20410.00,20699.00,941783500,13,6,D,20401.00,20976.00
X34T-971215,20181225,20400.00,20485.00,20381.00,20401.00,499831500,7,5,D,20441.00,20485.00
X34T-971215,20181224,20550.00,20550.00,20215.00,20441.00,786964500,11,9,D,20479.00,20215.00
X34T-971215,20181223,19800.00,20500.00,19800.00,20479.00,2054969000,29,21,D,19901.00,20390.00
X34T-971215,20181222,19901.00,19901.00,19901.00,19901.00,139307000,2,2,D,20849.00,19901.00
X34T-971215,20181218,21900.00,21900.00,21100.00,21100.00,224350000,3,2,D,21874.00,21100.00
X34T-971215,20181217,21870.00,21876.00,21870.00,21874.00,382795000,5,5,D,20835.00,21875.00
X34T-971215,20181216,21930.00,21930.00,20834.00,20835.00,900977000,12,9,D,21967.00,20834.00
