<TICKER>,<DTYYYYMMDD>,<FIRST>,<HIGH>,<LOW>,<CLOSE>,<VALUE>,<VOL>,<OPENINT>,<PER>,<OPEN>,<LAST>
XS30-971219,20190227,8190.00,8190.00,8190.00,8190.00,65520000,1,1,D,8105.00,8190.00
XS30-971219,20190225,8190.00,8230.00,8190.00,8230.00,131360000,2,2,D,8097.00,8230.00
XS30-971219,20190224,8096.00,8100.00,8096.00,8097.00,194336000,3,2,D,8055.00,8100.00
XS30-971219,20190223,8064.00,8064.00,8050.00,8055.00,322216000,5,5,D,8064.00,8063.00
XS30-971219,20190218,7820.00,7820.00,7820.00,7820.00,62560000,1,1,D,7800.00,7820.00
XS30-971219,20190216,7620.00,7790.00,7620.00,7695.00,2954880000,48,6,D,7680.00,7650.00
XS30-971219,20190213,7680.00,7680.00,7680.00,7680.00,552960000,9,1,D,7747.00,7680.00
XS30-971219,20190212,7800.00,7820.00,7685.00,7747.00,3095192000,50,10,D,7785.00,7820.00
XS30-971219,20190210,7780.00,7812.00,7780.00,7785.00,2993936000,48,12,D,7800.00,7785.00
XS30-971219,20190206,7870.00,7997.00,7760.00,7800.00,2628696000,42,13,D,7869.00,7810.00
XS30-971219,20190205,7896.00,7897.00,7710.00,7869.00,2252824000,36,9,D,7754.00,7890.00
XS30-971219,20190204,7890.00,7890.00,7695.00,7754.00,3608720000,58,9,D,7852.00,7750.00
XS30-971219,20190203,7900.00,8100.00,7630.00,7852.00,3203512000,51,13,D,7920.00,7779.00
XS30-971219,20190202,7885.00,8000.00,7890.00,7920.00,3552776000,56,13,D,7980.00,7920.00
XS30-971219,20190130,7950.00,8109.00,7910.00,7980.00,1341880000,21,7,D,7955.00,7980.00
XS30-971219,20190129,8000.00,8050.00,7880.00,7955.00,2416688000,38,15,D,7978.00,7942.00
XS30-971219,20190128,8050.00,8150.00,7820.00,7978.00,1094880000,17,8,D,8057.00,8030.00
XS30-971219,20190127,8130.00,8130.00,8001.00,8057.00,644536000,10,6,D,8040.00,8100.00
XS30-971219,20190126,8100.00,8100.00,8040.00,8040.00,193920000,3,3,D,8044.00,8040.00
XS30-971219,20190123,8040.00,8061.00,8040.00,8044.00,900976000,14,6,D,8145.00,8061.00
XS30-971219,20190122,8150.00,8150.00,8140.00,8145.00,847040000,13,3,D,8011.00,8145.00
XS30-971219,20190121,8050.00,8050.00,8003.00,8011.00,642336000,10,7,D,8115.00,8011.00
XS30-971219,20190119,8495.00,8495.00,8250.00,8250.00,133960000,2,2,D,8171.00,8250.00
XS30-971219,20190116,8478.00,8478.00,8169.00,8171.00,460040000,7,5,D,8183.00,8169.00
XS30-971219,20190114,8010.00,8210.00,8010.00,8119.00,1299000000,20,6,D,8161.00,8120.00
XS30-971219,20190113,8160.00,8195.00,8100.00,8161.00,522320000,8,4,D,8150.00,8100.00
XS30-971219,20190109,8179.00,8179.00,8179.00,8179.00,65432000,1,1,D,8005.00,8179.00
XS30-971219,20190108,8174.00,8174.00,7903.00,8005.00,320192000,5,5,D,7970.00,7903.00
XS30-971219,20190107,8000.00,8000.00,7950.00,7970.00,382480000,6,4,D,8075.00,7970.00
XS30-971219,20190105,8112.00,8113.00,8112.00,8112.00,194696000,3,3,D,8135.00,8112.00
XS30-971219,20181231,8141.00,8141.00,8141.00,8141.00,65128000,1,1,D,8186.00,8141.00
XS30-971219,20181230,8187.00,8187.00,8180.00,8186.00,392920000,6,2,D,8148.00,8180.00
XS30-971219,20181229,8196.00,8196.00,8100.00,8148.00,130368000,2,2,D,8196.00,8100.00
XS30-971219,20181226,8196.00,8196.00,8196.00,8196.00,65568000,1,1,D,8120.00,8196.00
XS30-971219,20181225,8100.00,8120.00,8040.00,8120.00,258880000,4,4,D,7970.00,8120.00
XS30-971219,20181224,7991.00,7991.00,7970.00,7970.00,382968000,6,4,D,7955.00,7970.00
XS30-971219,20181223,8275.00,8276.00,7909.00,7955.00,1032688000,16,14,D,7970.00,8000.00
XS30-971219,20181222,7969.00,7970.00,7966.00,7970.00,701184000,11,7,D,8385.00,7970.00
XS30-971219,20181219,8180.00,8585.00,7789.00,8385.00,804984000,12,5,D,8198.00,7794.00
XS30-971219,20181218,7796.00,8198.00,7796.00,8198.00,324704000,5,3,D,8140.00,8198.00
XS30-971219,20181217,8585.00,8585.00,8140.00,8140.00,601120000,9,9,D,8415.00,8140.00
XS30-971219,20181216,8579.00,8620.00,8161.00,8415.00,1774904000,26,14,D,8619.00,8612.00
