<TICKER>,<DTYYYYMMDD>,<FIRST>,<HIGH>,<LOW>,<CLOSE>,<VALUE>,<VOL>,<OPENINT>,<PER>,<OPEN>,<LAST>
producing.CHDN,20190227,4929.00,4985.00,4894.00,4910.00,24541249148,4997864,656,D,4883.00,4937.00
producing.CHDN,20190226,4865.00,4930.00,4788.00,4883.00,9308016547,1906384,464,D,4911.00,4899.00
producing.CHDN,20190225,5050.00,5050.00,4832.00,4911.00,13762846550,2802380,561,D,4945.00,4880.00
producing.CHDN,20190224,4800.00,5100.00,4705.00,4945.00,37539825664,7592230,1102,D,4858.00,5000.00
producing.CHDN,20190223,4770.00,4926.00,4721.00,4858.00,38894571510,8006659,1245,D,4692.00,4790.00
producing.CHDN,20190220,4680.00,4706.00,4610.00,4692.00,20219945550,4309380,377,D,4482.00,4706.00
producing.CHDN,20190219,4301.00,4507.00,4301.00,4482.00,29254971157,6526869,559,D,4293.00,4507.00
producing.CHDN,20190218,4221.00,4350.00,4181.00,4293.00,7688490256,1790729,274,D,4238.00,4300.00
producing.CHDN,20190217,4350.00,4350.00,4200.00,4238.00,1078564486,254495,73,D,4259.00,4237.00
producing.CHDN,20190213,4213.00,4300.00,4213.00,4259.00,1862753365,437350,125,D,4245.00,4300.00
producing.CHDN,20190212,4220.00,4270.00,4216.00,4245.00,2941051156,692856,118,D,4266.00,4241.00
producing.CHDN,20190210,4318.00,4380.00,4215.00,4266.00,2278424329,534096,105,D,4290.00,4280.00
producing.CHDN,20190206,4228.00,4390.00,4228.00,4290.00,2273710039,529958,184,D,4301.00,4318.00
producing.CHDN,20190205,4180.00,4320.00,4180.00,4301.00,15662322707,3641527,372,D,4154.00,4310.00
producing.CHDN,20190204,4200.00,4289.00,4125.00,4154.00,5938211445,1429642,298,D,4192.00,4150.00
producing.CHDN,20190203,4300.00,4330.00,4140.00,4192.00,6077536003,1449799,317,D,4309.00,4187.00
producing.CHDN,20190202,4245.00,4419.00,4241.00,4309.00,3566152403,827665,152,D,4361.00,4276.00
producing.CHDN,20190130,4365.00,4425.00,4301.00,4361.00,2767254405,634540,169,D,4418.00,4390.00
producing.CHDN,20190129,4472.00,4537.00,4373.00,4418.00,6615653497,1497300,213,D,4459.00,4400.00
producing.CHDN,20190128,4450.00,4555.00,4350.00,4459.00,7328006623,1643320,258,D,4445.00,4400.00
producing.CHDN,20190127,4549.00,4599.00,4352.00,4445.00,6499281034,1462047,293,D,4543.00,4490.00
producing.CHDN,20190126,4495.00,4620.00,4450.00,4543.00,14999190588,3301531,604,D,4427.00,4538.00
producing.CHDN,20190123,4280.00,4464.00,4280.00,4427.00,28999596875,6550319,740,D,4252.00,4464.00
producing.CHDN,20190122,4191.00,4289.00,4191.00,4252.00,5671423310,1333732,346,D,4214.00,4280.00
producing.CHDN,20190121,4348.00,4348.00,4170.00,4214.00,8153837536,1935027,425,D,4349.00,4190.00
producing.CHDN,20190120,4306.00,4421.00,4235.00,4349.00,21915008167,5039449,1101,D,4306.00,4305.00
